token_per_rank,dispatch_us,moe_us,combine_us,total_us,default_total_us,delta_pct,block_num,rdma_block_num,warp_per_block
1,515.9,92.8,498.4,1107.1,541.6,104.4,256,128,8
2,1200.6,167.7,848.5,2216.8,532.3,316.5,256,128,8
4,125.2,183.9,185.9,495.0,535.6,-7.6,256,128,8
8,331.6,200.5,384.2,916.3,333.8,174.5,256,128,8
16,423.6,212.1,784.2,1419.9,336.1,322.5,256,128,8
32,120.0,250.1,476.8,846.9,548.1,54.5,256,128,8
64,5689.1,237.3,1102.3,7028.7,574.0,1124.5,256,128,8
128,316.4,383.3,1113.3,1813.0,582.1,211.5,256,128,8
256,283.1,344.0,453.3,1080.4,801.6,34.8,256,128,8
512,1398.1,928.1,6307.2,8633.4,1265.3,582.3,256,128,8
1024,858.3,806.4,1687.3,3352.0,2164.3,54.9,256,128,8
2048,1466.8,1363.5,3518.3,6348.6,4117.5,54.2,256,128,8
4096,48507.9,29150.9,241903.1,319561.9,8378.1,3714.3,256,128,8
