gfx,cu_num,token_per_rank,conc,model_dim,inter_dim,expert,local_expert,ep,topk,act_type,dtype,q_dtype_a,q_dtype_w,q_type,use_g1u1,doweight_stage1,block_m,ksplit,kernelName1,gemm1_us,err1,kernelName2,gemm2_us,err2,gemm_total_us,run_1stage,xbf16,flat,tflops,bw,_tag,iters,stat_tail,aggregation,total_recv_mean,dispatch_us,dispatch_mori_payload_gbps,sorting_kernel_us,moe_kernel_sum_us,combine_us,combine_mori_payload_gbps,all_kernel_sum_us
gfx950,256,1,16,3584,3072,896,56,16,16,ActivationType.Situv2,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,mfma_moe1_silu_mul_afp4_wfp4_fp4_t32x128x256_pm1_fp4q_sort_async_situv2_v2out_v33,31.29,,gemm2_a4w4_port_hmax8192_imax3072_bm32_bn128_bk128_nt_atomic_persist_cu256_bhoist_apf_spart4x2_bf16lds_kst_v2_biasabi7,42.26,,73.55,0,0,0,14.37,13362.49,testwide_full_pipeline_copyopt_8rail_trace40_tail20,40,20,trace_tail20_comm_sort_mean;gemm1_gemm2_independent_min;combine_includes_output_copy;valid=320/320,9.8125,58.72,0.30,13.96,73.55,99.23,0.74,245.47
gfx950,256,2,32,3584,3072,896,56,16,16,ActivationType.Situv2,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,mfma_moe1_silu_mul_afp4_wfp4_fp4_t32x128x256_pm1_fp4q_sort_async_situv2_v2out_v33,49.98,,gemm2_a4w4_port_hmax8192_imax3072_bm32_bn128_bk128_nt_atomic_persist_cu256_bhoist_apf_spart4x2_bf16lds_kst_v2_biasabi7,69.76,,119.74,0,0,0,17.65,8209.08,testwide_full_pipeline_copyopt_8rail_trace40_tail20,40,20,trace_tail20_comm_sort_mean;gemm1_gemm2_independent_min;combine_includes_output_copy;valid=320/320,20.4375,61.38,0.60,14.39,119.74,95.93,1.56,291.43
gfx950,256,4,64,3584,3072,896,56,16,16,ActivationType.Situv2,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,mfma_moe1_silu_mul_afp4_wfp4_fp4_t32x128x256_pm1_fp4q_sort_async_situv2_v2out_v33,74.57,,gemm2_a4w4_port_hmax8192_imax3072_bm32_bn128_bk128_nt_atomic_persist_cu256_bhoist_apf_spart4x2_bf16lds_kst_v2_biasabi7,108.27,,182.85,0,0,0,23.12,5377.21,testwide_full_pipeline_copyopt_8rail_trace40_tail20,40,20,trace_tail20_comm_sort_mean;gemm1_gemm2_independent_min;combine_includes_output_copy;valid=320/320,40.1875,59.45,1.21,14.44,182.85,102.90,2.85,359.64
gfx950,256,8,128,3584,3072,896,56,16,16,ActivationType.Situv2,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,mfma_moe1_silu_mul_afp4_wfp4_fp4_t32x128x256_pm1_fp4q_sort_async_situv2_v2out_v33,95.40,,gemm2_a4w4_port_hmax8192_imax3072_bm32_bn128_bk128_nt_atomic_persist_cu256_bhoist_apf_spart4x2_bf16lds_kst_v2_biasabi7,138.55,,233.95,0,0,0,36.14,4205.22,testwide_full_pipeline_copyopt_8rail_trace40_tail20,40,20,trace_tail20_comm_sort_mean;gemm1_gemm2_independent_min;combine_includes_output_copy;valid=320/320,83.4375,63.25,2.37,14.46,233.95,104.09,5.84,415.74
gfx950,256,16,256,3584,3072,896,56,16,16,ActivationType.Situv2,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,mfma_moe1_silu_mul_afp4_wfp4_fp4_t32x128x256_pm1_fp4q_sort_async_situv2_v2out_v33,103.48,,gemm2_a4w4_port_hmax8192_imax3072_bm32_bn128_bk128_nt_atomic_persist_cu256_bhoist_apf_spart4x2_bf16lds_kst_v2_biasabi7,141.66,,245.14,0,0,0,68.99,4018.03,testwide_full_pipeline_copyopt_8rail_trace40_tail20,40,20,trace_tail20_comm_sort_mean;gemm1_gemm2_independent_min;combine_includes_output_copy;valid=320/320,166.6875,61.60,4.86,14.73,245.14,94.12,12.74,415.59
gfx950,256,32,512,3584,3072,896,56,16,16,ActivationType.Situv2,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,64,0,mfma_moe1_silu_mul_afp4_wfp4_fp4_t64x128x256_pm1_fp4q_sort_async_situv2_v2out_v33,130.42,,gemm2_a4w4_port_hmax8192_imax3072_bm64_bn256_bk128_nt_atomic_bhoist_apf_spart4x2_bf16lds_kst_v2_biasabi7,262.46,,392.88,0,0,0,86.09,2513.01,testwide_full_pipeline_copyopt_8rail_trace40_tail20,40,20,trace_tail20_comm_sort_mean;gemm1_gemm2_independent_min;combine_includes_output_copy;valid=320/320,331.3125,71.09,8.43,18.56,392.88,107.96,22.09,590.49
gfx950,256,64,1024,3584,3072,896,56,16,16,ActivationType.Situv2,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,64,0,mfma_moe1_silu_mul_afp4_wfp4_fp4_t64x128x256_pm1_fp4q_sort_async_situv2_v2out_v33,133.14,,gemm2_a4w4_port_hmax8192_imax3072_bm64_bn256_bk128_atomic_persist_cu256_bhoist_apf_spart4x2_bf16lds_kst_v2_biasabi7,225.36,,358.50,0,0,0,188.69,2767.08,testwide_full_pipeline_copyopt_8rail_trace40_tail20,40,20,trace_tail20_comm_sort_mean;gemm1_gemm2_independent_min;combine_includes_output_copy;valid=320/320,663.8750,91.29,13.79,21.01,358.50,123.97,39.71,594.78
gfx950,256,128,2048,3584,3072,896,56,16,16,ActivationType.Situv2,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,mfma_moe1_silu_mul_afp4_wfp4_fp4_t32x128x256_pm1_fp4q_sort_async_situv2_v2out_v33,151.45,,gemm2_a4w4_port_hmax8192_imax3072_bm32_nt_atomic_bhoist_apf_spart4x2_bf16lds_kst_v2_biasabi7,128.49,,279.94,0,0,0,483.28,3577.09,testwide_full_pipeline_copyopt_8rail_trace40_tail20,40,20,trace_tail20_comm_sort_mean;gemm1_gemm2_independent_min;combine_includes_output_copy;valid=320/320,1327.6875,96.24,26.19,27.50,279.94,125.19,78.75,528.87
gfx950,256,256,4096,3584,3072,896,56,16,16,ActivationType.Situv2,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,64,0,mfma_moe1_silu_mul_afp4_wfp4_fp4_t64x128x256_pm1_fp4q_sort_async_situv2_v2out_v33,168.59,,gemm2_a4w4_port_hmax8192_imax3072_bm64_bn256_bk128_atomic_persist_cu256_bhoist_apf_spart4x2_bf16lds_kst_v2_biasabi7,263.93,,432.52,0,0,0,625.60,2358.48,testwide_full_pipeline_copyopt_8rail_trace40_tail20,40,20,trace_tail20_comm_sort_mean;gemm1_gemm2_independent_min;combine_includes_output_copy;valid=320/320,2654.5000,131.39,36.59,30.27,432.52,306.16,62.31,900.35
gfx950,256,512,8192,3584,3072,896,56,16,16,ActivationType.Situv2,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,128,0,mfma_moe1_silu_mul_afp4_wfp4_fp4_t128x128x256_pm1_fp4q_sort_async_situv2_v2out_v33,273.31,,gemm2_a4w4_port_hmax8192_imax3072_bm128_nt_atomic_bhoist_apf_spart4x2_bf16lds_kst_v2_biasabi7,468.71,,742.02,0,0,0,729.32,1425.12,testwide_full_pipeline_copyopt_8rail_trace40_tail20,40,20,trace_tail20_comm_sort_mean;gemm1_gemm2_independent_min;combine_includes_output_copy;valid=320/320,5299.5625,211.71,45.09,39.26,742.02,451.50,84.35,1444.49
