w_dtype,model_dim,inter_dim,experts,topk,token,stage,tile_m,tile_n,tile_k,k_wave,xcd_swizzle,b_nt
int4,7168,256,385,9,4,2,32,256,256,1,1,0
int4,7168,256,385,9,8,1,32,128,256,1,0,0
int4,7168,256,385,9,8,2,32,256,256,1,1,0
int4,7168,256,385,9,16,1,32,128,256,1,0,2
int4,7168,256,385,9,16,2,32,256,256,1,1,0
int4,7168,256,385,9,32,1,32,128,256,1,0,2
int4,7168,256,385,9,32,2,32,256,256,1,1,2
int4,7168,256,385,9,64,1,32,128,256,1,0,2
int4,7168,256,385,9,64,2,32,256,256,1,1,2
int4,7168,256,385,9,128,1,32,128,256,1,0,2
int4,7168,256,385,9,128,2,32,256,256,1,1,2
int4,7168,256,385,9,256,1,32,128,256,1,0,2
int4,7168,256,385,9,256,2,32,256,256,1,1,2
int4,7168,256,385,9,512,1,32,128,256,1,0,2
int4,7168,256,385,9,512,2,32,256,256,1,1,2
int4,7168,256,385,9,1024,1,32,128,256,1,0,2
int4,7168,256,385,9,1024,2,32,256,256,1,1,2
int4,7168,256,385,9,2048,1,64,64,256,1,0,0
int4,7168,256,385,9,2048,2,64,256,256,1,1,0
int4,7168,256,385,9,4096,1,32,128,256,1,0,0
int4,7168,256,385,9,4096,2,32,256,256,1,1,0
int4,7168,256,385,9,8192,1,32,128,256,1,0,0
int4,7168,256,385,9,8192,2,32,256,256,1,1,0
int4,7168,256,385,9,16384,1,32,128,256,1,0,0
int4,7168,256,385,9,16384,2,32,256,256,1,1,0
int4,7168,256,385,9,32768,1,32,128,256,1,0,0
int4,7168,256,385,9,32768,2,32,256,256,1,1,0
int4,7168,512,385,9,1,1,32,128,256,1,0,0
int4,7168,512,385,9,1,2,32,256,256,1,1,0
int4,7168,512,385,9,2,1,32,128,256,1,0,0
int4,7168,512,385,9,2,2,32,256,256,1,1,0
int4,7168,512,385,9,4,1,32,128,256,1,0,0
int4,7168,512,385,9,4,2,32,256,256,1,1,0
int4,7168,512,385,9,8,1,32,128,256,1,0,0
int4,7168,512,385,9,8,2,32,256,256,1,1,0
int4,7168,512,385,9,16,1,32,128,256,1,0,2
int4,7168,512,385,9,16,2,32,256,256,1,1,0
int4,7168,512,385,9,32,1,32,128,256,1,0,2
int4,7168,512,385,9,32,2,32,256,256,1,1,2
int4,7168,512,385,9,64,1,32,128,256,1,0,2
int4,7168,512,385,9,64,2,32,256,256,1,1,2
int4,7168,512,385,9,128,1,32,128,256,1,0,2
int4,7168,512,385,9,128,2,32,256,256,1,1,2
int4,7168,512,385,9,256,1,32,128,256,1,0,2
int4,7168,512,385,9,256,2,32,256,256,1,1,2
int4,7168,512,385,9,512,1,32,128,256,1,0,2
int4,7168,512,385,9,512,2,32,256,256,1,1,2
int4,7168,512,385,9,1024,1,32,128,256,1,0,2
int4,7168,512,385,9,1024,2,32,256,256,1,1,2
int4,7168,512,385,9,2048,1,64,64,256,1,0,0
int4,7168,512,385,9,2048,2,64,256,256,1,1,0
int4,7168,512,385,9,4096,1,32,128,256,1,0,0
int4,7168,512,385,9,4096,2,32,256,256,1,1,0
int4,7168,512,385,9,8192,1,32,128,256,1,0,0
int4,7168,512,385,9,8192,2,32,256,256,1,1,0
int4,7168,512,385,9,16384,1,32,128,256,1,0,0
int4,7168,512,385,9,16384,2,32,256,256,1,1,0
int4,7168,512,385,9,32768,1,32,128,256,1,0,0
int4,7168,512,385,9,32768,2,32,256,256,1,1,0
int4,7168,1024,385,9,1,1,32,128,256,1,0,0
int4,7168,1024,385,9,1,2,32,256,256,1,1,0
int4,7168,1024,385,9,2,1,32,128,256,1,0,0
int4,7168,1024,385,9,2,2,32,256,256,1,1,0
int4,7168,1024,385,9,4,1,32,128,256,1,0,0
int4,7168,1024,385,9,4,2,32,256,256,1,1,0
int4,7168,1024,385,9,8,1,32,128,256,1,0,0
int4,7168,1024,385,9,8,2,32,256,256,1,1,0
int4,7168,1024,385,9,16,1,32,128,256,1,0,2
int4,7168,1024,385,9,16,2,32,256,256,1,1,0
int4,7168,1024,385,9,32,1,32,128,256,1,0,2
int4,7168,1024,385,9,32,2,32,256,256,1,1,2
int4,7168,1024,385,9,64,1,32,128,256,1,0,2
int4,7168,1024,385,9,64,2,32,256,256,1,1,2
int4,7168,1024,385,9,128,1,32,128,256,1,0,2
int4,7168,1024,385,9,128,2,32,256,256,1,1,2
int4,7168,1024,385,9,256,1,32,128,256,1,0,2
int4,7168,1024,385,9,256,2,32,256,256,1,1,2
int4,7168,1024,385,9,512,1,32,128,256,1,0,2
int4,7168,1024,385,9,512,2,32,256,256,1,1,2
int4,7168,1024,385,9,1024,1,32,128,256,1,0,2
int4,7168,1024,385,9,1024,2,32,256,256,1,1,2
int4,7168,1024,385,9,2048,1,64,64,256,1,0,0
int4,7168,1024,385,9,2048,2,64,256,256,1,1,0
int4,7168,1024,385,9,4096,1,32,128,256,1,0,0
int4,7168,1024,385,9,4096,2,32,256,256,1,1,0
int4,7168,1024,385,9,8192,1,32,128,256,1,0,0
int4,7168,1024,385,9,8192,2,32,256,256,1,1,0
int4,7168,1024,385,9,16384,1,32,128,256,1,0,0
int4,7168,1024,385,9,16384,2,32,256,256,1,1,0
int4,7168,1024,385,9,32768,1,32,128,256,1,0,0
int4,7168,1024,385,9,32768,2,32,256,256,1,1,0
bf16,3584,512,896,16,1,1,32,256,256,1,0,0
bf16,3584,512,896,16,1,2,32,256,256,1,1,0
bf16,3584,512,896,16,2,1,32,256,256,1,0,0
bf16,3584,512,896,16,2,2,32,256,256,1,1,0
bf16,3584,512,896,16,4,1,32,256,256,1,0,0
bf16,3584,512,896,16,4,2,32,256,256,1,1,0
bf16,3584,512,896,16,8,1,32,256,256,1,0,0
bf16,3584,512,896,16,8,2,32,256,256,1,1,0
bf16,3584,512,896,16,16,1,32,256,256,1,0,2
bf16,3584,512,896,16,16,2,32,256,256,1,1,0
bf16,3584,512,896,16,32,1,32,256,256,1,0,2
bf16,3584,512,896,16,32,2,32,256,256,1,1,2
bf16,3584,512,896,16,64,1,32,256,256,1,0,2
bf16,3584,512,896,16,64,2,32,256,256,1,1,2
bf16,3584,512,896,16,128,1,32,256,256,1,0,2
bf16,3584,512,896,16,128,2,32,256,256,1,1,2
bf16,3584,512,896,16,256,1,32,256,256,1,0,2
bf16,3584,512,896,16,256,2,32,256,256,1,1,2
bf16,3584,512,896,16,512,1,32,256,256,1,0,2
bf16,3584,512,896,16,512,2,32,256,256,1,1,2
bf16,3584,512,896,16,1024,1,32,256,256,1,0,2
bf16,3584,512,896,16,1024,2,32,256,256,1,1,2
bf16,3584,512,896,16,2048,1,32,256,256,1,0,0
bf16,3584,512,896,16,2048,2,32,256,256,1,1,0
bf16,3584,512,896,16,4096,1,32,256,256,1,0,0
bf16,3584,512,896,16,4096,2,32,256,256,1,1,0
bf16,3584,512,896,16,8192,1,32,256,256,1,0,0
bf16,3584,512,896,16,8192,2,32,256,256,1,1,0
bf16,3584,512,896,16,16384,1,32,256,256,1,0,0
bf16,3584,512,896,16,16384,2,32,256,256,1,1,0
bf16,3584,512,896,16,32768,1,32,256,256,1,0,0
bf16,3584,512,896,16,32768,2,32,256,256,1,1,0
bf16,1024,256,8,2,1,1,32,256,256,1,0,0
bf16,1024,256,8,2,1,2,32,256,256,1,1,0
bf16,1024,256,8,2,2,1,32,256,256,1,0,0
bf16,1024,256,8,2,2,2,32,256,256,1,1,0
bf16,1024,256,8,2,4,1,32,256,256,1,0,0
bf16,1024,256,8,2,4,2,32,256,256,1,1,0
bf16,1024,256,8,2,8,1,32,256,256,1,0,0
bf16,1024,256,8,2,8,2,32,256,256,1,1,0
bf16,1024,256,8,2,16,1,32,256,256,1,0,2
bf16,1024,256,8,2,16,2,32,256,256,1,1,0
bf16,1024,256,8,2,32,1,32,256,256,1,0,2
bf16,1024,256,8,2,32,2,32,256,256,1,1,2
bf16,1024,256,8,2,64,1,32,256,256,1,0,2
bf16,1024,256,8,2,64,2,32,256,256,1,1,2
bf16,1024,256,8,2,128,1,32,256,256,1,0,2
bf16,1024,256,8,2,128,2,32,256,256,1,1,2
bf16,1024,256,8,2,256,1,32,256,256,1,0,2
bf16,1024,256,8,2,256,2,32,256,256,1,1,2
bf16,1024,256,8,2,512,1,32,256,256,1,0,2
bf16,1024,256,8,2,512,2,32,256,256,1,1,2
bf16,1024,256,8,2,1024,1,32,256,256,1,0,2
bf16,1024,256,8,2,1024,2,32,256,256,1,1,2
bf16,1024,256,8,2,2048,1,32,256,256,1,0,0
bf16,1024,256,8,2,2048,2,32,256,256,1,1,0
bf16,1024,256,8,2,4096,1,32,256,256,1,0,0
bf16,1024,256,8,2,4096,2,32,256,256,1,1,0
bf16,1024,256,8,2,8192,1,32,256,256,1,0,0
bf16,1024,256,8,2,8192,2,32,256,256,1,1,0
bf16,1024,256,8,2,16384,1,32,256,256,1,0,0
bf16,1024,256,8,2,16384,2,32,256,256,1,1,0
bf16,1024,256,8,2,32768,1,32,256,256,1,0,0
bf16,1024,256,8,2,32768,2,32,256,256,1,1,0
