shape,B,op,wdtype,act,flydsl_us,ck_us,ratio,fly_tbs,ck_tbs,fly_peak,fly_spr,ck_spr,cos,note
qwen3next,1,down,fp4,-,9.47373,9.5693,0.990013,0.588001,0.582128,7.35001,0.971419,0.204822,1,
qwen3next,1,down,fp8,-,15.3855,11.1027,1.38575,0.681533,0.944433,8.51916,3.65364,0.275609,1,
qwen3next,1,gate_up,fp4,bf16,16.1139,7.3062,2.20551,0.691399,1.52489,8.64249,0.134404,0.744573,1,
qwen3next,1,gate_up,fp8,bf16,22.0691,7.7709,2.83997,0.950264,2.69872,11.8783,1.19292,1.25854,1,
qwen3next,1,gate_up,fp8,fp8,22.2304,8.4727,2.62377,0.943372,2.47519,11.7921,1.15649,0.863951,1,
qwen3next,2,down,fp4,-,12.0303,10.8077,1.11312,0.926088,1.03085,11.5761,3.59367,0.287758,1,
qwen3next,2,down,fp8,-,15.9282,15.0054,1.0615,1.31662,1.3976,16.4578,2.98514,0.472497,1,
qwen3next,2,gate_up,fp4,bf16,18.0685,10.8219,1.66962,1.23321,2.059,15.4151,0.272393,0.126595,1,
qwen3next,2,gate_up,fp8,bf16,24.8791,12.6618,1.9649,1.68587,3.31257,21.0734,0.957821,0.301695,1,
qwen3next,2,gate_up,fp8,fp8,23.8774,13.1107,1.82122,1.7566,3.19915,21.9575,6.33497,0.180006,1,noisy (>5% spread)
deepseek-v3,1,down,fp4,-,26.3271,28.2408,0.932238,2.36981,2.20922,29.6226,5.14478,0.245744,1,noisy (>5% spread)
deepseek-v3,1,down,fp8,-,37.2139,42.5135,0.875343,3.15582,2.76243,39.4478,6.45876,0.270738,1,noisy (>5% spread)
deepseek-v3,1,gate_up,fp4,bf16,62.0699,50.1277,1.23824,2.01032,2.48925,25.129,0.407667,1.08164,1,
deepseek-v3,1,gate_up,fp8,bf16,83.5156,48.1331,1.7351,2.81242,4.87982,35.1553,1.2999,3.47557,1,
deepseek-v3,1,gate_up,fp8,fp8,83.2491,46.5851,1.78703,2.82143,5.04198,35.2678,0.495223,0.128797,1,
deepseek-v3,2,down,fp4,-,46.6954,36.2379,1.28858,2.67222,3.44337,33.4028,0.407932,1.9165,1,
deepseek-v3,2,down,fp8,-,59.3041,62.6325,0.946858,3.96062,3.75015,49.5078,0.785358,2.23335,1,
deepseek-v3,2,gate_up,fp4,bf16,79.8376,91.2783,0.874661,3.12586,2.73407,39.0733,2.85729,0.777731,1,
deepseek-v3,2,gate_up,fp8,bf16,106.747,88.1698,1.2107,4.4007,5.32792,55.0087,7.2933,1.19894,1,noisy (>5% spread)
deepseek-v3,2,gate_up,fp8,fp8,100.469,89.2016,1.12632,4.67567,5.2663,58.4459,8.47913,0.447526,1,noisy (>5% spread)
