tile_M,tile_N,block_size,splitK,bpreshuffle,pack_layout,swizzle_max_M,swizzle_max_N,swizzle_max_K,knl_name,co_name
256,256,256,0,0,mxfp6_mxfp4_c0_256_padk2,0,0,0,_ZN5aiter40f6f4gemm_bf16_per1x32Fp6Fp4_m32_s0_a4_ntE,f6f4gemm_bf16_per1x32Fp6Fp4_m32_s0_a4_nt.co
256,256,256,0,0,mxfp6_mxfp4_c0_256_padk2,131072,16384,6144,_ZN5aiter39f6f4gemm_bf16_per1x32Fp6Fp4_m32_s3_a4_tE,f6f4gemm_bf16_per1x32Fp6Fp4_m32_s3_a4_t.co
256,256,256,0,0,mxfp6_mxfp4_c0_256_padk2,131072,16384,6144,_ZN5aiter39f6f4gemm_bf16_per1x32Fp6Fp4_m32_s3_a5_tE,f6f4gemm_bf16_per1x32Fp6Fp4_m32_s3_a5_t.co
256,256,256,0,0,mxfp6_mxfp4_c0_256_padk2,0,0,0,_ZN5aiter39f6f4gemm_bf16_per1x32Fp6Fp4_m32_s0_a4_tE,f6f4gemm_bf16_per1x32Fp6Fp4_m32_s0_a4_t.co
256,256,256,0,0,mxfp6_mxfp4_c0_256_padk2,131072,16384,65536,aiter_a6w4_stnt_allk,a6w4_stnt_allk.co
256,256,256,0,0,mxfp6_mxfp4_c0_256_padk2,131072,16384,16384,aiter_a6w4_stnt,a6w4_stnt.co
256,256,256,0,0,mxfp6_mxfp4_c0_256_padk2,0,0,0,aiter_a6w4_swz0,a6w4_swz0.co
256,256,256,0,0,mxfp6_mxfp4_c0_256_padk2,131072,16384,65536,aiter_a6w4_stnt_allk_bias,a6w4_stnt_allk_bias.co
256,256,256,0,0,mxfp6_mxfp4_c0_256_padk2,131072,16384,16384,aiter_a6w4_stnt_bias,a6w4_stnt_bias.co
256,256,256,0,0,mxfp6_mxfp4_c0_256_padk2,0,0,0,aiter_a6w4_swz0_bias,a6w4_swz0_bias.co
256,256,256,0,0,mxfp6_mxfp4_c0_256_padk2,0,0,0,aiter_a6w4_m32_s0_a4_nt_bias,a6w4_m32_s0_a4_nt_bias.co
256,256,256,0,0,mxfp6_mxfp4_c0_256_padk2,0,0,0,aiter_a6w4_m32_s0_a4_t_bias,a6w4_m32_s0_a4_t_bias.co
256,256,256,0,0,mxfp6_mxfp4_c0_256_padk2,131072,16384,6144,aiter_a6w4_m32_s3_a4_t_bias,a6w4_m32_s3_a4_t_bias.co
256,256,256,0,0,mxfp6_mxfp4_c0_256_padk2,131072,16384,6144,aiter_a6w4_m32_s3_a5_t_bias,a6w4_m32_s3_a5_t_bias.co
256,256,256,0,0,mxfp6_mxfp4_c0_256_padk2,0,0,0,aiter_a6w4_dfp6_d3_s0,a6w4_dfp6_d3_s0.co
256,256,256,0,0,mxfp6_mxfp4_c0_256_padk2,131072,16384,6144,aiter_a6w4_dfp6_d3_s3,a6w4_dfp6_d3_s3.co
256,256,256,0,0,mxfp6_mxfp4_c0_256_padk2,0,0,0,aiter_a6w4_dfp6_d4_s0,a6w4_dfp6_d4_s0.co
256,256,256,0,0,mxfp6_mxfp4_c0_256_padk2,131072,16384,6144,aiter_a6w4_dfp6_d4_s3,a6w4_dfp6_d4_s3.co
256,256,256,0,0,mxfp6_mxfp4_c0_256_padk2,0,0,0,aiter_a6w4_dfp6_d3_s0_bias,a6w4_dfp6_d3_s0_bias.co
256,256,256,0,0,mxfp6_mxfp4_c0_256_padk2,131072,16384,6144,aiter_a6w4_dfp6_d3_s3_bias,a6w4_dfp6_d3_s3_bias.co
256,256,256,0,0,mxfp6_mxfp4_c0_256_padk2,0,0,0,aiter_a6w4_dfp6_d4_s0_bias,a6w4_dfp6_d4_s0_bias.co
256,256,256,0,0,mxfp6_mxfp4_c0_256_padk2,131072,16384,6144,aiter_a6w4_dfp6_d4_s3_bias,a6w4_dfp6_d4_s3_bias.co
256,256,256,0,0,mxfp6_mxfp4_c0_256_padk2,131072,16384,65536,aiter_a6w4_stnt_allk_d1,a6w4_stnt_allk_d1.co
256,256,256,0,0,mxfp6_mxfp4_c0_256_padk2,131072,16384,65536,aiter_a6w4_stnt_allk_d2,a6w4_stnt_allk_d2.co
256,256,256,0,0,mxfp6_mxfp4_c0_256_padk2,131072,16384,65536,aiter_a6w4_stnt_allk_d2_bias,a6w4_stnt_allk_d2_bias.co
256,256,256,0,0,mxfp6_mxfp4_c0_256_padk2,131072,16384,16384,aiter_a6w4_stnt_d2,a6w4_stnt_d2.co
256,256,256,0,0,mxfp6_mxfp4_c0_256_padk2,131072,16384,16384,aiter_a6w4_stnt_d2_bias,a6w4_stnt_d2_bias.co
256,256,256,0,0,mxfp6_mxfp4_c0_256_padk2,131072,16384,65536,aiter_a6w4_stnt_allk_d2_w0,a6w4_stnt_allk_d2_w0.co
256,256,256,0,0,mxfp6_mxfp4_c0_256_padk2,131072,16384,65536,aiter_a6w4_stnt_allk_d2_w14,a6w4_stnt_allk_d2_w14.co
256,256,256,0,0,mxfp6_mxfp4_c0_256_padk2,131072,16384,65536,aiter_a6w4_stnt_allk_d3,a6w4_stnt_allk_d3.co
256,256,256,0,0,mxfp6_mxfp4_c0_256_padk2,131072,16384,65536,aiter_a6w4_stnt_allk_d3_bias,a6w4_stnt_allk_d3_bias.co
