gfx,cu_num,B,M,N,K,libtype,kernelId,splitK,us,kernelName,tflops,bw,errRatio
gfx1250,256,16,128,1024,4096,flydsl,582,1,12.9,flydsl_blockscale_bpreshuffle_bmm_t128x128x512_mw4_nw1_nb2_sk1_cm1_cn1,1331.97,6183.0549,0.0
gfx1250,256,16,192,1024,4096,flydsl,399,1,20.6,flydsl_blockscale_bpreshuffle_bmm_t64x256x256_mw1_nw4_nb2_sk1_cm1_cn1,1250.81,4178.9142,0.0
gfx1250,256,16,256,1024,4096,flydsl,747,1,23.2,flydsl_blockscale_bpreshuffle_bmm_t256x128x256_mw4_nw1_nb2_sk1_cm1_cn1,1484.1,3983.1834,0.0
gfx1250,256,16,384,1024,4096,flydsl,640,1,28.7,flydsl_blockscale_bpreshuffle_bmm_t128x256x256_mw2_nw4_nb3_sk1_cm1_cn1,1796.4,3660.5681,0.0
gfx1250,256,16,512,1024,4096,flydsl,700,1,34.5,flydsl_blockscale_bpreshuffle_bmm_t256x128x256_mw2_nw1_nb3_sk1_cm1_cn1,1989.97,3411.7899,0.0
gfx1250,256,16,768,1024,4096,flydsl,783,1,46.8,flydsl_blockscale_bpreshuffle_bmm_t256x256x256_mw2_nw2_nb2_sk1_cm1_cn1,2204.15,3055.6335,0.0
gfx1250,256,16,1024,1024,4096,flydsl,783,1,52.5,flydsl_blockscale_bpreshuffle_bmm_t256x256x256_mw2_nw2_nb2_sk1_cm1_cn1,2616.79,3205.7246,0.0
gfx1250,256,16,2048,1024,4096,flydsl,783,1,87.1,flydsl_blockscale_bpreshuffle_bmm_t256x256x256_mw2_nw2_nb2_sk1_cm1_cn1,3156.19,3094.0084,0.0
gfx1250,256,16,4096,1024,4096,flydsl,783,1,166.6,flydsl_blockscale_bpreshuffle_bmm_t256x256x256_mw2_nw2_nb2_sk1_cm1_cn1,3300.11,2832.3127,0.0
gfx1250,256,16,8192,1024,4096,flydsl,783,1,297.1,flydsl_blockscale_bpreshuffle_bmm_t256x256x256_mw2_nw2_nb2_sk1_cm1_cn1,3700.93,2950.5676,0.0
gfx1250,256,16,16384,1024,4096,flydsl,783,1,613.4,flydsl_blockscale_bpreshuffle_bmm_t256x256x256_mw2_nw2_nb2_sk1_cm1_cn1,3585.23,2748.8006,0.0
