M,N,K,,,hblt_fp8,a8w8,a6w6,,,hblt_delta%,a8w8_delta%,delta%
8192,8192,16384,,,3415.75,2468.22,4168.16,,,22.03,68.87,22.03
14850,2048,2048,,,1915.33,2205.09,2241.42,,,17.03,1.65,1.65
14850,2048,8192,,,2858.81,2013.85,3110.71,,,8.81,54.47,8.81
544,3072,3072,,,1065.18,577.51,912.16,,,-14.37,57.95,-14.37
544,3072,12288,,,1202.14,726.46,1204.06,,,0.16,65.74,0.16
2080,3072,3072,,,1624.95,1427.95,1957.98,,,20.49,37.12,20.49
2080,3072,12288,,,2150.85,1801.14,2405.73,,,11.85,33.57,11.85
512,5120,5120,,,1419.74,996.26,1462.90,,,3.04,46.84,3.04
512,5120,13824,,,1344.97,1571.69,1671.26,,,24.26,6.34,6.34
4095,5120,5120,,,2501.33,1467.88,2485.55,,,-0.63,69.33,-0.63
4095,5120,13824,,,3115.62,2124.78,3017.46,,,-3.15,42.01,-3.15
5850,5120,5120,,,2418.59,1003.18,2955.09,,,22.18,194.57,22.18
5850,5120,13824,,,2672.62,2083.69,3539.97,,,32.45,69.89,32.45
9419,5120,5120,,,2605.85,572.18,3105.81,,,19.19,442.80,19.19
9419,5120,13824,,,3068.21,2135.51,3817.22,,,24.41,78.75,24.41
9450,5120,5120,,,2633.96,573.14,3139.83,,,19.21,447.83,19.21
9450,5120,13824,,,3194.48,2167.95,3733.75,,,16.88,72.22,16.88
13950,5120,5120,,,2888.45,510.83,3030.33,,,4.91,493.21,4.91
13950,5120,13824,,,3084.69,2038.98,3619.01,,,17.32,77.49,17.32
14260,5120,5120,,,2880.26,521.03,3139.82,,,9.01,502.61,9.01
14260,5120,13824,,,3187.67,2088.11,3741.25,,,17.37,79.17,17.37
18900,5120,5120,,,2827.15,1864.84,3389.69,,,19.90,81.77,19.90
18900,5120,13824,,,3117.59,2066.95,3843.29,,,23.28,85.94,23.28
37800,5120,5120,,,2567.81,1811.37,3477.59,,,35.43,91.99,35.43
37800,5120,13824,,,2913.80,2123.08,3957.80,,,35.83,86.42,35.83
75348,5120,5120,,,2666.16,1806.58,3530.66,,,32.42,95.43,32.42
75348,5120,13824,,,3003.65,2105.63,3900.75,,,29.87,85.25,29.87
75600,5120,5120,,,2645.41,1799.77,3495.60,,,32.14,94.23,32.14
75600,5120,13824,,,3065.89,2123.31,4001.83,,,30.53,88.47,30.53
576,6144,6144,,,1430.23,1304.34,2098.32,,,46.71,60.87,46.71
576,6144,18432,,,1911.93,1454.57,2361.03,,,23.49,62.32,23.49
576,6144,24576,,,2168.40,1508.76,2390.27,,,10.23,58.43,10.23
928,6144,6144,,,1787.26,1477.57,2171.70,,,21.51,46.98,21.51
928,6144,18432,,,2196.35,1793.14,2334.99,,,6.31,30.22,6.31
928,6144,24576,,,2382.41,1744.25,2471.34,,,3.73,41.68,3.73
2112,6144,6144,,,2484.15,1662.85,2649.81,,,6.67,59.35,6.67
2112,6144,18432,,,2800.47,1913.92,3172.13,,,13.27,65.74,13.27
2112,6144,24576,,,2856.14,1930.05,3351.02,,,17.33,73.62,17.33
14850,8192,2048,,,2297.24,496.70,2491.61,,,8.46,401.63,8.46
544,12288,3072,,,1695.31,1407.69,1753.62,,,3.44,24.57,3.44
2080,12288,3072,,,2003.71,1661.13,2394.83,,,19.52,44.17,19.52
512,13824,5120,,,1645.82,1899.33,1959.98,,,19.09,3.19,3.19
4095,13824,5120,,,2451.12,1972.12,3006.23,,,22.65,52.44,22.65
5850,13824,5120,,,2890.12,1954.34,3132.90,,,8.40,60.30,8.40
9419,13824,5120,,,2828.08,1995.77,3396.70,,,20.11,70.20,20.11
9450,13824,5120,,,2654.93,2010.75,3308.32,,,24.61,64.53,24.61
13950,13824,5120,,,2675.20,1968.84,3304.17,,,23.51,67.82,23.51
14260,13824,5120,,,2745.28,1980.64,3484.71,,,26.93,75.94,26.93
18900,13824,5120,,,2909.80,1990.52,3536.76,,,21.55,77.68,21.55
37800,13824,5120,,,2741.00,1989.77,3563.59,,,30.01,79.10,30.01
75348,13824,5120,,,2774.43,1977.24,3549.60,,,27.94,79.52,27.94
75600,13824,5120,,,2723.71,1956.35,3592.59,,,31.90,83.64,31.90
576,18432,6144,,,2497.85,1599.49,2223.47,,,-10.98,39.01,-10.98
928,18432,6144,,,2656.35,1728.35,2402.31,,,-9.56,38.99,-9.56
2112,18432,6144,,,2924.78,1961.42,2943.43,,,0.64,50.07,0.64
576,55296,6144,,,2468.13,1505.72,2111.32,,,-14.46,40.22,-14.46
928,55296,6144,,,2580.28,1694.38,2743.61,,,6.33,61.92,6.33
2112,55296,6144,,,2774.32,1763.78,2995.32,,,7.97,69.82,7.97
8192,9216,3072,,,2721.95,2073.11,2789.41,,,2.48,34.55,2.48
16384,9216,3072,,,2796.27,2054.44,3077.90,,,10.07,49.82,10.07
32768,9216,3072,,,2639.68,2071.75,3243.30,,,22.87,56.55,22.87
8192,12288,3072,,,2840.48,2112.94,3072.34,,,8.16,45.41,8.16
16384,12288,3072,,,2598.34,2051.54,3181.07,,,22.43,55.06,22.43
32768,12288,3072,,,2586.51,2067.92,3268.54,,,26.37,58.06,26.37
8192,3072,3072,,,2421.37,2019.33,2441.34,,,0.82,20.90,0.82
16384,3072,3072,,,2758.80,2062.89,2748.05,,,-0.39,33.21,-0.39
32768,3072,3072,,,2696.44,2076.40,2965.31,,,9.97,42.81,9.97
8192,3072,9216,,,2870.28,2314.43,3004.66,,,4.68,29.82,4.68
16384,3072,9216,,,3275.25,2398.56,3664.98,,,11.90,52.80,11.90
32768,3072,9216,,,3082.84,2266.67,3825.39,,,24.09,68.77,24.09
9216,3072,8192,,,2859.30,2335.51,3103.95,,,8.56,32.90,8.56
9216,3072,16384,,,3030.52,2456.28,3492.36,,,15.24,42.18,15.24
9216,3072,32768,,,2925.35,2127.12,3749.71,,,28.18,76.28,28.18
