cu_num,M,N,K,kernelId,splitK,us,kernelName,tflops,bw,errRatio
80,1,9216,4096,30,0,12.9048,a8w8_bpreshuffle_cktile_0x0x8x4x1x0x0x0x0x2_16x64x512_1x4x1_16x16x64_default,5.85,2926.92,0.0
80,2,9216,4096,2,0,12.9388,a8w8_bpreshuffle_cktile_0x0x8x4x1x0x0x0x0x1_16x64x512_1x4x1_16x16x64_default,11.67,2920.97,0.0
80,4,9216,4096,2,0,12.9816,a8w8_bpreshuffle_cktile_0x0x8x4x1x0x0x0x0x1_16x64x512_1x4x1_16x16x64_default,23.26,2914.81,0.0
80,8,9216,4096,30,0,13.1572,a8w8_bpreshuffle_cktile_0x0x8x4x1x0x0x0x0x2_16x64x512_1x4x1_16x16x64_default,45.9,2882.75,0.0
80,16,9216,4096,2,0,14.0139,a8w8_bpreshuffle_cktile_0x0x8x4x1x0x0x0x0x1_16x64x512_1x4x1_16x16x64_default,86.2,2719.38,0.0
80,32,9216,4096,9,0,16.7096,a8w8_bpreshuffle_cktile_0x0x8x4x1x0x0x0x0x1_32x64x512_1x4x1_16x16x64_default,144.58,2302.25,0.0
80,64,9216,4096,22,0,24.5395,a8w8_bpreshuffle_cktile_0x0x8x4x1x0x0x0x0x1_64x64x256_1x4x1_16x16x64_default,196.9,1597.04,0.0
80,128,9216,4096,24,0,35.4998,a8w8_bpreshuffle_cktile_0x0x8x4x1x0x0x0x0x1_64x128x256_1x4x1_16x16x64_default,272.22,1144.58,0.0
80,256,9216,4096,68,0,63.803,a8w8_bpreshuffle_cktile_0x0x8x4x1x0x0x0x0x2_64x256x256_1x4x1_16x16x64_default,302.92,682.04,0.0
80,1024,9216,4096,54,0,211.9977,a8w8_bpreshuffle_cktile_0x0x8x4x1x0x0x0x0x2_64x192x128_1x4x1_16x16x64_default,364.67,286.88,0.0
80,2048,9216,4096,54,0,410.3007,a8w8_bpreshuffle_cktile_0x0x8x4x1x0x0x0x0x2_64x192x128_1x4x1_16x16x64_default,376.84,204.45,0.0
80,4096,9216,4096,54,0,786.7339,a8w8_bpreshuffle_cktile_0x0x8x4x1x0x0x0x0x2_64x192x128_1x4x1_16x16x64_default,393.07,165.27,0.0
80,4240,9216,4096,54,0,829.5777,a8w8_bpreshuffle_cktile_0x0x8x4x1x0x0x0x0x2_64x192x128_1x4x1_16x16x64_default,385.87,160.64,0.0
80,16384,9216,4096,54,0,3084.9868,a8w8_bpreshuffle_cktile_0x0x8x4x1x0x0x0x0x2_64x192x128_1x4x1_16x16x64_default,400.96,131.88,0.0
80,32768,9216,4096,54,0,6135.9085,a8w8_bpreshuffle_cktile_0x0x8x4x1x0x0x0x0x2_64x192x128_1x4x1_16x16x64_default,403.18,126.46,0.0
80,1,4608,4096,30,0,9.9687,a8w8_bpreshuffle_cktile_0x0x8x4x1x0x0x0x0x2_16x64x512_1x4x1_16x16x64_default,3.79,1894.7,0.0
