M,N,K,a_dtype
1,3072,1536,fp4
1,3072,1536,fp6
1,3072,1536,fp8
2,3072,1536,fp4
2,3072,1536,fp6
2,3072,1536,fp8
4,3072,1536,fp4
4,3072,1536,fp6
4,3072,1536,fp8
8,3072,1536,fp4
8,3072,1536,fp6
8,3072,1536,fp8
16,3072,1536,fp4
16,3072,1536,fp6
16,3072,1536,fp8
32,3072,1536,fp4
32,3072,1536,fp6
32,3072,1536,fp8
64,3072,1536,fp4
64,3072,1536,fp6
64,3072,1536,fp8
128,3072,1536,fp4
128,3072,1536,fp6
128,3072,1536,fp8
256,3072,1536,fp4
256,3072,1536,fp6
256,3072,1536,fp8
512,3072,1536,fp4
512,3072,1536,fp6
512,3072,1536,fp8
1,4096,512,fp4
1,4096,512,fp6
1,4096,512,fp8
2,4096,512,fp4
2,4096,512,fp6
2,4096,512,fp8
4,4096,512,fp4
4,4096,512,fp6
4,4096,512,fp8
8,4096,512,fp4
8,4096,512,fp6
8,4096,512,fp8
16,4096,512,fp4
16,4096,512,fp6
16,4096,512,fp8
32,4096,512,fp4
32,4096,512,fp6
32,4096,512,fp8
64,4096,512,fp4
64,4096,512,fp6
64,4096,512,fp8
128,4096,512,fp4
128,4096,512,fp6
128,4096,512,fp8
256,4096,512,fp4
256,4096,512,fp6
256,4096,512,fp8
512,4096,512,fp4
512,4096,512,fp6
512,4096,512,fp8
1,7168,2048,fp4
1,7168,2048,fp6
1,7168,2048,fp8
2,7168,2048,fp4
2,7168,2048,fp6
2,7168,2048,fp8
4,7168,2048,fp4
4,7168,2048,fp6
4,7168,2048,fp8
8,7168,2048,fp4
8,7168,2048,fp6
8,7168,2048,fp8
16,7168,2048,fp4
16,7168,2048,fp6
16,7168,2048,fp8
32,7168,2048,fp4
32,7168,2048,fp6
32,7168,2048,fp8
64,7168,2048,fp4
64,7168,2048,fp6
64,7168,2048,fp8
128,7168,2048,fp4
128,7168,2048,fp6
128,7168,2048,fp8
256,7168,2048,fp4
256,7168,2048,fp6
256,7168,2048,fp8
512,7168,2048,fp4
512,7168,2048,fp6
512,7168,2048,fp8
1,4096,7168,fp4
1,4096,7168,fp6
1,4096,7168,fp8
2,4096,7168,fp4
2,4096,7168,fp6
2,4096,7168,fp8
4,4096,7168,fp4
4,4096,7168,fp6
4,4096,7168,fp8
8,4096,7168,fp4
8,4096,7168,fp6
8,4096,7168,fp8
16,4096,7168,fp4
16,4096,7168,fp6
16,4096,7168,fp8
32,4096,7168,fp4
32,4096,7168,fp6
32,4096,7168,fp8
64,4096,7168,fp4
64,4096,7168,fp6
64,4096,7168,fp8
128,4096,7168,fp4
128,4096,7168,fp6
128,4096,7168,fp8
256,4096,7168,fp4
256,4096,7168,fp6
256,4096,7168,fp8
512,4096,7168,fp4
512,4096,7168,fp6
512,4096,7168,fp8
1,4608,7168,fp4
1,4608,7168,fp6
1,4608,7168,fp8
2,4608,7168,fp4
2,4608,7168,fp6
2,4608,7168,fp8
4,4608,7168,fp4
4,4608,7168,fp6
4,4608,7168,fp8
8,4608,7168,fp4
8,4608,7168,fp6
8,4608,7168,fp8
16,4608,7168,fp4
16,4608,7168,fp6
16,4608,7168,fp8
32,4608,7168,fp4
32,4608,7168,fp6
32,4608,7168,fp8
64,4608,7168,fp4
64,4608,7168,fp6
64,4608,7168,fp8
128,4608,7168,fp4
128,4608,7168,fp6
128,4608,7168,fp8
256,4608,7168,fp4
256,4608,7168,fp6
256,4608,7168,fp8
512,4608,7168,fp4
512,4608,7168,fp6
512,4608,7168,fp8
1,7168,2304,fp4
1,7168,2304,fp6
1,7168,2304,fp8
2,7168,2304,fp4
2,7168,2304,fp6
2,7168,2304,fp8
4,7168,2304,fp4
4,7168,2304,fp6
4,7168,2304,fp8
8,7168,2304,fp4
8,7168,2304,fp6
8,7168,2304,fp8
16,7168,2304,fp4
16,7168,2304,fp6
16,7168,2304,fp8
32,7168,2304,fp4
32,7168,2304,fp6
32,7168,2304,fp8
64,7168,2304,fp4
64,7168,2304,fp6
64,7168,2304,fp8
128,7168,2304,fp4
128,7168,2304,fp6
128,7168,2304,fp8
256,7168,2304,fp4
256,7168,2304,fp6
256,7168,2304,fp8
512,7168,2304,fp4
512,7168,2304,fp6
512,7168,2304,fp8
1,8192,5120,fp4
1,8192,5120,fp6
1,8192,5120,fp8
2,8192,5120,fp4
2,8192,5120,fp6
2,8192,5120,fp8
4,8192,5120,fp4
4,8192,5120,fp6
4,8192,5120,fp8
8,8192,5120,fp4
8,8192,5120,fp6
8,8192,5120,fp8
16,8192,5120,fp4
16,8192,5120,fp6
16,8192,5120,fp8
32,8192,5120,fp4
32,8192,5120,fp6
32,8192,5120,fp8
64,8192,5120,fp4
64,8192,5120,fp6
64,8192,5120,fp8
128,8192,5120,fp4
128,8192,5120,fp6
128,8192,5120,fp8
256,8192,5120,fp4
256,8192,5120,fp6
256,8192,5120,fp8
512,8192,5120,fp4
512,8192,5120,fp6
512,8192,5120,fp8
1,5120,6144,fp4
1,5120,6144,fp6
1,5120,6144,fp8
2,5120,6144,fp4
2,5120,6144,fp6
2,5120,6144,fp8
4,5120,6144,fp4
4,5120,6144,fp6
4,5120,6144,fp8
8,5120,6144,fp4
8,5120,6144,fp6
8,5120,6144,fp8
16,5120,6144,fp4
16,5120,6144,fp6
16,5120,6144,fp8
32,5120,6144,fp4
32,5120,6144,fp6
32,5120,6144,fp8
64,5120,6144,fp4
64,5120,6144,fp6
64,5120,6144,fp8
128,5120,6144,fp4
128,5120,6144,fp6
128,5120,6144,fp8
256,5120,6144,fp4
256,5120,6144,fp6
256,5120,6144,fp8
512,5120,6144,fp4
512,5120,6144,fp6
512,5120,6144,fp8
1,34816,5120,fp4
1,34816,5120,fp6
1,34816,5120,fp8
2,34816,5120,fp4
2,34816,5120,fp6
2,34816,5120,fp8
4,34816,5120,fp4
4,34816,5120,fp6
4,34816,5120,fp8
8,34816,5120,fp4
8,34816,5120,fp6
8,34816,5120,fp8
16,34816,5120,fp4
