M,N,K,q_dtype_w
8192,6144,7168,mxfp8
10240,6144,7168,mxfp8
12288,6144,7168,mxfp8
14336,6144,7168,mxfp8
16384,6144,7168,mxfp8
20480,6144,7168,mxfp8
24576,6144,7168,mxfp8
28672,6144,7168,mxfp8
32768,6144,7168,mxfp8
40960,6144,7168,mxfp8
49152,6144,7168,mxfp8
57344,6144,7168,mxfp8
65536,6144,7168,mxfp8
1,7168,384,mxfp8
1,7168,3072,mxfp8
1,7168,7168,mxfp8
1,7168,16384,mxfp8
2,7168,384,mxfp8
2,7168,3072,mxfp8
2,7168,7168,mxfp8
2,7168,16384,mxfp8
4,7168,384,mxfp8
4,7168,3072,mxfp8
4,7168,7168,mxfp8
4,7168,16384,mxfp8
8,7168,384,mxfp8
8,7168,3072,mxfp8
8,7168,7168,mxfp8
8,7168,16384,mxfp8
16,7168,384,mxfp8
16,7168,3072,mxfp8
16,7168,7168,mxfp8
16,7168,16384,mxfp8
32,7168,384,mxfp8
32,7168,3072,mxfp8
32,7168,7168,mxfp8
32,7168,16384,mxfp8
48,7168,384,mxfp8
48,7168,3072,mxfp8
48,7168,7168,mxfp8
48,7168,16384,mxfp8
64,7168,384,mxfp8
64,7168,3072,mxfp8
64,7168,7168,mxfp8
64,7168,16384,mxfp8
80,7168,384,mxfp8
80,7168,3072,mxfp8
80,7168,7168,mxfp8
80,7168,16384,mxfp8
96,7168,384,mxfp8
96,7168,3072,mxfp8
96,7168,7168,mxfp8
96,7168,16384,mxfp8
112,7168,384,mxfp8
112,7168,3072,mxfp8
112,7168,7168,mxfp8
112,7168,16384,mxfp8
128,7168,384,mxfp8
128,7168,3072,mxfp8
128,7168,7168,mxfp8
128,7168,16384,mxfp8
144,7168,384,mxfp8
144,7168,3072,mxfp8
144,7168,7168,mxfp8
144,7168,16384,mxfp8
160,7168,384,mxfp8
160,7168,3072,mxfp8
160,7168,7168,mxfp8
160,7168,16384,mxfp8
176,7168,384,mxfp8
176,7168,3072,mxfp8
176,7168,7168,mxfp8
176,7168,16384,mxfp8
192,7168,384,mxfp8
192,7168,3072,mxfp8
192,7168,7168,mxfp8
192,7168,16384,mxfp8
208,7168,384,mxfp8
208,7168,3072,mxfp8
208,7168,7168,mxfp8
208,7168,16384,mxfp8
224,7168,384,mxfp8
224,7168,3072,mxfp8
224,7168,7168,mxfp8
224,7168,16384,mxfp8
240,7168,384,mxfp8
240,7168,3072,mxfp8
240,7168,7168,mxfp8
240,7168,16384,mxfp8
256,7168,384,mxfp8
256,7168,3072,mxfp8
256,7168,7168,mxfp8
256,7168,16384,mxfp8
288,7168,384,mxfp8
288,7168,3072,mxfp8
288,7168,7168,mxfp8
288,7168,16384,mxfp8
320,7168,384,mxfp8
320,7168,3072,mxfp8
320,7168,7168,mxfp8
320,7168,16384,mxfp8
352,7168,384,mxfp8
352,7168,3072,mxfp8
352,7168,7168,mxfp8
352,7168,16384,mxfp8
384,7168,384,mxfp8
384,7168,3072,mxfp8
384,7168,7168,mxfp8
384,7168,16384,mxfp8
416,7168,384,mxfp8
416,7168,3072,mxfp8
416,7168,7168,mxfp8
416,7168,16384,mxfp8
448,7168,384,mxfp8
448,7168,3072,mxfp8
448,7168,7168,mxfp8
448,7168,16384,mxfp8
480,7168,384,mxfp8
480,7168,3072,mxfp8
480,7168,7168,mxfp8
480,7168,16384,mxfp8
512,7168,384,mxfp8
512,7168,3072,mxfp8
512,7168,7168,mxfp8
512,7168,16384,mxfp8
544,7168,384,mxfp8
544,7168,3072,mxfp8
544,7168,7168,mxfp8
544,7168,16384,mxfp8
576,7168,384,mxfp8
576,7168,3072,mxfp8
576,7168,7168,mxfp8
576,7168,16384,mxfp8
608,7168,384,mxfp8
608,7168,3072,mxfp8
608,7168,7168,mxfp8
608,7168,16384,mxfp8
640,7168,384,mxfp8
640,7168,3072,mxfp8
640,7168,7168,mxfp8
640,7168,16384,mxfp8
672,7168,384,mxfp8
672,7168,3072,mxfp8
672,7168,7168,mxfp8
672,7168,16384,mxfp8
704,7168,384,mxfp8
704,7168,3072,mxfp8
704,7168,7168,mxfp8
704,7168,16384,mxfp8
736,7168,384,mxfp8
736,7168,3072,mxfp8
736,7168,7168,mxfp8
736,7168,16384,mxfp8
768,7168,384,mxfp8
768,7168,3072,mxfp8
768,7168,7168,mxfp8
768,7168,16384,mxfp8
800,7168,384,mxfp8
800,7168,3072,mxfp8
800,7168,7168,mxfp8
800,7168,16384,mxfp8
832,7168,384,mxfp8
832,7168,3072,mxfp8
832,7168,7168,mxfp8
832,7168,16384,mxfp8
864,7168,384,mxfp8
864,7168,3072,mxfp8
864,7168,7168,mxfp8
864,7168,16384,mxfp8
896,7168,384,mxfp8
896,7168,3072,mxfp8
896,7168,7168,mxfp8
896,7168,16384,mxfp8
928,7168,384,mxfp8
928,7168,3072,mxfp8
928,7168,7168,mxfp8
928,7168,16384,mxfp8
960,7168,384,mxfp8
960,7168,3072,mxfp8
960,7168,7168,mxfp8
960,7168,16384,mxfp8
992,7168,384,mxfp8
992,7168,3072,mxfp8
992,7168,7168,mxfp8
992,7168,16384,mxfp8
1024,7168,384,mxfp8
1024,7168,3072,mxfp8
1024,7168,7168,mxfp8
1024,7168,16384,mxfp8
1088,7168,384,mxfp8
1088,7168,3072,mxfp8
1088,7168,7168,mxfp8
1088,7168,16384,mxfp8
1152,7168,384,mxfp8
1152,7168,3072,mxfp8
1152,7168,7168,mxfp8
1152,7168,16384,mxfp8
1216,7168,384,mxfp8
1216,7168,3072,mxfp8
1216,7168,7168,mxfp8
1216,7168,16384,mxfp8
1280,7168,384,mxfp8
1280,7168,3072,mxfp8
1280,7168,7168,mxfp8
1280,7168,16384,mxfp8
1344,7168,384,mxfp8
1344,7168,3072,mxfp8
1344,7168,7168,mxfp8
1344,7168,16384,mxfp8
1408,7168,384,mxfp8
1408,7168,3072,mxfp8
1408,7168,7168,mxfp8
1408,7168,16384,mxfp8
1472,7168,384,mxfp8
1472,7168,3072,mxfp8
1472,7168,7168,mxfp8
1472,7168,16384,mxfp8
1536,7168,384,mxfp8
