gfx,cu_num,M,N,K,kernelId,splitK,us,kernelName,tflops,bw,errRatio
gfx950,256,576,6144,6144,0,0,38.082,f6f4gemm_m32_s0_a4_nt_kernel_func,1141.92,751.18,0.0
gfx950,256,576,6144,18432,0,0,99.617,f6f4gemm_m32_s0_a4_nt_kernel_func,1309.61,719.39,0.0
gfx950,256,576,6144,24576,0,0,132.2263,f6f4gemm_m32_s0_a4_nt_kernel_func,1315.52,704.79,0.0
gfx950,256,928,6144,6144,0,0,40.2902,f6f4gemm_m32_s0_a4_nt_kernel_func,1738.93,857.62,0.0
gfx950,256,928,6144,18432,0,0,102.3818,f6f4gemm_m32_s0_a4_nt_kernel_func,2052.95,789.74,0.0
gfx950,256,928,6144,24576,0,0,134.1395,f6f4gemm_m32_s0_a4_nt_kernel_func,2089.22,775.35,0.0
gfx950,256,2112,6144,6144,3,0,47.1112,f6f4gemm_m32_s0_a4_t_kernel_func,3384.56,1158.08,0.0
gfx950,256,2112,6144,18432,2,0,123.2689,f6f4gemm_m32_s3_a5_t_kernel_func,3880.56,906.73,0.0
gfx950,256,2112,6144,24576,2,0,161.6276,f6f4gemm_m32_s3_a5_t_kernel_func,3946.13,868.53,0.0
gfx950,256,14850,8192,2048,0,0,156.9879,f6f4gemm_m32_s0_a4_nt_kernel_func,3174.02,1748.55,0.0
gfx950,256,544,12288,3072,0,0,25.8182,f6f4gemm_m32_s0_a4_nt_kernel_func,1590.76,1297.42,0.0
gfx950,256,2080,12288,3072,0,0,53.9899,f6f4gemm_m32_s0_a4_nt_kernel_func,2908.59,1385.16,0.0
gfx950,256,512,13824,5120,0,0,35.9797,f6f4gemm_m32_s0_a4_nt_kernel_func,2014.4,1431.68,0.0
gfx950,256,4095,13824,5120,1,0,165.8071,f6f4gemm_m32_s3_a4_t_kernel_func,3496.1,991.11,0.0
gfx950,256,5850,13824,5120,3,0,216.6293,f6f4gemm_m32_s0_a4_t_kernel_func,3822.72,1013.69,0.0
gfx950,256,9419,13824,5120,1,0,333.0244,f6f4gemm_m32_s3_a4_t_kernel_func,4003.71,996.85,0.0
gfx950,256,9450,13824,5120,1,0,351.9824,f6f4gemm_m32_s3_a4_t_kernel_func,3800.53,945.93,0.0
gfx950,256,13950,13824,5120,1,0,513.8429,f6f4gemm_m32_s3_a4_t_kernel_func,3843.06,923.72,0.0
gfx950,256,14260,13824,5120,1,0,516.9033,f6f4gemm_m32_s3_a4_t_kernel_func,3905.21,937.14,0.0
gfx950,256,18900,13824,5120,1,0,677.9227,f6f4gemm_m32_s3_a4_t_kernel_func,3946.53,930.07,0.0
gfx950,256,37800,13824,5120,1,0,1326.524,f6f4gemm_m32_s3_a4_t_kernel_func,4033.76,923.95,0.0
gfx950,256,75348,13824,5120,1,0,2638.4186,f6f4gemm_m32_s3_a4_t_kernel_func,4042.61,912.65,0.0
gfx950,256,75600,13824,5120,1,0,2727.9913,f6f4gemm_m32_s3_a4_t_kernel_func,3922.95,885.59,0.0
gfx950,256,576,18432,6144,0,0,45.1415,f6f4gemm_m32_s0_a4_nt_kernel_func,2890.01,1783.52,0.0
gfx950,256,928,18432,6144,3,0,79.9053,f6f4gemm_m32_s0_a4_t_kernel_func,2630.43,1190.27,0.0
gfx950,256,2112,18432,6144,3,0,148.3047,f6f4gemm_m32_s0_a4_t_kernel_func,3225.47,972.4,0.0
gfx950,256,576,55296,6144,3,0,137.9822,f6f4gemm_m32_s0_a4_t_kernel_func,2836.45,1711.99,0.0
gfx950,256,928,55296,6144,3,0,185.8976,f6f4gemm_m32_s0_a4_t_kernel_func,3391.95,1488.86,0.0
gfx950,256,2112,55296,6144,3,0,388.998,f6f4gemm_m32_s0_a4_t_kernel_func,3689.11,1062.14,0.0
