gfx,cu_num,M,N,K,a_dtype,b_dtype,libtype,kernelId,splitK,us,kernelName,tflops,bw,errRatio
gfx950,256,800,768,7168,fp8,fp8,flydsl,2718,4,18.0007,flydsl_mxpsh_96x128x256_F8_F8_B16_w4_x4_sk4,489.32,692.65,0.0
gfx950,256,832,768,7168,fp8,fp8,flydsl,2686,4,18.7502,flydsl_mxpsh_96x128x256_F8_F8_B16_w0_x4_sk4,488.55,679.82,0.0
gfx950,256,864,768,7168,fp8,fp8,flydsl,2694,4,18.801,flydsl_mxpsh_96x128x256_F8_F8_B16_w1_x4_sk4,505.97,692.8,0.0
gfx950,256,896,768,7168,fp8,fp8,flydsl,2694,4,18.8456,flydsl_mxpsh_96x128x256_F8_F8_B16_w1_x4_sk4,523.46,705.94,0.0
gfx950,256,928,768,7168,fp8,fp8,flydsl,2958,4,18.7125,flydsl_mxpsh_128x128x256_F8_F8_B16_w4_x4_sk4,546.02,725.84,0.0
gfx950,256,960,768,7168,fp8,fp8,flydsl,2958,4,19.0345,flydsl_mxpsh_128x128x256_F8_F8_B16_w4_x4_sk4,555.29,728.2,0.0
gfx950,256,992,768,7168,fp8,fp8,flydsl,2954,4,19.3803,flydsl_mxpsh_128x128x256_F8_F8_B16_w4_x0_sk4,563.56,729.58,0.0
gfx950,256,1024,768,7168,fp8,fp8,flydsl,2922,4,19.3893,flydsl_mxpsh_128x128x256_F8_F8_B16_w0_x0_sk4,581.47,743.6,0.0
gfx950,256,1088,768,7168,fp8,fp8,flydsl,2934,4,20.7278,flydsl_mxpsh_128x128x256_F8_F8_B16_w1_x4_sk4,577.92,722.46,0.0
gfx950,256,1152,768,7168,fp8,fp8,flydsl,2958,4,21.1032,flydsl_mxpsh_128x128x256_F8_F8_B16_w4_x4_sk4,601.03,736.0,0.0
gfx950,256,1216,768,7168,fp8,fp8,flydsl,2954,4,21.641,flydsl_mxpsh_128x128x256_F8_F8_B16_w4_x0_sk4,618.65,743.45,0.0
gfx950,256,1280,768,7168,fp8,fp8,flydsl,2458,4,21.0559,flydsl_mxpsh_64x128x256_F8_F8_B16_w2_x0_sk4,669.31,790.57,0.0
gfx950,256,1344,768,7168,fp8,fp8,flydsl,2522,4,23.474,flydsl_mxpsh_64x256x256_F8_F8_B16_w0_x0_sk4,630.38,732.86,0.0
gfx950,256,1408,768,7168,fp8,fp8,flydsl,2466,4,24.8332,flydsl_mxpsh_64x128x256_F8_F8_B16_w3_x0_sk4,624.25,715.18,0.0
gfx950,256,1472,768,7168,fp8,fp8,flydsl,2690,4,23.5729,flydsl_mxpsh_96x128x256_F8_F8_B16_w1_x0_sk4,687.52,777.05,0.0
gfx950,256,1536,768,7168,fp8,fp8,flydsl,2714,4,24.1554,flydsl_mxpsh_96x128x256_F8_F8_B16_w4_x0_sk4,700.11,781.37,0.0
gfx950,256,1600,768,7168,fp8,fp8,flydsl,2678,4,25.8816,flydsl_mxpsh_96x128x128_F8_F8_B16_w4_x4_sk4,680.64,750.78,0.0
gfx950,256,1664,768,7168,fp8,fp8,flydsl,2662,4,25.1131,flydsl_mxpsh_96x128x128_F8_F8_B16_w2_x4_sk4,729.53,795.94,0.0
gfx950,256,1728,768,7168,fp8,fp8,flydsl,2662,4,25.4869,flydsl_mxpsh_96x128x128_F8_F8_B16_w2_x4_sk4,746.48,806.12,0.0
gfx950,256,1792,768,7168,fp8,fp8,flydsl,2662,4,25.4554,flydsl_mxpsh_96x128x128_F8_F8_B16_w2_x4_sk4,775.08,829.0,0.0
gfx950,256,1856,768,7168,fp8,fp8,flydsl,2714,4,25.2029,flydsl_mxpsh_96x128x256_F8_F8_B16_w4_x0_sk4,810.81,859.41,0.0
gfx950,256,1920,768,7168,fp8,fp8,flydsl,2698,4,25.7155,flydsl_mxpsh_96x128x256_F8_F8_B16_w2_x0_sk4,822.04,863.94,0.0
gfx950,256,1984,768,7168,fp8,fp8,flydsl,2954,4,26.6401,flydsl_mxpsh_128x128x256_F8_F8_B16_w4_x0_sk4,819.96,854.87,0.0
gfx950,256,2048,768,7168,fp8,fp8,flydsl,2954,4,26.8667,flydsl_mxpsh_128x128x256_F8_F8_B16_w4_x0_sk4,839.28,868.39,0.0
gfx950,256,4096,768,7168,fp8,fp8,flydsl,2925,2,39.7546,flydsl_mxpsh_128x128x256_F8_F8_B16_w0_x4_sk2,1134.39,1035.27,0.0
gfx950,256,6144,768,7168,fp8,fp8,flydsl,2684,1,52.8139,flydsl_mxpsh_96x128x256_F8_F8_B16_w0_x4_sk1,1280.83,1116.8,0.0
gfx950,256,8192,768,7168,fp8,fp8,flydsl,2936,1,60.1107,flydsl_mxpsh_128x128x256_F8_F8_B16_w2_x0_sk1,1500.47,1277.78,0.0
gfx950,256,10240,768,7168,fp8,fp8,flydsl,2920,1,65.9173,flydsl_mxpsh_128x128x256_F8_F8_B16_w0_x0_sk1,1710.37,1435.65,0.0
gfx950,256,12288,768,7168,fp8,fp8,flydsl,2640,1,85.9611,flydsl_mxpsh_96x128x128_F8_F8_B16_w0_x0_sk1,1573.87,1308.26,0.0
gfx950,256,14336,768,7168,fp8,fp8,flydsl,2880,1,95.2092,flydsl_mxpsh_128x128x128_F8_F8_B16_w0_x0_sk1,1657.82,1368.41,0.0
gfx950,256,16384,768,7168,fp8,fp8,flydsl,2908,1,102.0079,flydsl_mxpsh_128x128x128_F8_F8_B16_w3_x4_sk1,1768.38,1451.96,0.0
gfx950,256,32768,768,7168,fp8,fp8,flydsl,2980,1,193.3425,flydsl_mxpsh_128x256x128_F8_F8_B16_w2_x4_sk1,1866.0,1503.64,0.0
gfx950,256,1,2048,7168,fp8,fp8,flydsl,2234,4,12.0595,flydsl_mxpsh_32x128x256_F8_F8_B16_w4_x0_sk4,2.43,1218.24,0.0
gfx950,256,2,2048,7168,fp8,fp8,flydsl,2210,4,12.7166,flydsl_mxpsh_32x128x256_F8_F8_B16_w1_x0_sk4,4.62,1156.17,0.0
gfx950,256,4,2048,7168,fp8,fp8,flydsl,2222,4,12.8899,flydsl_mxpsh_32x128x256_F8_F8_B16_w2_x4_sk4,9.11,1142.38,0.0
gfx950,256,8,2048,7168,fp8,fp8,flydsl,2234,4,12.5239,flydsl_mxpsh_32x128x256_F8_F8_B16_w4_x0_sk4,18.75,1179.36,0.0
gfx950,256,16,2048,7168,fp8,fp8,flydsl,2206,4,12.7903,flydsl_mxpsh_32x128x256_F8_F8_B16_w0_x4_sk4,36.73,1161.84,0.0
gfx950,256,32,2048,7168,fp8,fp8,flydsl,2202,4,12.9034,flydsl_mxpsh_32x128x256_F8_F8_B16_w0_x0_sk4,72.81,1165.62,0.0
gfx950,256,48,2048,7168,fp8,fp8,flydsl,2234,4,13.3715,flydsl_mxpsh_32x128x256_F8_F8_B16_w4_x0_sk4,105.39,1138.3,0.0
gfx950,256,64,2048,7168,fp8,fp8,flydsl,2214,4,12.9519,flydsl_mxpsh_32x128x256_F8_F8_B16_w1_x4_sk4,145.08,1189.09,0.0
gfx950,256,80,2048,7168,fp8,fp8,flydsl,2206,4,13.7147,flydsl_mxpsh_32x128x256_F8_F8_B16_w0_x4_sk4,171.26,1136.09,0.0
gfx950,256,96,2048,7168,fp8,fp8,flydsl,2238,4,13.3581,flydsl_mxpsh_32x128x256_F8_F8_B16_w4_x4_sk4,211.0,1179.91,0.0
gfx950,256,112,2048,7168,fp8,fp8,flydsl,2230,4,13.3514,flydsl_mxpsh_32x128x256_F8_F8_B16_w3_x4_sk4,246.29,1194.0,0.0
gfx950,256,128,2048,7168,fp8,fp8,flydsl,2222,4,14.0048,flydsl_mxpsh_32x128x256_F8_F8_B16_w2_x4_sk4,268.34,1151.17,0.0
gfx950,256,144,2048,7168,fp8,fp8,flydsl,2454,4,14.368,flydsl_mxpsh_64x128x256_F8_F8_B16_w1_x4_sk4,294.26,1134.61,0.0
gfx950,256,160,2048,7168,fp8,fp8,flydsl,2462,4,14.9344,flydsl_mxpsh_64x128x256_F8_F8_B16_w2_x4_sk4,314.55,1103.65,0.0
gfx950,256,176,2048,7168,fp8,fp8,flydsl,2462,4,15.3698,flydsl_mxpsh_64x128x256_F8_F8_B16_w2_x4_sk4,336.2,1084.11,0.0
gfx950,256,192,2048,7168,fp8,fp8,flydsl,2446,4,15.2953,flydsl_mxpsh_64x128x256_F8_F8_B16_w0_x4_sk4,368.55,1101.17,0.0
gfx950,256,208,2048,7168,fp8,fp8,flydsl,2454,4,15.2014,flydsl_mxpsh_64x128x256_F8_F8_B16_w1_x4_sk4,401.73,1119.83,0.0
gfx950,256,224,2048,7168,fp8,fp8,flydsl,2470,4,15.1242,flydsl_mxpsh_64x128x256_F8_F8_B16_w3_x4_sk4,434.84,1137.46,0.0
gfx950,256,240,2048,7168,fp8,fp8,flydsl,2454,4,16.4245,flydsl_mxpsh_64x128x256_F8_F8_B16_w1_x4_sk4,429.02,1058.38,0.0
gfx950,256,256,2048,7168,fp8,fp8,flydsl,2470,4,16.1777,flydsl_mxpsh_64x128x256_F8_F8_B16_w3_x4_sk4,464.6,1085.67,0.0
gfx950,256,288,2048,7168,fp8,fp8,flydsl,2718,4,17.0397,flydsl_mxpsh_96x128x256_F8_F8_B16_w4_x4_sk4,496.24,1051.9,0.0
gfx950,256,320,2048,7168,fp8,fp8,flydsl,2702,4,16.7738,flydsl_mxpsh_96x128x256_F8_F8_B16_w2_x4_sk4,560.11,1090.07,0.0
gfx950,256,352,2048,7168,fp8,fp8,flydsl,2718,4,17.5609,flydsl_mxpsh_96x128x256_F8_F8_B16_w4_x4_sk4,588.51,1061.73,0.0
gfx950,256,384,2048,7168,fp8,fp8,flydsl,2694,4,18.0386,flydsl_mxpsh_96x128x256_F8_F8_B16_w1_x4_sk4,625.01,1053.6,0.0
