N,C,D,H,W,K,kT,kH,kW,stride_d,stride_h,stride_w,pad_d,pad_h,pad_w,dil_d,dil_h,dil_w,groups,bias
1,3,6,482,834,96,3,3,3,1,1,1,0,0,0,1,1,1,1,True
1,96,6,482,834,96,3,3,3,1,1,1,0,0,0,1,1,1,1,True
1,96,6,242,418,192,3,3,3,1,1,1,0,0,0,1,1,1,1,True
1,192,6,242,418,192,3,3,3,1,1,1,0,0,0,1,1,1,1,True
1,192,4,122,210,384,3,3,3,1,1,1,0,0,0,1,1,1,1,True
1,384,4,122,210,384,3,3,3,1,1,1,0,0,0,1,1,1,1,True
1,384,3,62,106,384,3,3,3,1,1,1,0,0,0,1,1,1,1,True
1,384,3,62,106,32,3,3,3,1,1,1,0,0,0,1,1,1,1,True
1,3,1,1024,1024,96,1,3,3,1,1,1,0,1,1,1,1,1,1,True
1,96,1,1024,1024,96,1,3,3,1,1,1,0,1,1,1,1,1,1,True
1,96,1,512,512,192,1,3,3,1,1,1,0,1,1,1,1,1,1,True
1,192,1,512,512,192,1,3,3,1,1,1,0,1,1,1,1,1,1,True
1,192,1,256,256,384,1,3,3,1,1,1,0,1,1,1,1,1,1,True
1,384,1,256,256,384,1,3,3,1,1,1,0,1,1,1,1,1,1,True
1,384,1,128,128,384,1,3,3,1,1,1,0,1,1,1,1,1,1,True
1,384,1,128,128,32,1,3,3,1,1,1,0,1,1,1,1,1,1,True
1,16,1,128,128,384,1,3,3,1,1,1,0,1,1,1,1,1,1,True
1,96,1,1024,1024,3,1,3,3,1,1,1,0,1,1,1,1,1,1,True
1,96,1,1025,1025,96,1,3,3,1,2,2,0,0,0,1,1,1,1,True
1,192,1,513,513,192,1,3,3,1,2,2,0,0,0,1,1,1,1,True
1,384,1,257,257,384,1,3,3,1,2,2,0,0,0,1,1,1,1,True
1,384,1,256,256,192,1,3,3,1,1,1,0,1,1,1,1,1,1,True
1,384,1,512,512,192,1,3,3,1,1,1,0,1,1,1,1,1,1,True
1,192,1,1024,1024,96,1,3,3,1,1,1,0,1,1,1,1,1,1,True
1,384,1,166,166,384,1,3,3,1,1,1,0,1,1,1,1,1,1,True
1,96,1,1328,1328,96,1,3,3,1,1,1,0,1,1,1,1,1,1,True
1,3,1,1024,1024,96,1,3,3,1,1,1,0,1,1,1,1,1,1,False
1,96,1,1024,1024,96,1,3,3,1,1,1,0,1,1,1,1,1,1,False
1,96,1,512,512,192,1,3,3,1,1,1,0,1,1,1,1,1,1,False
1,192,1,512,512,192,1,3,3,1,1,1,0,1,1,1,1,1,1,False
1,192,1,256,256,384,1,3,3,1,1,1,0,1,1,1,1,1,1,False
1,384,1,256,256,384,1,3,3,1,1,1,0,1,1,1,1,1,1,False
1,384,1,128,128,384,1,3,3,1,1,1,0,1,1,1,1,1,1,False
1,384,1,128,128,32,1,3,3,1,1,1,0,1,1,1,1,1,1,False
1,16,1,128,128,384,1,3,3,1,1,1,0,1,1,1,1,1,1,False
1,96,1,1024,1024,3,1,3,3,1,1,1,0,1,1,1,1,1,1,False
1,96,1,1025,1025,96,1,3,3,1,2,2,0,0,0,1,1,1,1,False
1,192,1,513,513,192,1,3,3,1,2,2,0,0,0,1,1,1,1,False
1,384,1,257,257,384,1,3,3,1,2,2,0,0,0,1,1,1,1,False
1,384,1,256,256,192,1,3,3,1,1,1,0,1,1,1,1,1,1,False
1,384,1,512,512,192,1,3,3,1,1,1,0,1,1,1,1,1,1,False
1,192,1,1024,1024,96,1,3,3,1,1,1,0,1,1,1,1,1,1,False
1,384,1,166,166,384,1,3,3,1,1,1,0,1,1,1,1,1,1,False
1,96,1,1328,1328,96,1,3,3,1,1,1,0,1,1,1,1,1,1,False
