gfx,case,tp,ep,G,K,N,M,use_hip,hip_us,triton_us,speedup
gfx950,gemm1_w13,1,1,128,6144,6144,16,0,2481.91,1215.13,0.49
gfx950,gemm1_w13,1,1,128,6144,6144,32,0,2526.13,1239.31,0.491
gfx950,gemm1_w13,1,1,128,6144,6144,64,0,2649.69,1485.13,0.56
gfx950,gemm1_w13,1,1,128,6144,6144,128,0,2799.35,2685.71,0.959
gfx950,gemm1_w13,1,1,128,6144,6144,256,1,3238.28,5299.67,1.637
gfx950,gemm1_w13,1,2,64,6144,6144,16,0,1250.07,630.52,0.504
gfx950,gemm1_w13,1,2,64,6144,6144,32,0,1275.77,680.02,0.533
gfx950,gemm1_w13,1,2,64,6144,6144,64,0,1330.83,729.28,0.548
gfx950,gemm1_w13,1,2,64,6144,6144,128,0,1407.81,1356.69,0.964
gfx950,gemm1_w13,1,2,64,6144,6144,256,1,1617.43,2550.19,1.577
gfx950,gemm1_w13,1,2,64,6144,6144,512,1,2700.07,4996.94,1.851
gfx950,gemm1_w13,1,4,32,6144,6144,16,0,634.46,329.1,0.519
gfx950,gemm1_w13,1,4,32,6144,6144,32,0,648.0,376.42,0.581
gfx950,gemm1_w13,1,4,32,6144,6144,64,0,677.12,432.38,0.639
gfx950,gemm1_w13,1,4,32,6144,6144,128,1,711.28,714.54,1.005
gfx950,gemm1_w13,1,4,32,6144,6144,256,1,791.42,1276.75,1.613
gfx950,gemm1_w13,1,4,32,6144,6144,512,1,1366.65,2370.43,1.734
gfx950,gemm1_w13,1,4,32,6144,6144,1024,1,2542.81,4567.1,1.796
gfx950,gemm1_w13,1,8,16,6144,6144,16,0,321.52,186.32,0.579
gfx950,gemm1_w13,1,8,16,6144,6144,32,0,328.18,207.62,0.633
gfx950,gemm1_w13,1,8,16,6144,6144,64,0,343.34,237.12,0.691
gfx950,gemm1_w13,1,8,16,6144,6144,128,1,362.26,373.64,1.031
gfx950,gemm1_w13,1,8,16,6144,6144,256,1,411.78,667.74,1.622
gfx950,gemm1_w13,1,8,16,6144,6144,512,1,724.88,1240.41,1.711
gfx950,gemm1_w13,1,8,16,6144,6144,1024,1,1282.77,2234.81,1.742
gfx950,gemm1_w13,1,8,16,6144,6144,2048,1,2326.09,4272.04,1.837
gfx950,gemm2_w2,1,1,128,3072,6144,16,0,1334.37,633.86,0.475
gfx950,gemm2_w2,1,1,128,3072,6144,32,0,1379.85,638.88,0.463
gfx950,gemm2_w2,1,1,128,3072,6144,64,0,1480.27,759.48,0.513
gfx950,gemm2_w2,1,1,128,3072,6144,128,0,1509.91,1345.01,0.891
gfx950,gemm2_w2,1,1,128,3072,6144,256,1,1662.23,2543.57,1.53
gfx950,gemm2_w2,1,2,64,3072,6144,16,0,675.44,318.18,0.471
gfx950,gemm2_w2,1,2,64,3072,6144,32,0,699.24,350.04,0.501
gfx950,gemm2_w2,1,2,64,3072,6144,64,0,745.58,386.4,0.518
