cu_num,token,model_dim,inter_dim,expert,topk,act_type,dtype,q_dtype_a,q_dtype_w,q_type,use_g1u1,doweight_stage1,q_dtype_a2,q_dtype_w2,q_type2,block_m,block_m2,ksplit,us1,kernelName1,err1,us2,kernelName2,err2,us,run_1stage,tflops,bw,_tag
256,20480,4096,1536,400,20,ActivationType.Gelu,torch.bfloat16,torch.int8,torch.int8,QuantType.per_Token,0,0,torch.int8,torch.int8,QuantType.per_Token,128,128,0,3173.9818,flydsl_moe1_aint8_wint8_bf16_t128x128x128_async_w3_bnt0,0.5%,3670.8534,flydsl_moe2_aint8_wint8_bf16_t128x128x128_atomic_w2_bnt0,8.6%,6844.8352,0,1505.94,772.09,
256,20480,4096,1536,400,20,ActivationType.Gelu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,0,0,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,128,64,0,2652.7258,flydsl_moe1_afp4_wfp4_bf16_t128x128x256_async_w3_bnt0,0.0%,2873.8518,flydsl_moe2_afp4_wfp4_bf16_t64x128x256_atomic_w0_bnt0,9.1%,5526.5776,0,1865.15,956.26,
256,20480,4096,1536,400,20,ActivationType.Gelu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,0,0,torch.int8,torch.int8,QuantType.per_Token,128,128,0,2616.6441,flydsl_moe1_afp4_wfp4_bf16_t128x128x256_async_w3_bnt0,0.0%,3639.7867,flydsl_moe2_aint8_wint8_bf16_t128x128x128_atomic_w2_bnt0,8.9%,6256.4308,0,1647.57,844.7,
256,20480,4096,1536,400,20,ActivationType.Gelu,torch.bfloat16,torch.int8,torch.int8,QuantType.per_Token,0,0,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,128,64,0,3207.0779,flydsl_moe1_aint8_wint8_bf16_t128x128x128_async_w3_bnt0,0.6%,2877.2438,flydsl_moe2_afp4_wfp4_bf16_t64x128x256_atomic_w0_bnt0,8.8%,6084.3217,0,1694.18,868.6,
