M,N,K,fp8,fp6,delta%
8192,8192,16384,3415.75,4168.16,22.03
14850,2048,2048,1915.33,2106.25,9.97
14850,2048,8192,2858.81,3110.71,8.81
544,3072,3072,1065.18,912.16,-14.37
544,3072,12288,1202.14,1204.06,0.16
2080,3072,3072,1624.95,1899.98,16.93
2080,3072,12288,2150.85,2357.96,9.63
512,5120,5120,1419.74,1462.90,3.04
512,5120,13824,1344.97,1671.26,24.26
4095,5120,5120,2501.33,2367.27,-5.36
4095,5120,13824,3115.62,2848.86,-8.56
5850,5120,5120,2418.59,2955.09,22.18
5850,5120,13824,2672.62,3539.97,32.45
9419,5120,5120,2605.85,3105.81,19.19
9419,5120,13824,3068.21,3817.22,24.41
9450,5120,5120,2633.96,3139.83,19.21
9450,5120,13824,3194.48,3733.75,16.88
13950,5120,5120,2888.45,3030.33,4.91
13950,5120,13824,3084.69,3619.01,17.32
14260,5120,5120,2880.26,3139.82,9.01
14260,5120,13824,3187.67,3741.25,17.37
18900,5120,5120,2827.15,3389.69,19.90
18900,5120,13824,3117.59,3843.29,23.28
37800,5120,5120,2567.81,3477.59,35.43
37800,5120,13824,2913.80,3957.80,35.83
75348,5120,5120,2666.16,3530.66,32.42
75348,5120,13824,3003.65,3900.75,29.87
75600,5120,5120,2645.41,3495.60,32.14
75600,5120,13824,3065.89,4001.83,30.53
576,6144,6144,1430.23,1743.22,21.88
576,6144,18432,1911.93,1750.56,-8.44
576,6144,24576,2168.40,1748.35,-19.37
928,6144,6144,1787.26,2171.70,21.51
928,6144,18432,2196.35,2334.99,6.31
928,6144,24576,2382.41,2327.54,-2.30
2112,6144,6144,2484.15,2649.81,6.67
2112,6144,18432,2800.47,3172.13,13.27
2112,6144,24576,2856.14,3351.02,17.33
14850,8192,2048,2297.24,2491.61,8.46
544,12288,3072,1695.31,1427.16,-15.82
2080,12288,3072,2003.71,2394.83,19.52
512,13824,5120,1645.82,1732.43,5.26
4095,13824,5120,2451.12,3006.23,22.65
5850,13824,5120,2890.12,3132.90,8.40
9419,13824,5120,2828.08,3396.70,20.11
9450,13824,5120,2654.93,3308.32,24.61
13950,13824,5120,2675.20,3304.17,23.51
14260,13824,5120,2745.28,3484.71,26.93
18900,13824,5120,2909.80,3536.76,21.55
37800,13824,5120,2741.00,3563.59,30.01
75348,13824,5120,2774.43,3549.60,27.94
75600,13824,5120,2723.71,3592.59,31.90
576,18432,6144,2497.85,2223.47,-10.98
928,18432,6144,2656.35,2287.06,-13.90
2112,18432,6144,2924.78,2871.45,-1.82
576,55296,6144,2468.13,2111.32,-14.46
928,55296,6144,2580.28,2743.61,6.33
2112,55296,6144,2774.32,2995.32,7.97
8192,9216,3072,2721.95,2789.41,2.48
16384,9216,3072,2796.27,3077.90,10.07
32768,9216,3072,2639.68,3243.30,22.87
8192,12288,3072,2840.48,3072.34,8.16
16384,12288,3072,2598.34,3181.07,22.43
32768,12288,3072,2586.51,3268.54,26.37
8192,3072,3072,2421.37,2371.28,-2.07
16384,3072,3072,2758.80,2748.05,-0.39
32768,3072,3072,2696.44,2965.31,9.97
8192,3072,9216,2870.28,3004.66,4.68
16384,3072,9216,3275.25,3664.98,11.90
32768,3072,9216,3082.84,3825.39,24.09
9216,3072,8192,2859.30,3103.95,8.56
9216,3072,16384,3030.52,3492.36,15.24
9216,3072,32768,2925.35,3749.71,28.18
