gfx,cu_num,token,model_dim,inter_dim,expert,topk,act_type,dtype,q_dtype_a,q_dtype_w,q_type,use_g1u1,doweight_stage1,max_m,tile_m,tile_n,tile_k,tile_m2,tile_n2,tile_k2,m_warp,n_warp,num_buffers,num_buffer_stage2,split_k1,split_k2,grouped_persistent_m,persistent_workers,wave_specialized_tdm,tdm_as_in_prologue,kernelName1,kernelName2,us,tflops,bw,gate_mode
gfx1250,256,32,7168,3072,96,-1,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,192,32,256,256,,,,1,4,2,,1.0,1.0,0,,,,grouped_gemm1_fp4_gugu,grouped_gemm2_fp4,470.9351,0,0,
gfx1250,256,64,7168,3072,96,-1,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,384,16,256,512,16.0,256.0,128.0,1,4,2,2.0,1.0,1.0,0,,1.0,1.0,grouped_gemm1_fp4_gugu,grouped_gemm2_fp4,470.9351,0,0,
gfx1250,256,128,7168,3072,96,-1,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,768,16,256,512,16.0,256.0,128.0,1,4,2,2.0,1.0,1.0,0,,1.0,1.0,grouped_gemm1_fp4_gugu,grouped_gemm2_fp4,481.4592,0,0,
gfx1250,256,256,7168,3072,96,-1,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,1536,16,256,128,16.0,256.0,512.0,1,4,3,2.0,1.0,1.0,0,,1.0,1.0,grouped_gemm1_fp4_gugu,grouped_gemm2_fp4,499.5746,0,0,
gfx1250,256,512,7168,3072,96,-1,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,3072,64,256,256,64.0,256.0,128.0,1,4,2,2.0,1.0,1.0,0,,1.0,1.0,grouped_gemm1_fp4_gugu,grouped_gemm2_fp4,517.8896,0,0,
gfx1250,256,1024,7168,3072,96,-1,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,6144,128,512,256,128.0,256.0,128.0,1,4,2,2.0,1.0,1.0,0,,1.0,1.0,grouped_gemm1_fp4_gugu,grouped_gemm2_fp4,736.2838,0,0,
gfx1250,256,2048,7168,3072,96,-1,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,12288,128,512,256,128.0,256.0,128.0,1,4,2,2.0,1.0,1.0,0,,1.0,1.0,grouped_gemm1_fp4_gugu,grouped_gemm2_fp4,1377.7696,0,0,
gfx1250,256,4096,7168,3072,96,-1,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,24576,128,512,256,128.0,256.0,128.0,1,4,2,2.0,1.0,1.0,0,,1.0,1.0,grouped_gemm1_fp4_gugu,grouped_gemm2_fp4,3079.5475,0,0,
gfx1250,256,8192,7168,3072,96,-1,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,49152,128,512,256,128.0,256.0,128.0,1,4,2,2.0,1.0,1.0,0,,1.0,1.0,grouped_gemm1_fp4_gugu,grouped_gemm2_fp4,6079.7677,0,0,
gfx1250,256,16384,7168,3072,96,-1,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,98304,128,512,256,128.0,512.0,256.0,1,4,2,2.0,1.0,1.0,0,,1.0,0.0,grouped_gemm1_fp4_gugu,grouped_gemm2_fp4,11927.1248,0,0,
gfx1250,256,32768,7168,3072,96,-1,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,196608,128,512,256,128.0,256.0,128.0,1,4,2,2.0,1.0,1.0,0,,1.0,1.0,grouped_gemm1_fp4_gugu,grouped_gemm2_fp4,23452.4903,0,0,
gfx1250,256,8,7168,768,384,6,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,384,16,256,256,16.0,512.0,128.0,1,4,2,2.0,1.0,1.0,0,,1.0,1.0,grouped_gemm1_fp4_gugu,grouped_gemm2_fp4,468.0528,0,0,
gfx1250,256,16,7168,768,384,6,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,384,16,256,256,16.0,512.0,128.0,1,4,2,2.0,1.0,1.0,0,,1.0,1.0,grouped_gemm1_fp4_gugu,grouped_gemm2_fp4,468.0528,0,0,
gfx1250,256,32,7168,768,384,6,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,384,16,256,256,16.0,512.0,128.0,1,4,2,2.0,1.0,1.0,0,,1.0,1.0,grouped_gemm1_fp4_gugu,grouped_gemm2_fp4,468.0528,0,0,
gfx1250,256,64,7168,768,384,6,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,384,16,256,256,16.0,512.0,128.0,1,4,2,2.0,1.0,1.0,0,,1.0,1.0,grouped_gemm1_fp4_gugu,grouped_gemm2_fp4,468.0528,0,0,
gfx1250,256,128,7168,768,384,6,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,384,16,256,256,16.0,512.0,128.0,1,4,2,2.0,1.0,1.0,0,,1.0,1.0,grouped_gemm1_fp4_gugu,grouped_gemm2_fp4,468.0528,0,0,
gfx1250,256,256,7168,768,384,6,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,384,16,256,256,16.0,512.0,128.0,1,4,2,2.0,1.0,1.0,0,,1.0,1.0,grouped_gemm1_fp4_gugu,grouped_gemm2_fp4,468.0528,0,0,
gfx1250,256,512,7168,768,384,6,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,512,16,256,256,16.0,512.0,128.0,1,4,2,2.0,1.0,1.0,0,,1.0,1.0,grouped_gemm1_fp4_gugu,grouped_gemm2_fp4,468.0528,0,0,
gfx1250,256,1024,7168,768,384,6,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,1024,16,256,256,16.0,512.0,128.0,1,4,2,2.0,1.0,1.0,0,,1.0,1.0,grouped_gemm1_fp4_gugu,grouped_gemm2_fp4,468.0528,0,0,
gfx1250,256,2048,7168,768,384,6,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,2048,16,256,256,16.0,512.0,128.0,1,4,2,2.0,1.0,1.0,0,,1.0,1.0,grouped_gemm1_fp4_gugu,grouped_gemm2_fp4,468.0528,0,0,
gfx1250,256,4096,7168,768,384,6,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,4096,16,256,256,16.0,512.0,128.0,1,4,2,2.0,1.0,1.0,0,,1.0,1.0,grouped_gemm1_fp4_gugu,grouped_gemm2_fp4,468.0528,0,0,
gfx1250,256,8192,7168,768,384,6,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,8192,16,256,256,16.0,512.0,128.0,1,4,2,2.0,1.0,1.0,0,,1.0,1.0,grouped_gemm1_fp4_gugu,grouped_gemm2_fp4,468.0528,0,0,
gfx1250,256,16384,7168,768,384,6,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,16384,128,512,256,128.0,512.0,256.0,1,4,2,2.0,1.0,1.0,0,,1.0,1.0,grouped_gemm1_fp4_gugu,grouped_gemm2_fp4,2011.94,0,0,
gfx1250,256,32768,7168,768,384,6,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32768,128,512,256,128.0,512.0,256.0,1,4,2,2.0,1.0,1.0,0,,1.0,1.0,grouped_gemm1_fp4_gugu,grouped_gemm2_fp4,2011.94,0,0,
gfx1250,256,8,7168,3072,96,6,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,384,64,512,256,64.0,512.0,256.0,1,4,2,2.0,1.0,1.0,0,,1.0,1.0,grouped_gemm1_fp4_gugu,grouped_gemm2_fp4,468.0528,0,0,
gfx1250,256,16,7168,3072,96,6,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,384,64,512,256,64.0,512.0,256.0,1,4,2,2.0,1.0,1.0,0,,1.0,1.0,grouped_gemm1_fp4_gugu,grouped_gemm2_fp4,468.0528,0,0,
gfx1250,256,32,7168,3072,96,6,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,192,32,256,256,,,,1,4,2,,1.0,1.0,0,,,,grouped_gemm1_fp4_gugu,grouped_gemm2_fp4,470.9351,0,0,
gfx1250,256,64,7168,3072,96,6,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,384,16,256,512,16.0,256.0,128.0,1,4,2,2.0,1.0,1.0,0,,1.0,1.0,grouped_gemm1_fp4_gugu,grouped_gemm2_fp4,470.9351,0,0,
gfx1250,256,128,7168,3072,96,6,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,768,16,256,512,16.0,256.0,128.0,1,4,2,2.0,1.0,1.0,0,,1.0,1.0,grouped_gemm1_fp4_gugu,grouped_gemm2_fp4,481.4592,0,0,
gfx1250,256,256,7168,3072,96,6,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,1536,16,256,128,16.0,256.0,512.0,1,4,3,2.0,1.0,1.0,0,,1.0,1.0,grouped_gemm1_fp4_gugu,grouped_gemm2_fp4,499.5746,0,0,
gfx1250,256,512,7168,3072,96,6,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,384,32,512,512,32.0,512.0,512.0,1,4,2,2.0,1.0,1.0,0,,1.0,1.0,grouped_gemm1_fp4_gugu,grouped_gemm2_fp4,468.0528,0,0,
gfx1250,256,1024,7168,3072,96,6,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,384,32,512,512,32.0,512.0,512.0,1,4,2,2.0,1.0,1.0,0,,1.0,1.0,grouped_gemm1_fp4_gugu,grouped_gemm2_fp4,468.0528,0,0,
gfx1250,256,2048,7168,3072,96,6,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,12288,128,512,256,128.0,256.0,128.0,1,4,2,2.0,1.0,1.0,0,,1.0,1.0,grouped_gemm1_fp4_gugu,grouped_gemm2_fp4,1377.7696,0,0,
gfx1250,256,4096,7168,3072,96,6,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,24576,128,512,256,128.0,256.0,128.0,1,4,2,2.0,1.0,1.0,0,,1.0,1.0,grouped_gemm1_fp4_gugu,grouped_gemm2_fp4,3079.5475,0,0,
gfx1250,256,8192,7168,3072,96,6,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,49152,128,512,256,128.0,256.0,128.0,1,4,2,2.0,1.0,1.0,0,,1.0,1.0,grouped_gemm1_fp4_gugu,grouped_gemm2_fp4,6079.7677,0,0,
gfx1250,256,16384,7168,3072,96,6,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,98304,128,512,256,128.0,512.0,256.0,1,4,2,2.0,1.0,1.0,0,,1.0,0.0,grouped_gemm1_fp4_gugu,grouped_gemm2_fp4,11927.1248,0,0,
gfx1250,256,32768,7168,3072,96,6,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,196608,128,512,256,128.0,256.0,128.0,1,4,2,2.0,1.0,1.0,0,,1.0,1.0,grouped_gemm1_fp4_gugu,grouped_gemm2_fp4,23452.4903,0,0,
gfx1250,256,8,7168,3072,96,1,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,384,64,512,256,64.0,512.0,256.0,1,4,2,2.0,1.0,1.0,0,,1.0,1.0,grouped_gemm1_fp4_gugu,grouped_gemm2_fp4,468.0528,0,0,
gfx1250,256,16,7168,3072,96,1,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,384,64,512,256,64.0,512.0,256.0,1,4,2,2.0,1.0,1.0,0,,1.0,1.0,grouped_gemm1_fp4_gugu,grouped_gemm2_fp4,468.0528,0,0,
gfx1250,256,32,7168,3072,96,1,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,192,32,256,256,,,,1,4,2,,1.0,1.0,0,,,,grouped_gemm1_fp4_gugu,grouped_gemm2_fp4,470.9351,0,0,
gfx1250,256,64,7168,3072,96,1,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,384,16,256,512,16.0,256.0,128.0,1,4,2,2.0,1.0,1.0,0,,1.0,1.0,grouped_gemm1_fp4_gugu,grouped_gemm2_fp4,470.9351,0,0,
gfx1250,256,128,7168,3072,96,1,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,768,16,256,512,16.0,256.0,128.0,1,4,2,2.0,1.0,1.0,0,,1.0,1.0,grouped_gemm1_fp4_gugu,grouped_gemm2_fp4,481.4592,0,0,
gfx1250,256,256,7168,3072,96,1,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,1536,16,256,128,16.0,256.0,512.0,1,4,3,2.0,1.0,1.0,0,,1.0,1.0,grouped_gemm1_fp4_gugu,grouped_gemm2_fp4,499.5746,0,0,
gfx1250,256,512,7168,3072,96,1,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,3072,64,256,256,64.0,256.0,128.0,1,4,2,2.0,1.0,1.0,0,,1.0,1.0,grouped_gemm1_fp4_gugu,grouped_gemm2_fp4,517.8896,0,0,
gfx1250,256,1024,7168,3072,96,1,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,6144,128,512,256,128.0,256.0,128.0,1,4,2,2.0,1.0,1.0,0,,1.0,1.0,grouped_gemm1_fp4_gugu,grouped_gemm2_fp4,736.2838,0,0,
gfx1250,256,2048,7168,3072,96,1,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,12288,128,512,256,128.0,256.0,128.0,1,4,2,2.0,1.0,1.0,0,,1.0,1.0,grouped_gemm1_fp4_gugu,grouped_gemm2_fp4,1377.7696,0,0,
gfx1250,256,4096,7168,3072,96,1,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,24576,128,512,256,128.0,256.0,128.0,1,4,2,2.0,1.0,1.0,0,,1.0,1.0,grouped_gemm1_fp4_gugu,grouped_gemm2_fp4,3079.5475,0,0,
gfx1250,256,8192,7168,3072,96,1,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,49152,128,512,256,128.0,256.0,128.0,1,4,2,2.0,1.0,1.0,0,,1.0,1.0,grouped_gemm1_fp4_gugu,grouped_gemm2_fp4,6079.7677,0,0,
gfx1250,256,16384,7168,3072,96,1,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,98304,128,512,256,128.0,512.0,256.0,1,4,2,2.0,1.0,1.0,0,,1.0,0.0,grouped_gemm1_fp4_gugu,grouped_gemm2_fp4,11927.1248,0,0,
gfx1250,256,32768,7168,3072,96,1,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,196608,128,512,256,128.0,256.0,128.0,1,4,2,2.0,1.0,1.0,0,,1.0,1.0,grouped_gemm1_fp4_gugu,grouped_gemm2_fp4,23452.4903,0,0,
gfx1250,256,256,7168,3072,48,-1,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,64,64,256,256,,,,1,4,2,,,,1,,,,grouped_gemm1_a8w4_gugu,grouped_gemm2_a8w4,113.9126,0,0,GateMode.INTERLEAVE
gfx1250,256,512,7168,3072,48,-1,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,16,16,256,256,,,,1,4,2,,,,1,,,,grouped_gemm1_a8w4_gugu,grouped_gemm2_a8w4,155.4807,0,0,GateMode.INTERLEAVE
gfx1250,256,1024,7168,3072,48,-1,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,32,256,256,,,,1,4,2,,,,1,,,,grouped_gemm1_a8w4_gugu,grouped_gemm2_a8w4,213.7004,0,0,GateMode.INTERLEAVE
gfx1250,256,2048,7168,3072,48,-1,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,32,256,256,,,,1,4,2,,,,1,,,,grouped_gemm1_a8w4_gugu,grouped_gemm2_a8w4,288.3704,0,0,GateMode.INTERLEAVE
gfx1250,256,4096,7168,3072,48,-1,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,64,64,256,256,,,,1,4,2,,,,1,,,,grouped_gemm1_a8w4_gugu,grouped_gemm2_a8w4,403.7595,0,0,GateMode.INTERLEAVE
gfx1250,256,8192,7168,3072,48,-1,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,128,32,256,256,,,,1,4,2,,,,1,,,,grouped_gemm1_a8w4_gugu,grouped_gemm2_a8w4,677.4466,0,0,GateMode.INTERLEAVE
gfx1250,256,16384,7168,3072,48,-1,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,256,64,256,256,,,,1,4,2,,,,1,,,,grouped_gemm1_a8w4_gugu,grouped_gemm2_a8w4,1244.9686,0,0,GateMode.INTERLEAVE
gfx1250,256,32768,7168,3072,48,-1,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,512,128,256,256,,,,1,4,2,,,,1,,,,grouped_gemm1_a8w4_gugu,grouped_gemm2_a8w4,2378.3919,0,0,GateMode.INTERLEAVE
gfx1250,256,131072,7168,3072,48,-1,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,2752,64,256,256,,,,1,4,2,,,,1,,,,grouped_gemm1_a8w4_gugu,grouped_gemm2_a8w4,11947.9157,0,0,GateMode.INTERLEAVE
