tile_M,tile_N,block_size,splitK,bpreshuffle,pack_layout,swizzle_max_M,swizzle_max_N,swizzle_max_K,knl_name,co_name
256,256,256,0,0,mxfp6_c0c1_256_padk2,131072,16384,65536,f6gemm_res_ship_dup_kernel_func,gemm_mxfp6_res_ship_dup.co
256,256,256,0,0,mxfp6_c0c1_256_padk2,131072,16384,65536,f6gemm_res_ship_no_kernel_func,gemm_mxfp6_res_ship_no.co
256,256,256,0,0,mxfp6_c0c1_256_padk2,131072,16384,65536,f6gemm_res_ship_lds_kernel_func,gemm_mxfp6_res_ship_lds.co
256,256,256,0,0,mxfp6_c0c1_256_padk2,131072,16384,65536,f6gemm_res_strip_kernel_func,gemm_mxfp6_res_strip.co
256,256,256,0,0,mxfp6_c0c1_256_padk2,131072,16384,65536,f6gemm_res_strip_dup_kernel_func,gemm_mxfp6_res_strip_dup.co
256,256,256,0,0,mxfp6_c0c1_256_padk2,131072,16384,65536,f6gemm_res_strip_no_kernel_func,gemm_mxfp6_res_strip_no.co
256,256,256,0,0,mxfp6_c0c1_256_padk2,131072,16384,65536,f6gemm_res_strip_lds_kernel_func,gemm_mxfp6_res_strip_lds.co
256,256,256,0,0,mxfp6_c0c1_256_padk2,131072,16384,65536,f6gemm_res_strip_dupl_kernel_func,gemm_mxfp6_res_strip_dupl.co
256,256,256,0,0,mxfp6_c0c1_256_padk2,131072,16384,65536,f6gemm_res_strip_nolds_kernel_func,gemm_mxfp6_res_strip_nolds.co
256,256,256,0,0,mxfp6_c0c1_256_padk2,131072,16384,65536,f6gemm_sched_inter_kernel_func,gemm_mxfp6_sched_inter.co
256,256,256,0,0,mxfp6_c0c1_256_padk2,131072,16384,65536,f6gemm_sched_batch_kernel_func,gemm_mxfp6_sched_batch.co
256,256,256,0,0,mxfp6_c0c1_256_padk2,131072,16384,65536,f6gemm_sched_inter_full_kernel_func,gemm_mxfp6_sched_inter_full.co
256,256,256,0,0,mxfp6_c0c1_256_padk2,131072,16384,65536,f6gemm_sched_batch_full_kernel_func,gemm_mxfp6_sched_batch_full.co
256,256,256,0,0,mxfp6_c0c1_256_padk2,131072,16384,65536,f6gemm_sched_all_full_kernel_func,gemm_mxfp6_sched_all_full.co
256,256,256,0,0,mxfp6_c0c1_256_padk2,131072,16384,65536,f6gemm_sched_bias_full_kernel_func,gemm_mxfp6_sched_bias_full.co
