gfx,cu_num,token,model_dim,inter_dim,expert,topk,act_type,dtype,q_dtype_a,q_dtype_w,q_type,use_g1u1,doweight_stage1,block_m,ksplit,us1,kernelName1,err1,us2,kernelName2,err2,us,run_1stage,xbf16,flat,tflops,bw
gfx950,256,512,7168,3072,49,6,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,64,0,203.4845,flydsl_moe1_afp8_wfp4_bf16_t64x256x256_w2_gui_fp8,0.0%,,flydsl_moe2_afp8_wfp4_bf16_t64x128x256_atomic_bnt2,,,0,0,0,,
gfx950,256,1024,7168,3072,49,6,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,128,0,269.9312,flydsl_moe1_afp8_wfp4_bf16_t128x256x256_w4_gui_fp8,0.0%,,flydsl_moe2_afp8_wfp4_bf16_t128x128x256_atomic_bnt2,,,0,0,0,,
gfx950,256,2048,7168,3072,49,6,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,128,0,481.506,flydsl_moe1_afp8_wfp4_bf16_t128x256x256_w3_gui_fp8,0.0%,,flydsl_moe2_afp8_wfp4_bf16_t128x128x256_atomic,,,0,0,0,,
gfx950,256,4096,7168,3072,49,6,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,128,0,863.5415,flydsl_moe1_afp8_wfp4_bf16_t128x256x256_w2_bnt0_gui_fp8,0.0%,,flydsl_moe2_afp8_wfp4_bf16_t128x128x256_atomic,,,0,0,0,,
gfx950,256,8192,7168,3072,49,6,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,128,0,1649.2561,flydsl_moe1_afp8_wfp4_bf16_t128x256x256_w4_bnt0_gui_fp8,0.0%,,flydsl_moe2_afp8_wfp4_bf16_t128x128x256_atomic,,,0,0,0,,
gfx950,256,16384,7168,3072,49,6,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,128,0,3284.5483,flydsl_moe1_afp8_wfp4_bf16_t128x256x256_w2_bnt0_gui_fp8,0.0%,,flydsl_moe2_afp8_wfp4_bf16_t128x128x256_atomic,,,0,0,0,,
