tile_m,tile_n,intype,a_preshuffle,cluster_x,cluster_y,knl_name,co_name
256,256,8,1,4,4,f4gemm_nvfp4_256x256_apre1,f4gemm_nvfp4_256x256_apre1.co
128,512,8,1,4,4,f4gemm_nvfp4_128x512_apre1,f4gemm_nvfp4_128x512_apre1.co
