M,N,K
2,2560,2048
4,2560,2048
8,2560,2048
16,2560,2048
24,2560,2048
32,2560,2048
40,2560,2048
48,2560,2048
56,2560,2048
64,2560,2048
72,2560,2048
80,2560,2048
88,2560,2048
96,2560,2048
104,2560,2048
112,2560,2048
120,2560,2048
128,2560,2048
136,2560,2048
144,2560,2048
152,2560,2048
160,2560,2048
168,2560,2048
176,2560,2048
184,2560,2048
192,2560,2048
200,2560,2048
208,2560,2048
216,2560,2048
224,2560,2048
232,2560,2048
240,2560,2048
248,2560,2048
256,2560,2048
272,2560,2048
288,2560,2048
304,2560,2048
320,2560,2048
336,2560,2048
352,2560,2048
368,2560,2048
384,2560,2048
400,2560,2048
416,2560,2048
432,2560,2048
448,2560,2048
464,2560,2048
480,2560,2048
496,2560,2048
512,2560,2048
8192,2560,2048
16,2048,2048
32,2048,2048
64,2048,2048
128,2048,2048
256,2048,2048
512,2048,2048
1024,2048,2048
2048,2048,2048
4096,2048,2048
8192,2048,2048
16384,2048,2048
20480,2048,2048
1,2048,2048
2,2048,2048
4,2048,2048
8,2048,2048
16,2048,2048
24,2048,2048
32,2048,2048
40,2048,2048
48,2048,2048
56,2048,2048
64,2048,2048
72,2048,2048
80,2048,2048
88,2048,2048
96,2048,2048
104,2048,2048
112,2048,2048
120,2048,2048
128,2048,2048
136,2048,2048
144,2048,2048
152,2048,2048
160,2048,2048
168,2048,2048
176,2048,2048
184,2048,2048
192,2048,2048
200,2048,2048
208,2048,2048
216,2048,2048
224,2048,2048
232,2048,2048
240,2048,2048
248,2048,2048
256,2048,2048
264,2048,2048
272,2048,2048
280,2048,2048
288,2048,2048
296,2048,2048
304,2048,2048
312,2048,2048
320,2048,2048
328,2048,2048
336,2048,2048
344,2048,2048
352,2048,2048
360,2048,2048
368,2048,2048
376,2048,2048
384,2048,2048
392,2048,2048
400,2048,2048
408,2048,2048
416,2048,2048
424,2048,2048
432,2048,2048
440,2048,2048
448,2048,2048
456,2048,2048
464,2048,2048
472,2048,2048
480,2048,2048
488,2048,2048
496,2048,2048
504,2048,2048
512,2048,2048
1024,2048,2048
2048,2048,2048
4096,2048,2048
8192,2048,2048
16384,2048,2048
20480,2048,2048
1,2560,2048
2,2560,2048
4,2560,2048
8,2560,2048
16,2560,2048
24,2560,2048
32,2560,2048
40,2560,2048
48,2560,2048
56,2560,2048
64,2560,2048
72,2560,2048
80,2560,2048
88,2560,2048
96,2560,2048
104,2560,2048
112,2560,2048
120,2560,2048
128,2560,2048
136,2560,2048
144,2560,2048
152,2560,2048
160,2560,2048
168,2560,2048
176,2560,2048
184,2560,2048
192,2560,2048
200,2560,2048
208,2560,2048
216,2560,2048
224,2560,2048
232,2560,2048
240,2560,2048
248,2560,2048
256,2560,2048
272,2560,2048
288,2560,2048
304,2560,2048
320,2560,2048
336,2560,2048
352,2560,2048
368,2560,2048
384,2560,2048
400,2560,2048
416,2560,2048
432,2560,2048
448,2560,2048
464,2560,2048
480,2560,2048
496,2560,2048
512,2560,2048
8192,2560,2048
