gfx,cu_num,token,model_dim,inter_dim,expert,topk,act_type,dtype,q_dtype_a,q_dtype_w,q_type,use_g1u1,doweight_stage1,block_m,ksplit,us1,kernelName1,err1,us2,kernelName2,err2,us,run_1stage,xbf16,flat,tflops,bw
gfx950,256,1,6144,2048,257,9,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,16,0,26.0056,flydsl_mxmoe_g1_a4w4_16x256x256_f16in_nt,0.029347,16.2901,flydsl_moe2_afp4_wfp4_bf16_t16x128x256_atomic,0.029347,42.2957,0,0,0,16.06,229371.86
gfx950,256,2,6144,2048,257,9,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,16,0,52.0102,flydsl_mxmoe_g1_a4w4_16x256x256_f16in_nt,0.011823,27.2353,flydsl_moe2_afp4_wfp4_bf16_t16x128x256_atomic,0.011823,79.2455,0,0,0,17.15,122422.88
gfx950,256,4,6144,2048,257,9,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,16,0,84.2956,flydsl_mxmoe_g1_a4w4_16x256x256_f16in_nt_xcd4,0.011924,47.0551,flydsl_moe2_afp4_wfp4_bf16_t16x128x256_atomic_xcd4,0.011924,131.3508,0,0,0,20.69,73859.46
gfx950,256,8,6144,2048,257,9,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,16,0,150.2665,flydsl_mxmoe_g1_a4w4_16x256x256_f16in_nt,0.011778,83.8459,flydsl_moe2_afp4_wfp4_bf16_t16x128x256_reduce_bnt2,0.011778,234.1124,0,0,0,23.22,41439.81
gfx950,256,16,6144,2048,257,9,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,16,0,287.8231,flydsl_mxmoe_g1_a4w4_16x256x256_f16in_nt,0.013887,156.5215,flydsl_moe2_afp4_wfp4_bf16_t16x128x256_reduce_bnt2,0.013887,444.3446,0,0,0,24.47,21833.78
gfx950,256,32,6144,2048,257,9,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,16,0,521.4905,flydsl_mxmoe_g1_a4w4_16x256x256_f16in_nt_xcd2,0.01213,268.8979,flydsl_moe2_afp4_wfp4_bf16_t16x128x256_atomic,0.01213,790.3884,0,0,0,27.51,12275.0
gfx950,256,64,6144,2048,257,9,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,16,0,523.8007,flydsl_mxmoe_g1_a4w4_16x256x256_f16in_nt_xcd2,0.01197,271.323,flydsl_moe2_afp4_wfp4_bf16_t16x128x256_atomic_bnt2,0.01197,795.1237,0,0,0,54.69,12202.64
gfx950,256,128,6144,2048,257,9,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,16,0,534.9008,flydsl_mxmoe_g1_a4w4_16x256x256_f16in_nt_xcd2,0.011789,275.753,flydsl_moe2_afp4_wfp4_bf16_t16x128x256_atomic_bnt2,0.011789,810.6537,0,0,0,107.29,11970.32
gfx950,256,256,6144,2048,257,9,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,16,0,534.0158,flydsl_mxmoe_g1_a4w4_16x256x256_f16in_nt_xcd2,0.011749,281.838,flydsl_moe2_afp4_wfp4_bf16_t16x128x256_atomic_bnt2,0.011749,815.8537,0,0,0,213.21,11896.92
gfx950,256,512,6144,2048,257,9,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,537.3659,flydsl_mxmoe_g1_a4w4_32x256x256_nt_xcd2,0.011728,292.0581,flydsl_moe2_afp4_wfp4_bf16_t32x128x256_atomic,0.011728,829.424,0,0,0,419.44,11707.96
