gfx,cu_num,M,N,K,outdtype,bias,scale_block,bpreshuffle,scale_a_transposed,libtype,kernelId,splitK,us,kernelName,errRatio,tflops,bw
gfx950,256,1,768,7168,torch.bfloat16,False,128,True,True,flydsl,26,2,12.7832,flydsl_mxfp8_bf16_sb128_bp1_sat1_t16x32x256x4_ksd_w1x1x1_mma16x16x128_bias0_gm0_pft_gfx950,0.0,0.86,431.33
gfx950,256,2,768,7168,torch.bfloat16,False,128,True,True,flydsl,14,2,15.0672,flydsl_mxfp8_bf16_sb128_bp1_sat1_t16x32x256x2_ksd_w1x1x1_mma16x16x128_bias0_gm0_pft_gfx950,0.0,1.46,366.52
gfx950,256,4,768,7168,torch.bfloat16,False,128,True,True,flydsl,14,2,14.2591,flydsl_mxfp8_bf16_sb128_bp1_sat1_t16x32x256x2_ksd_w1x1x1_mma16x16x128_bias0_gm0_pft_gfx950,0.0,3.09,388.51
gfx950,256,8,768,7168,torch.bfloat16,False,128,True,True,flydsl,12,1,20.4993,flydsl_mxfp8_bf16_sb128_bp1_sat1_t16x32x256x2_ks1_w1x1x1_mma16x16x128_bias0_gm0_pft_gfx950,0.0,4.3,271.94
gfx950,256,16,768,7168,torch.bfloat16,False,128,True,True,flydsl,12,1,21.1431,flydsl_mxfp8_bf16_sb128_bp1_sat1_t16x32x256x2_ks1_w1x1x1_mma16x16x128_bias0_gm0_pft_gfx950,0.0,8.33,266.96
gfx950,256,32,768,7168,torch.bfloat16,False,128,True,True,flydsl,12,1,21.0273,flydsl_mxfp8_bf16_sb128_bp1_sat1_t16x32x256x2_ks1_w1x1x1_mma16x16x128_bias0_gm0_pft_gfx950,0.0,16.76,275.05
gfx950,256,48,768,7168,torch.bfloat16,False,128,True,True,flydsl,9,1,20.9153,flydsl_mxfp8_bf16_sb128_bp1_sat1_t16x32x256x2_ks1_w1x1x1_mma16x16x128_bias0_gm0_pft_gfx950,0.0,25.27,283.18
gfx950,256,64,768,7168,torch.bfloat16,False,128,True,True,flydsl,9,1,22.3314,flydsl_mxfp8_bf16_sb128_bp1_sat1_t16x32x256x2_ks1_w1x1x1_mma16x16x128_bias0_gm0_pft_gfx950,0.0,31.55,271.46
gfx950,256,80,768,7168,torch.bfloat16,False,128,True,True,flydsl,21,1,21.8632,flydsl_mxfp8_bf16_sb128_bp1_sat1_t16x32x256x4_ks1_w1x1x1_mma16x16x128_bias0_gm0_pft_gfx950,0.0,40.29,283.64
gfx950,256,96,768,7168,torch.bfloat16,False,128,True,True,flydsl,14,1,22.5712,flydsl_mxfp8_bf16_sb128_bp1_sat1_t16x32x256x4_ks1_w1x1x1_mma16x16x128_bias0_gm0_pft_gfx950,0.0,46.83,280.92
gfx950,256,112,768,7168,torch.bfloat16,False,128,True,True,flydsl,14,1,22.0552,flydsl_mxfp8_bf16_sb128_bp1_sat1_t16x32x256x4_ks1_w1x1x1_mma16x16x128_bias0_gm0_pft_gfx950,0.0,55.91,293.8
gfx950,256,128,768,7168,torch.bfloat16,False,128,True,True,flydsl,14,1,22.0553,flydsl_mxfp8_bf16_sb128_bp1_sat1_t16x32x256x4_ks1_w1x1x1_mma16x16x128_bias0_gm0_pft_gfx950,0.0,63.9,300.12
gfx950,256,144,768,7168,torch.bfloat16,False,128,True,True,flydsl,14,1,21.5473,flydsl_mxfp8_bf16_sb128_bp1_sat1_t16x32x256x4_ks1_w1x1x1_mma16x16x128_bias0_gm0_pft_gfx950,0.0,73.58,313.65
gfx950,256,160,768,7168,torch.bfloat16,False,128,True,True,flydsl,14,1,22.1753,flydsl_mxfp8_bf16_sb128_bp1_sat1_t16x32x256x4_ks1_w1x1x1_mma16x16x128_bias0_gm0_pft_gfx950,0.0,79.44,311.05
gfx950,256,176,768,7168,torch.bfloat16,False,128,True,True,flydsl,14,1,23.3433,flydsl_mxfp8_bf16_sb128_bp1_sat1_t16x32x256x4_ks1_w1x1x1_mma16x16x128_bias0_gm0_pft_gfx950,0.0,83.01,301.45
gfx950,256,192,768,7168,torch.bfloat16,False,128,True,True,flydsl,14,1,23.9873,flydsl_mxfp8_bf16_sb128_bp1_sat1_t16x32x256x4_ks1_w1x1x1_mma16x16x128_bias0_gm0_pft_gfx950,0.0,88.13,299.17
gfx950,256,208,768,7168,torch.bfloat16,False,128,True,True,flydsl,6,1,23.7712,flydsl_mxfp8_bf16_sb128_bp1_sat1_t16x32x256x2_ks1_w1x1x1_mma16x16x128_bias0_gm0_pft_gfx950,0.0,96.34,307.74
