gfx,cu_num,token,model_dim,inter_dim,expert,topk,act_type,dtype,q_dtype_a,q_dtype_w,q_type,use_g1u1,doweight_stage1,block_m,ksplit,us1,kernelName1,err1,us2,kernelName2,err2,us,run_1stage,xbf16,flat,tflops,bw,_tag
gfx950,256,1024,6144,768,129,5,ActivationType.Swiglu,torch.bfloat16,torch.float8_e4m3fn,torch.float8_e4m3fn,QuantType.per_1x32,1,0,64,0,228.5879,flydsl_moe1_afp8_wfp8_bf16_t64x128x256_w4_gui_fp8,0.0%,138.7400,flydsl_moe2_afp8_wfp8_bf16_t64x128x256_atomic_bnt2_persist,0.0%,367.3279,0,0,0,394.62,5022.68,
gfx950,256,2048,6144,768,129,5,ActivationType.Swiglu,torch.bfloat16,torch.float8_e4m3fn,torch.float8_e4m3fn,QuantType.per_1x32,1,0,128,0,263.7269,flydsl_moe1_afp8_wfp8_bf16_t128x128x256_w2_gui_fp8,0.0%,178.2113,flydsl_moe2_afp8_wfp8_bf16_t128x128x256_atomic_bnt2,0.0%,441.9382,0,0,0,656.0,4217.43,
gfx950,256,4096,6144,768,129,5,ActivationType.Swiglu,torch.bfloat16,torch.float8_e4m3fn,torch.float8_e4m3fn,QuantType.per_1x32,1,0,128,0,408.1493,flydsl_moe1_afp8_wfp8_bf16_t128x256x256_w2_bnt0_gui_xcd4_fp8,0.0%,287.4175,flydsl_moe2_afp8_wfp8_bf16_t128x128x256_atomic_persist,0.0%,695.5668,0,0,0,833.59,2733.87,
gfx950,256,8192,6144,768,129,5,ActivationType.Swiglu,torch.bfloat16,torch.float8_e4m3fn,torch.float8_e4m3fn,QuantType.per_1x32,1,0,128,0,598.157,flydsl_moe1_afp8_wfp8_bf16_t128x256x256_w3_bnt0_gui_xcd4_fp8,0.0%,459.0676,flydsl_moe2_afp8_wfp8_bf16_t128x128x256_atomic_persist,0.0%,1057.2246,0,0,0,1096.87,1870.08,
gfx950,256,16384,6144,768,129,5,ActivationType.Swiglu,torch.bfloat16,torch.float8_e4m3fn,torch.float8_e4m3fn,QuantType.per_1x32,1,0,128,0,964.9583,flydsl_moe1_afp8_wfp8_bf16_t128x256x256_w4_bnt0_gui_xcd4_fp8,0.0%,884.2082,flydsl_moe2_afp8_wfp8_bf16_t128x128x256_atomic_persist,0.0%,1849.1665,0,0,0,1254.23,1150.83,
gfx950,256,32768,6144,768,129,5,ActivationType.Swiglu,torch.bfloat16,torch.float8_e4m3fn,torch.float8_e4m3fn,QuantType.per_1x32,1,0,128,0,1741.1126,flydsl_moe1_afp8_wfp8_bf16_t128x256x256_bnt0_gui_xcd4_fp8,0.0%,1746.807,flydsl_moe2_afp8_wfp8_bf16_t128x128x256_reduce,0.0%,3487.9196,0,0,0,1329.89,696.71,
gfx950,256,1,6144,384,129,5,ActivationType.Swiglu,torch.bfloat16,torch.float8_e4m3fn,torch.float8_e4m3fn,QuantType.per_1x32,1,0,32,0,18.5898,flydsl_moe1_afp8_wfp8_bf16_t32x64x256_w4_gui_fp8,0.0%,8.7734,flydsl_moe2_afp8_wfp8_bf16_t32x128x128_reduce_bnt2_xcd4,0.0%,27.3632,0,0,0,2.59,33368.39,
gfx950,256,2,6144,384,129,5,ActivationType.Swiglu,torch.bfloat16,torch.float8_e4m3fn,torch.float8_e4m3fn,QuantType.per_1x32,1,0,32,0,19.4793,flydsl_moe1_afp8_wfp8_bf16_t32x64x256_w4_gui_fp8,0.0%,11.0289,flydsl_moe2_afp8_wfp8_bf16_t32x128x128_reduce_persist,0.0%,30.5082,0,0,0,4.64,29929.15,
gfx950,256,4,6144,384,129,5,ActivationType.Swiglu,torch.bfloat16,torch.float8_e4m3fn,torch.float8_e4m3fn,QuantType.per_1x32,1,0,32,0,21.8896,flydsl_moe1_afp8_wfp8_bf16_t32x64x256_w4_gui_fp8,0.0%,14.4426,flydsl_moe2_afp8_wfp8_bf16_t32x128x128_reduce,0.0%,36.3322,0,0,0,7.79,25132.56,
gfx950,256,8,6144,384,129,5,ActivationType.Swiglu,torch.bfloat16,torch.float8_e4m3fn,torch.float8_e4m3fn,QuantType.per_1x32,1,0,32,0,32.8669,flydsl_moe1_afp8_wfp8_bf16_t32x128x256_w3_gui_fp8,0.0%,21.5961,flydsl_moe2_afp8_wfp8_bf16_t32x128x128_reduce,0.0%,54.4630,0,0,0,10.4,16767.25,
gfx950,256,16,6144,384,129,5,ActivationType.Swiglu,torch.bfloat16,torch.float8_e4m3fn,torch.float8_e4m3fn,QuantType.per_1x32,1,0,32,0,49.5114,flydsl_moe1_afp8_wfp8_bf16_t32x64x256_w3_gui_fp8,0.0%,32.0371,flydsl_moe2_afp8_wfp8_bf16_t32x128x128_reduce_bnt2,0.0%,81.5485,0,0,0,13.89,11199.99,
gfx950,256,32,6144,384,129,5,ActivationType.Swiglu,torch.bfloat16,torch.float8_e4m3fn,torch.float8_e4m3fn,QuantType.per_1x32,1,0,32,0,75.1142,flydsl_moe1_afp8_wfp8_bf16_t32x64x256_w3_gui_fp8,0.0%,41.9527,flydsl_moe2_afp8_wfp8_bf16_t32x128x128_reduce_bnt2,0.0%,117.0669,0,0,0,19.35,7804.4,
gfx950,256,64,6144,384,129,5,ActivationType.Swiglu,torch.bfloat16,torch.float8_e4m3fn,torch.float8_e4m3fn,QuantType.per_1x32,1,0,32,0,88.9441,flydsl_moe1_afp8_wfp8_bf16_t32x128x256_w2_gui_fp8,0.0%,52.5900,flydsl_moe2_afp8_wfp8_bf16_t32x128x128_atomic_bnt2_persist,0.0%,141.5341,0,0,0,32.01,6459.41,
gfx950,256,128,6144,384,129,5,ActivationType.Swiglu,torch.bfloat16,torch.float8_e4m3fn,torch.float8_e4m3fn,QuantType.per_1x32,1,0,32,0,106.7744,flydsl_moe1_afp8_wfp8_bf16_t32x64x256_w4_gui_fp8,0.0%,60.2865,flydsl_moe2_afp8_wfp8_bf16_t32x128x128_reduce_bnt2_persist,0.0%,167.0609,0,0,0,54.23,5479.48,
gfx950,256,256,6144,384,129,5,ActivationType.Swiglu,torch.bfloat16,torch.float8_e4m3fn,torch.float8_e4m3fn,QuantType.per_1x32,1,0,32,0,109.9390,flydsl_moe1_afp8_wfp8_bf16_t32x64x256_w4_gui_fp8,0.0%,61.5500,flydsl_moe2_afp8_wfp8_bf16_t32x128x128_atomic_bnt2,0.0%,171.4890,0,0,0,105.66,5351.75,
gfx950,256,512,6144,384,129,5,ActivationType.Swiglu,torch.bfloat16,torch.float8_e4m3fn,torch.float8_e4m3fn,QuantType.per_1x32,1,0,32,0,111.4375,flydsl_moe1_afp8_wfp8_bf16_t32x64x256_w4_gui_fp8,0.0%,67.4431,flydsl_moe2_afp8_wfp8_bf16_t32x128x128_atomic_bnt2,0.0%,178.8806,0,0,0,202.59,5156.99,
gfx950,256,1024,6144,384,129,5,ActivationType.Swiglu,torch.bfloat16,torch.float8_e4m3fn,torch.float8_e4m3fn,QuantType.per_1x32,1,0,64,0,120.8853,flydsl_moe1_afp8_wfp8_bf16_t64x256x256_w3_gui_fp8,0.0%,80.3399,flydsl_moe2_afp8_wfp8_bf16_t64x128x128_atomic_bnt2,0.0%,201.2252,0,0,0,360.18,4631.24,
gfx950,256,2048,6144,384,129,5,ActivationType.Swiglu,torch.bfloat16,torch.float8_e4m3fn,torch.float8_e4m3fn,QuantType.per_1x32,1,0,128,0,141.3501,flydsl_moe1_afp8_wfp8_bf16_t128x256x256_gui_fp8,0.0%,122.3555,flydsl_moe2_afp8_wfp8_bf16_t64x128x128_atomic_persist_sbm128,0.0%,263.7056,0,0,0,549.69,3605.52,
gfx950,256,4096,6144,384,129,5,ActivationType.Swiglu,torch.bfloat16,torch.float8_e4m3fn,torch.float8_e4m3fn,QuantType.per_1x32,1,0,64,0,218.8674,flydsl_moe1_afp8_wfp8_bf16_t64x128x256_w4_bnt0_gui_xcd4_fp8,0.0%,201.0466,flydsl_moe2_afp8_wfp8_bf16_t64x128x128_reduce,0.0%,419.914,0,0,0,690.4,2354.16,
gfx950,256,8192,6144,384,129,5,ActivationType.Swiglu,torch.bfloat16,torch.float8_e4m3fn,torch.float8_e4m3fn,QuantType.per_1x32,1,0,128,0,354.6858,flydsl_moe1_afp8_wfp8_bf16_t128x256x256_bnt0_gui_xcd4_fp8,0.0%,388.9720,flydsl_moe2_afp8_wfp8_bf16_t64x128x128_reduce_persist_sbm128,0.0%,743.6578,0,0,0,779.69,1430.82,
gfx950,256,16384,6144,384,129,5,ActivationType.Swiglu,torch.bfloat16,torch.float8_e4m3fn,torch.float8_e4m3fn,QuantType.per_1x32,1,0,128,0,558.2699,flydsl_moe1_afp8_wfp8_bf16_t128x256x256_w3_bnt0_gui_xcd4_fp8,0.0%,758.8772,flydsl_moe2_afp8_wfp8_bf16_t64x128x128_reduce_persist_sbm128,0.0%,1317.1471,0,0,0,880.42,922.48,
gfx950,256,32768,6144,384,129,5,ActivationType.Swiglu,torch.bfloat16,torch.float8_e4m3fn,torch.float8_e4m3fn,QuantType.per_1x32,1,0,128,0,974.9210,flydsl_moe1_afp8_wfp8_bf16_t128x256x256_w2_bnt0_gui_xcd4_fp8,0.0%,1433.0959,flydsl_moe2_afp8_wfp8_bf16_t64x128x128_reduce_xcd4_persist_sbm128,0.0%,2408.0169,0,0,0,963.15,629.99,
