M,N,K,outdtype,bias,bpreshuffle
1,2304,6144,torch.bfloat16,False,True
2,2304,6144,torch.bfloat16,False,True
4,2304,6144,torch.bfloat16,False,True
8,2304,6144,torch.bfloat16,False,True
16,2304,6144,torch.bfloat16,False,True
32,2304,6144,torch.bfloat16,False,True
64,2304,6144,torch.bfloat16,False,True
128,2304,6144,torch.bfloat16,False,True
256,2304,6144,torch.bfloat16,False,True
512,2304,6144,torch.bfloat16,False,True
1024,2304,6144,torch.bfloat16,False,True
2048,2304,6144,torch.bfloat16,False,True
4096,2304,6144,torch.bfloat16,False,True
8192,2304,6144,torch.bfloat16,False,True
16384,2304,6144,torch.bfloat16,False,True
32768,2304,6144,torch.bfloat16,False,True
1,2560,6144,torch.bfloat16,False,True
2,2560,6144,torch.bfloat16,False,True
4,2560,6144,torch.bfloat16,False,True
8,2560,6144,torch.bfloat16,False,True
16,2560,6144,torch.bfloat16,False,True
32,2560,6144,torch.bfloat16,False,True
64,2560,6144,torch.bfloat16,False,True
128,2560,6144,torch.bfloat16,False,True
256,2560,6144,torch.bfloat16,False,True
512,2560,6144,torch.bfloat16,False,True
1024,2560,6144,torch.bfloat16,False,True
2048,2560,6144,torch.bfloat16,False,True
4096,2560,6144,torch.bfloat16,False,True
8192,2560,6144,torch.bfloat16,False,True
16384,2560,6144,torch.bfloat16,False,True
32768,2560,6144,torch.bfloat16,False,True
1,6144,2048,torch.bfloat16,False,True
1,6144,3072,torch.bfloat16,False,True
1,6144,6144,torch.bfloat16,False,True
2,6144,2048,torch.bfloat16,False,True
2,6144,3072,torch.bfloat16,False,True
2,6144,6144,torch.bfloat16,False,True
4,6144,2048,torch.bfloat16,False,True
4,6144,3072,torch.bfloat16,False,True
4,6144,6144,torch.bfloat16,False,True
8,6144,2048,torch.bfloat16,False,True
8,6144,3072,torch.bfloat16,False,True
8,6144,6144,torch.bfloat16,False,True
16,6144,2048,torch.bfloat16,False,True
16,6144,3072,torch.bfloat16,False,True
16,6144,6144,torch.bfloat16,False,True
32,6144,2048,torch.bfloat16,False,True
32,6144,3072,torch.bfloat16,False,True
32,6144,6144,torch.bfloat16,False,True
64,6144,2048,torch.bfloat16,False,True
64,6144,3072,torch.bfloat16,False,True
64,6144,6144,torch.bfloat16,False,True
128,6144,2048,torch.bfloat16,False,True
128,6144,3072,torch.bfloat16,False,True
128,6144,6144,torch.bfloat16,False,True
256,6144,2048,torch.bfloat16,False,True
256,6144,3072,torch.bfloat16,False,True
256,6144,6144,torch.bfloat16,False,True
512,6144,2048,torch.bfloat16,False,True
512,6144,3072,torch.bfloat16,False,True
512,6144,6144,torch.bfloat16,False,True
1024,6144,2048,torch.bfloat16,False,True
1024,6144,3072,torch.bfloat16,False,True
1024,6144,6144,torch.bfloat16,False,True
2048,6144,2048,torch.bfloat16,False,True
2048,6144,3072,torch.bfloat16,False,True
2048,6144,6144,torch.bfloat16,False,True
4096,6144,2048,torch.bfloat16,False,True
4096,6144,3072,torch.bfloat16,False,True
4096,6144,6144,torch.bfloat16,False,True
8192,6144,2048,torch.bfloat16,False,True
8192,6144,3072,torch.bfloat16,False,True
8192,6144,6144,torch.bfloat16,False,True
16384,6144,2048,torch.bfloat16,False,True
16384,6144,3072,torch.bfloat16,False,True
16384,6144,6144,torch.bfloat16,False,True
32768,6144,2048,torch.bfloat16,False,True
32768,6144,3072,torch.bfloat16,False,True
32768,6144,6144,torch.bfloat16,False,True
1,1536,6144,torch.bfloat16,False,True
2,1536,6144,torch.bfloat16,False,True
4,1536,6144,torch.bfloat16,False,True
8,1536,6144,torch.bfloat16,False,True
1,6144,768,torch.bfloat16,False,True
2,6144,768,torch.bfloat16,False,True
4,6144,768,torch.bfloat16,False,True
8,6144,768,torch.bfloat16,False,True
1,768,6144,torch.bfloat16,False,True
2,768,6144,torch.bfloat16,False,True
4,768,6144,torch.bfloat16,False,True
8,768,6144,torch.bfloat16,False,True
1,6144,128,torch.bfloat16,False,True
1,6144,384,torch.bfloat16,False,True
2,6144,128,torch.bfloat16,False,True
2,6144,384,torch.bfloat16,False,True
4,6144,128,torch.bfloat16,False,True
4,6144,384,torch.bfloat16,False,True
8,6144,128,torch.bfloat16,False,True
8,6144,384,torch.bfloat16,False,True
