gfx,cu_num,N,C,D,H,W,K,kT,kH,kW,stride_d,stride_h,stride_w,pad_d,pad_h,pad_w,dil_d,dil_h,dil_w,groups,bias,tile_m,tile_n,wave_m,wave_n,wgm,splitK,us,kernelName,err_ratio,tflops,bw
gfx950,256,1,3,6,370,546,96,3,3,3,1,1,1,0,0,0,1,1,1,1,True,192,128,2,2,1,1,158.9197,conv3d_implicit_t192x128_w2x2_g1,0.0,78.36,1013.32
gfx950,256,1,96,6,370,546,96,3,3,3,1,1,1,0,0,0,1,1,1,1,True,192,128,4,1,1,1,635.9122,conv3d_implicit_t192x128_w4x1_g1,0.0,626.68,608.53
gfx950,256,1,96,1,369,545,96,1,3,3,1,2,2,0,0,0,1,1,1,1,True,128,128,2,4,1,1,46.448,conv3d_implicit_t128x128_w2x4_g1,0.0,178.75,1041.75
gfx950,256,4,96,1,369,545,96,1,3,3,1,2,2,0,0,0,1,1,1,1,True,96,96,2,3,1,1,179.0626,conv3d_implicit_t96x96_w2x3_g1,0.0,185.46,1078.12
gfx950,256,1,96,6,186,274,192,3,3,3,1,1,1,0,0,0,1,1,1,1,True,128,192,2,2,1,1,288.5614,conv3d_implicit_t128x192_w2x2_g1,0.0,690.52,473.31
gfx950,256,1,192,6,186,274,192,3,3,3,1,1,1,0,0,0,1,1,1,1,True,128,192,2,2,1,1,622.64,conv3d_implicit_t128x192_w2x2_g1,0.0,640.04,315.25
gfx950,256,1,192,1,185,273,192,1,3,3,1,2,2,0,0,0,1,1,1,1,True,64,64,2,2,1,1,39.4985,conv3d_implicit_t64x64_w2x2_g1,0.0,210.19,629.44
gfx950,256,4,192,1,185,273,192,1,3,3,1,2,2,0,0,0,1,1,1,1,True,128,192,4,1,1,1,111.2898,conv3d_implicit_t128x192_w4x1_g1,0.0,298.41,875.71
gfx950,256,1,192,4,94,138,384,3,3,3,1,1,1,0,0,0,1,1,1,1,True,192,128,4,1,8,1,137.006,conv3d_implicit_t192x128_w4x1_g8,0.0,727.18,314.77
gfx950,256,1,384,4,94,138,384,3,3,3,1,1,1,0,0,0,1,1,1,1,True,192,128,4,1,8,1,306.8718,conv3d_implicit_t192x128_w4x1_g8,0.0,649.32,218.43
gfx950,256,1,384,1,93,137,384,1,3,3,1,2,2,0,0,0,1,1,1,1,True,32,32,1,2,8,1,42.7212,conv3d_implicit_t32x32_w1x2_g8,0.0,194.34,347.41
gfx950,256,2,384,1,93,137,384,1,3,3,1,2,2,0,0,0,1,1,1,1,True,64,64,2,2,8,1,57.9133,conv3d_implicit_t64x64_w2x2_g8,0.0,286.72,466.71
gfx950,256,1,384,3,48,70,384,3,3,3,1,1,1,0,0,0,1,1,1,1,True,32,32,1,2,8,1,93.3783,conv3d_implicit_t32x32_w1x2_g8,0.0,266.73,193.9
gfx950,256,1,384,3,48,70,32,3,3,3,1,1,1,0,0,0,1,1,1,1,True,32,32,1,2,1,1,84.8026,conv3d_implicit_t32x32_w1x2_g1,0.0,24.48,101.47
gfx950,256,1,16,3,48,70,384,3,3,3,1,1,1,0,0,0,1,1,1,1,True,64,64,2,2,1,1,16.6125,conv3d_implicit_t64x64_w2x2_g1,0.0,62.47,184.0
gfx950,256,1,384,1,92,136,192,1,3,3,1,1,1,0,1,1,1,1,1,1,True,64,64,2,2,8,1,51.3708,conv3d_implicit_t64x64_w2x2_g8,0.0,323.23,306.42
gfx950,256,2,384,1,92,136,192,1,3,3,1,1,1,0,1,1,1,1,1,1,True,192,64,4,1,8,1,91.7771,conv3d_implicit_t192x64_w4x1_g8,0.0,361.85,328.57
gfx950,256,1,384,1,184,272,192,1,3,3,1,1,1,0,1,1,1,1,1,1,True,128,192,4,1,1,1,115.5662,conv3d_implicit_t128x192_w4x1_g1,0.0,574.73,510.38
gfx950,256,4,384,1,184,272,192,1,3,3,1,1,1,0,1,1,1,1,1,1,True,128,192,2,2,1,1,408.0576,conv3d_implicit_t128x192_w2x2_g1,0.0,651.07,568.42
gfx950,256,1,192,1,368,544,96,1,3,3,1,1,1,0,1,1,1,1,1,1,True,96,96,3,2,1,1,155.8352,conv3d_implicit_t96x96_w3x2_g1,0.0,426.21,742.08
gfx950,256,4,192,1,368,544,96,1,3,3,1,1,1,0,1,1,1,1,1,1,True,96,96,2,3,1,1,613.2359,conv3d_implicit_t96x96_w2x3_g1,0.0,433.24,752.69
gfx950,256,1,96,6,370,546,3,3,3,3,1,1,1,0,0,0,1,1,1,1,True,64,32,2,1,1,1,458.0367,conv3d_implicit_t64x32_w2x1_g1,0.0,27.19,518.62
