cu_num,token,model_dim,inter_dim,expert,topk,act_type,dtype,q_dtype_a,q_dtype_w,q_type,use_g1u1,doweight_stage1,block_m,ksplit,us1,kernelName1,err1,us2,kernelName2,err2,us,run_1stage,gfx,xbf16,flat,tflops,bw,_tag
256,8,5120,640,384,6,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,16,-1,,flydsl_moe1_afp8_wfp4_bf16_t16x128x256_w4_gui,,,flydsl_moe2_afp8_wfp4_bf16_t16x256x128_atomic_bnt2,,,0,gfx950,0,0,,,
256,16,5120,640,384,6,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,16,-1,,flydsl_moe1_afp8_wfp4_bf16_t16x128x256_w3_gui,,,flydsl_moe2_afp8_wfp4_bf16_t16x128x128_atomic_bnt2,,,0,gfx950,0,0,,,
256,32,5120,640,384,6,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,-1,,flydsl_moe1_afp8_wfp4_bf16_t32x128x256_w4_gui,,,flydsl_moe2_afp8_wfp4_bf16_t32x256x128_atomic_bnt2,,,0,gfx950,0,0,,,
256,64,5120,640,384,6,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,16,-1,,flydsl_moe1_afp8_wfp4_bf16_t16x128x256_w3_gui,,,flydsl_moe2_afp8_wfp4_bf16_t16x256x128_atomic_bnt2,,,0,gfx950,0,0,,,
256,128,5120,640,384,6,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,16,-1,,flydsl_moe1_afp8_wfp4_bf16_t16x128x256_w3_gui,,,flydsl_moe2_afp8_wfp4_bf16_t16x128x128_atomic_bnt2,,,0,gfx950,0,0,,,
256,256,5120,640,384,6,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,16,-1,,flydsl_moe1_afp8_wfp4_bf16_t16x128x256_w4_gui,,,flydsl_moe2_afp8_wfp4_bf16_t16x128x128_atomic_bnt2,,,0,gfx950,0,0,,,
256,512,5120,640,384,6,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,16,-1,,flydsl_moe1_afp8_wfp4_bf16_t16x128x256_w4_gui,,,flydsl_moe2_afp8_wfp4_bf16_t16x128x128_atomic_bnt2,,,0,gfx950,0,0,,,
256,1024,5120,640,384,6,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,-1,,flydsl_moe1_afp8_wfp4_bf16_t32x128x256_w4_gui,,,flydsl_moe2_afp8_wfp4_bf16_t32x256x128_atomic_bnt2,,,0,gfx950,0,0,,,
256,8,5120,640,128,3,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,-1,,flydsl_moe1_afp8_wfp4_bf16_t32x128x256_w2_bnt0_gui,,,flydsl_moe2_afp8_wfp4_bf16_t32x128x128_atomic_bnt2,,,0,gfx950,0,0,,,
256,16,5120,640,128,3,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,-1,,flydsl_moe1_afp8_wfp4_bf16_t32x128x256_w2_bnt0_gui,,,flydsl_moe2_afp8_wfp4_bf16_t32x128x128_atomic_bnt2,,,0,gfx950,0,0,,,
