M,N,K
16,1024,2048
16,1024,3072
32,1024,2048
32,1024,3072
64,1024,2048
64,1024,3072
128,1024,2048
128,1024,3072
256,1024,2048
256,1024,3072
512,1024,2048
512,1024,3072
1024,1024,2048
1024,1024,3072
2048,1024,2048
2048,1024,3072
4096,1024,2048
4096,1024,3072
8192,1024,2048
8192,1024,3072
16384,1024,2048
16384,1024,3072
20480,1024,2048
20480,1024,3072
16,4096,1024
32,4096,1024
64,4096,1024
128,4096,1024
256,4096,1024
512,4096,1024
1024,4096,1024
2048,4096,1024
4096,4096,1024
8192,4096,1024
16384,4096,1024
20480,4096,1024
16,6144,1024
32,6144,1024
64,6144,1024
128,6144,1024
256,6144,1024
512,6144,1024
1024,6144,1024
2048,6144,1024
4096,6144,1024
8192,6144,1024
16384,6144,1024
20480,6144,1024
