arch,dtype,K,V,BT,H,Hg,is_varlen,use_h0,store_fs,snapshot_bf16,state_bf16,T_flat,N,total_chunks,max_seq_chunks,BV,us
gfx942,torch.bfloat16,128,128,64,16,8,True,True,True,False,False,40960,5,640,128,64,1024.2
gfx942,torch.bfloat16,128,128,64,16,8,True,True,True,False,False,49152,6,768,128,64,1519.3
gfx942,torch.bfloat16,128,128,64,16,8,True,True,True,False,False,57344,7,896,128,64,1534.3
gfx942,torch.bfloat16,128,128,64,16,8,True,True,True,False,False,65536,8,1024,128,64,2046.3
gfx942,torch.bfloat16,128,128,64,16,8,True,True,True,True,False,8192,1,128,128,32,303.8
gfx942,torch.bfloat16,128,128,64,16,8,True,True,True,True,False,16384,2,256,128,64,479.7
gfx942,torch.bfloat16,128,128,64,16,8,True,True,True,True,False,24576,3,384,128,64,930.3
gfx942,torch.bfloat16,128,128,64,16,8,True,True,True,True,False,32768,4,512,128,64,954.2
gfx942,torch.bfloat16,128,128,64,16,8,True,True,True,True,False,40960,5,640,128,64,968.2
gfx942,torch.bfloat16,128,128,64,16,8,True,True,True,True,False,49152,6,768,128,64,1409.9
gfx942,torch.bfloat16,128,128,64,16,8,True,True,True,True,False,57344,7,896,128,64,1425.4
gfx942,torch.bfloat16,128,128,64,16,8,True,True,True,True,False,65536,8,1024,128,64,1924.4
gfx942,torch.bfloat16,128,128,64,32,16,False,True,False,False,False,2500,1,40,40,64,154.8
gfx942,torch.bfloat16,128,128,64,32,16,False,True,False,False,False,60000,1,938,938,64,3668.4
gfx942,torch.bfloat16,128,128,64,32,16,False,True,False,False,False,128000,1,2000,2000,64,7811.2
gfx942,torch.bfloat16,128,128,64,32,16,False,True,False,True,False,2500,1,40,40,64,145.2
gfx942,torch.bfloat16,128,128,64,32,16,False,True,False,True,False,60000,1,938,938,64,3339.1
gfx942,torch.bfloat16,128,128,64,32,16,False,True,False,True,False,128000,1,2000,2000,64,7139.3
gfx942,torch.bfloat16,128,128,64,32,16,True,True,True,False,False,8192,1,128,128,64,514.7
gfx942,torch.bfloat16,128,128,64,32,16,True,True,True,False,False,16384,2,256,128,64,1015.3
gfx942,torch.bfloat16,128,128,64,32,16,True,True,True,False,False,24576,3,384,128,64,1524.0
gfx942,torch.bfloat16,128,128,64,32,16,True,True,True,False,False,32768,4,512,128,64,2019.5
gfx942,torch.bfloat16,128,128,64,32,16,True,True,True,False,False,40960,5,640,128,64,2053.9
gfx942,torch.bfloat16,128,128,64,32,16,True,True,True,False,False,49152,6,768,128,64,2546.3
gfx942,torch.bfloat16,128,128,64,32,16,True,True,True,False,False,57344,7,896,128,64,3049.4
gfx942,torch.bfloat16,128,128,64,32,16,True,True,True,False,False,65536,8,1024,128,64,3596.2
gfx942,torch.bfloat16,128,128,64,32,16,True,True,True,True,False,100,1,2,2,16,160.1
gfx942,torch.bfloat16,128,128,64,32,16,True,True,True,True,False,200,1,4,4,64,158.3
gfx942,torch.bfloat16,128,128,64,32,16,True,True,True,True,False,300,1,5,5,64,161.4
gfx942,torch.bfloat16,128,128,64,32,16,True,True,True,True,False,5000,1,79,79,64,284.6
gfx942,torch.bfloat16,128,128,64,32,16,True,True,True,True,False,8192,1,128,128,64,480.3
gfx942,torch.bfloat16,128,128,64,32,16,True,True,True,True,False,10000,1,157,157,64,580.3
gfx942,torch.bfloat16,128,128,64,32,16,True,True,True,True,False,16384,2,256,128,64,949.1
gfx942,torch.bfloat16,128,128,64,32,16,True,True,True,True,False,16384,2,257,155,64,950.9
gfx942,torch.bfloat16,128,128,64,32,16,True,True,True,True,False,16384,3,257,157,64,955.5
gfx942,torch.bfloat16,128,128,64,32,16,True,True,True,True,False,16384,2,257,194,64,951.4
gfx942,torch.bfloat16,128,128,64,32,16,True,True,True,True,False,16384,3,258,157,64,908.6
gfx942,torch.bfloat16,128,128,64,32,16,True,True,True,True,False,24576,3,384,128,64,1414.5
gfx942,torch.bfloat16,128,128,64,32,16,True,True,True,True,False,32768,4,512,128,64,1908.4
gfx942,torch.bfloat16,128,128,64,32,16,True,True,True,True,False,32768,4,515,157,64,1753.1
gfx942,torch.bfloat16,128,128,64,32,16,True,True,True,True,False,32768,7,518,79,64,1666.9
gfx942,torch.bfloat16,128,128,64,32,16,True,True,True,True,False,32768,33,524,16,64,1770.3
gfx942,torch.bfloat16,128,128,64,32,16,True,True,True,True,False,40960,5,640,128,64,1916.8
gfx942,torch.bfloat16,128,128,64,32,16,True,True,True,True,False,49152,6,768,128,64,2374.2
gfx942,torch.bfloat16,128,128,64,32,16,True,True,True,True,False,57344,7,896,128,64,2851.2
gfx942,torch.bfloat16,128,128,64,32,16,True,True,True,True,False,65536,8,1024,128,64,3399.4
