gfx,cu_num,token,model_dim,inter_dim,expert,topk,act_type,dtype,q_dtype_a,q_dtype_w,q_type,use_g1u1,doweight_stage1,block_m,ksplit,us1,kernelName1,err1,us2,kernelName2,err2,us,run_1stage,tflops,bw,_tag
gfx950,128,1,4096,256,128,8,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,8.1907,flydsl_moe1_afp4_wfp4_bf16_t32x32x256_w2_bnt0_kw4_fp4,0.9%,5.8286,flydsl_moe2_layout_afp4_wfp4_bf16_t32x128x256_atomic_nt_sbm32,1.2%,14.0193,0,3.59,28722.22,
gfx950,128,2,4096,256,128,8,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,10.2266,flydsl_moe1_afp4_wfp4_bf16_t32x32x256_w4_bnt0_xcd4_kw4_fp4,0.9%,7.499,flydsl_moe2_layout_afp4_wfp4_bf16_t32x128x128_atomic_sbm32,1.1%,17.7256,0,5.68,22717.3,
gfx950,128,4,4096,256,128,8,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,15.1532,flydsl_moe1_afp4_wfp4_bf16_t32x32x256_w3_kw4_fp4,0.9%,10.4671,flydsl_moe2_layout_afp4_wfp4_bf16_t32x128x128_atomic_sbm32,1.2%,25.6203,0,7.86,15718.1,
gfx950,128,8,4096,256,128,8,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,24.9648,flydsl_moe1_afp4_wfp4_bf16_t32x64x256_w2_fp4,0.9%,16.8379,flydsl_moe2_layout_afp4_wfp4_bf16_t32x128x128_reduce_nt_sbm32,1.1%,41.8027,0,9.63,9634.58,
gfx950,128,16,4096,256,128,8,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,44.5197,flydsl_moe1_afp4_wfp4_bf16_t32x128x256_w4_xcd4_fp4,0.9%,26.4648,flydsl_moe2_layout_afp4_wfp4_bf16_t32x128x128_reduce_nt_sbm32,1.2%,70.9845,0,11.34,5675.18,
gfx950,128,32,4096,256,128,8,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,45.1909,flydsl_moe1_afp4_wfp4_bf16_t32x128x256_w4_fp4,0.9%,26.7586,flydsl_moe2_layout_afp4_wfp4_bf16_t32x128x128_reduce_nt_sbm32,1.2%,71.9495,0,22.39,5601.8,
gfx950,128,64,4096,256,128,8,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,45.4559,flydsl_moe1_afp4_wfp4_bf16_t32x128x256_w2_fp4,0.9%,28.0761,flydsl_moe2_layout_afp4_wfp4_bf16_t32x128x128_reduce_nt_sbm32,1.1%,73.532,0,43.81,5486.59,
gfx950,128,128,4096,256,128,8,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,45.5239,flydsl_moe1_afp4_wfp4_bf16_t32x128x256_w3_fp4,0.9%,29.9687,flydsl_moe2_layout_afp4_wfp4_bf16_t32x128x128_atomic_nt_sbm32,1.1%,75.4926,0,85.34,5354.51,
gfx950,128,256,4096,256,128,8,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,45.9873,flydsl_moe1_afp4_wfp4_bf16_t32x128x256_w4_fp4,0.9%,35.6881,flydsl_moe2_layout_afp4_wfp4_bf16_t32x128x128_reduce_persist_sbm32,1.1%,81.6754,0,157.76,4968.43,
gfx950,128,512,4096,256,128,8,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,46.5755,flydsl_moe1_afp4_wfp4_bf16_t32x128x256_w3_fp4,0.9%,43.62,flydsl_moe2_layout_afp4_wfp4_bf16_t32x256x256_reduce_nt_sbm32,1.1%,90.1955,0,285.71,4533.98,
gfx950,128,1024,4096,256,128,8,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,64,0,49.5559,flydsl_moe1_afp4_wfp4_bf16_t64x128x256_w2_fp4,0.9%,61.8124,flydsl_moe2_layout_afp4_wfp4_bf16_t32x256x256_reduce_sbm64,1.1%,111.3683,0,462.79,3728.49,
gfx950,128,2048,4096,256,128,8,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,128,0,61.852,flydsl_moe1_afp4_wfp4_bf16_t128x128x256_w2_fp4,0.9%,115.7442,flydsl_moe2_layout_afp4_wfp4_bf16_t64x256x128_reduce_nt_sbm128,1.1%,177.5962,0,580.41,2408.94,
gfx950,128,4096,4096,256,128,8,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,64,0,101.0991,flydsl_moe1_afp4_wfp4_bf16_t64x128x256_w3_bnt0_fp4,0.9%,281.8621,flydsl_moe2_layout_afp4_wfp4_bf16_t64x256x128_reduce_sbm64,1.1%,382.9612,0,538.33,1182.85,
gfx950,128,8192,4096,256,128,8,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,64,0,179.1483,flydsl_moe1_afp4_wfp4_bf16_t64x128x256_w2_bnt0_fp4,0.9%,568.1801,flydsl_moe2_layout_afp4_wfp4_bf16_t64x256x128_reduce_sbm64,1.1%,747.3284,0,551.72,673.49,
gfx950,128,16384,4096,256,128,8,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,64,0,349.3085,flydsl_moe1_afp4_wfp4_bf16_t64x128x256_w2_bnt0_fp4,0.9%,1077.9478,flydsl_moe2_layout_afp4_wfp4_bf16_t64x256x128_reduce_sbm64,1.1%,1427.2563,0,577.78,423.18,
