gfx,cu_num,M,N,K,kernelId,splitK,us,kernelName,tflops,bw,errRatio
gfx950,128,4096,2304,4096,43,0,48.46,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_128x256E,0.0,0.0,0.0
gfx950,128,4096,4096,1024,24,0,28.05,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E,0.0,0.0,0.0
gfx950,128,4096,4096,2048,24,0,39.15,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E,0.0,0.0,0.0
gfx950,128,4096,4096,4096,24,0,61.18,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E,0.0,0.0,0.0
gfx950,128,4096,4096,8192,24,0,105.3,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E,0.0,0.0,0.0
gfx950,128,4096,4608,2048,44,0,57.1729,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_128x384E,1352.2,816.15,0.0
gfx950,128,4096,4608,4096,43,0,80.5,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_128x256E,0.0,0.0,0.0
gfx950,128,4096,9216,4096,24,0,140.97,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E,0.0,0.0,0.0
gfx950,128,4097,4096,2048,54,0,50.9508,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E,1349.07,823.39,0.0
gfx950,128,4097,4608,2048,54,0,56.6266,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E,1365.58,824.2,0.0
gfx950,128,8192,1280,4096,44,0,51.8271,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_128x384E,1657.42,778.94,0.0
gfx950,128,8192,2304,4096,44,0,82.7606,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_128x384E,1868.27,715.85,0.0
gfx950,128,8192,4096,1024,54,0,56.6585,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E,1212.87,1295.49,0.0
gfx950,128,8192,4096,2048,54,0,78.5277,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E,1750.2,1014.82,0.0
gfx950,128,8192,4096,4096,24,0,118.43,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E,0.0,0.0,0.0
gfx950,128,8192,4096,8192,54,0,216.7545,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E,2536.31,541.81,0.0
gfx950,128,8192,4608,2048,54,0,96.2748,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E,1606.02,920.33,0.0
gfx950,128,8192,4608,4096,24,0,142.15,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E,0.0,0.0,0.0
gfx950,128,8192,9216,4096,54,0,280.1666,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E,2207.53,666.2,0.0
gfx950,128,16384,1280,4096,54,0,88.638,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E,1938.21,881.33,0.0
gfx950,128,16384,2304,4096,54,0,150.4101,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E,2055.96,756.4,0.0
gfx950,128,16384,4096,1024,54,0,110.3744,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E,1245.21,1311.02,0.0
