gfx,cu_num,token,model_dim,inter_dim,expert,topk,act_type,dtype,q_dtype_a,q_dtype_w,q_type,use_g1u1,doweight_stage1,block_m,ksplit,us1,kernelName1,err1,us2,kernelName2,err2,us,run_1stage,xbf16,flat,tflops,bw,nt
gfx942,304,1,5120,768,384,6,ActivationType.Silu,torch.bfloat16,torch.bfloat16,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,16,0,25.0149,flydsl_moe1_abf16_wfp4_bf16_t16x32x256_xcd1_kw4,0.0%,14.1885,flydsl_moe2_abf16_wfp4_bf16_t16x128x256_atomic_bnt2_persist,1.2%,39.2034,0,0,0,3.61,115547.86,0
gfx942,304,2,5120,768,384,6,ActivationType.Silu,torch.bfloat16,torch.bfloat16,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,16,0,26.2459,flydsl_moe1_abf16_wfp4_bf16_t16x32x128_w2_xcd1_kw4,0.0%,18.4849,flydsl_moe2_abf16_wfp4_bf16_t16x128x256_atomic_bnt2,1.6%,44.7308,0,0,0,6.33,101270.03,0
gfx942,304,4,5120,768,384,6,ActivationType.Silu,torch.bfloat16,torch.bfloat16,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,16,0,44.0858,flydsl_moe1_abf16_wfp4_bf16_t16x32x128_w3_bnt0_xcd1_kw2,0.0%,28.533,flydsl_moe2_abf16_wfp4_bf16_t16x256x128_atomic_bnt2,1.7%,72.6188,0,0,0,7.8,62379.58,0
gfx942,304,8,5120,768,384,6,ActivationType.Silu,torch.bfloat16,torch.bfloat16,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,16,0,79.0721,flydsl_moe1_abf16_wfp4_bf16_t16x64x128_xcd4,0.0%,41.0525,flydsl_moe2_abf16_wfp4_bf16_t16x256x128_atomic_bnt2_xcd4_persist,1.8%,120.1246,0,0,0,9.43,37710.94,0
gfx942,304,16,5120,768,384,6,ActivationType.Silu,torch.bfloat16,torch.bfloat16,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,16,0,139.6097,flydsl_moe1_abf16_wfp4_bf16_t16x32x128_w2_xcd4_kw2,0.0%,66.6019,flydsl_moe2_abf16_wfp4_bf16_t16x128x128_atomic_xcd4_persist,1.7%,206.2116,0,0,0,10.98,21968.58,0
gfx942,304,32,5120,768,384,6,ActivationType.Silu,torch.bfloat16,torch.bfloat16,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,16,0,244.2357,flydsl_moe1_abf16_wfp4_bf16_t16x64x128_w3_bnt0_xcd1,0.0%,117.8026,flydsl_moe2_abf16_wfp4_bf16_t16x128x256_atomic_bnt2,1.7%,362.0383,0,0,0,12.51,12513.88,0
gfx942,304,64,5120,768,384,6,ActivationType.Silu,torch.bfloat16,torch.bfloat16,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,16,0,382.1094,flydsl_moe1_abf16_wfp4_bf16_t16x64x128_w3_xcd1,0.0%,189.855,flydsl_moe2_abf16_wfp4_bf16_t16x128x256_atomic_persist,1.7%,571.9644,0,0,0,15.84,7922.1,0
gfx942,304,128,5120,768,384,6,ActivationType.Silu,torch.bfloat16,torch.bfloat16,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,16,0,490.3523,flydsl_moe1_abf16_wfp4_bf16_t16x128x128_w3_xcd1,0.0%,252.5723,flydsl_moe2_abf16_wfp4_bf16_t16x128x256_atomic_xcd4,1.7%,742.9246,0,0,0,24.39,6100.85,0
gfx942,304,256,5120,768,384,6,ActivationType.Silu,torch.bfloat16,torch.bfloat16,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,16,0,548.7405,flydsl_moe1_abf16_wfp4_bf16_t16x64x128_xcd4,0.0%,281.8912,flydsl_moe2_abf16_wfp4_bf16_t16x128x256_atomic_bnt2_persist,1.7%,830.6317,0,0,0,43.63,5459.81,0
gfx942,304,512,5120,768,384,6,ActivationType.Silu,torch.bfloat16,torch.bfloat16,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,16,0,579.2082,flydsl_moe1_abf16_wfp4_bf16_t16x128x128_w3_xcd1,0.0%,294.3174,flydsl_moe2_abf16_wfp4_bf16_t16x128x128_atomic_persist,1.8%,873.5256,0,0,0,82.97,5197.71,0
gfx942,304,1024,5120,768,384,6,ActivationType.Silu,torch.bfloat16,torch.bfloat16,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,670.9882,flydsl_moe1_abf16_wfp4_bf16_t32x128x128_w3_xcd1,0.0%,391.1483,flydsl_moe2_abf16_wfp4_bf16_t32x128x256_atomic_bnt2,1.7%,1062.1365,0,0,0,136.48,4284.59,0
gfx942,304,2048,5120,768,384,6,ActivationType.Silu,torch.bfloat16,torch.bfloat16,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,956.1524,flydsl_moe1_abf16_wfp4_bf16_t32x256x128_bnt0_xcd1,0.0%,550.6391,flydsl_moe2_abf16_wfp4_bf16_t32x128x256_atomic,1.7%,1506.7915,0,0,0,192.4,3034.12,0
gfx942,304,4096,5120,768,384,6,ActivationType.Silu,torch.bfloat16,torch.bfloat16,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,1429.6102,flydsl_moe1_abf16_wfp4_bf16_t32x128x128_w4_bnt0_xcd1,0.0%,908.7954,flydsl_moe2_abf16_wfp4_bf16_t32x128x256_atomic,1.7%,2338.4056,0,0,0,247.96,1973.03,0
