gfx,cu_num,token,model_dim,inter_dim,expert,topk,act_type,dtype,q_dtype_a,q_dtype_w,q_type,use_g1u1,doweight_stage1,block_m,ksplit,us1,kernelName1,err1,us2,kernelName2,err2,us,run_1stage,xbf16,flat,tflops,bw
gfx950,256,1,7168,384,384,6,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,16,0,20.9168,flydsl_mxmoe_g1_a4w4_16x128x256_f16in_hpf_nt,1.1%,0.0,flydsl_moe2_layout_afp4_wfp4_bf16_t16x128x128_atomic_sbm16,1.1%,20.9168,0,0,0,4.74,151596.58
gfx950,256,2,7168,384,384,6,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,16,0,22.0095,flydsl_mxmoe_g1_a4w4_16x128x256_f16in_hpf_nt,1.1%,0.0,flydsl_moe2_layout_afp4_wfp4_bf16_t16x128x128_atomic_sbm16,1.1%,22.0095,0,0,0,9.0,144071.28
gfx950,256,4,7168,384,384,6,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,16,0,26.3147,flydsl_mxmoe_g1_a4w4_16x128x256_f16in_hpf_nt,1.3%,0.0,flydsl_moe2_layout_afp4_wfp4_bf16_t16x256x128_atomic_sbm16,1.3%,26.3147,0,0,0,15.06,120502.22
gfx950,256,8,7168,384,384,6,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,16,0,40.1622,flydsl_mxmoe_g1_a4w4_16x256x256_f16in_hpf_nt,1.2%,0.0,flydsl_moe2_layout_afp4_wfp4_bf16_t16x128x128_atomic_nt_sbm16,1.2%,40.1622,0,0,0,19.74,78956.48
gfx950,256,16,7168,384,384,6,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,16,0,62.5261,flydsl_mxmoe_g1_a4w4_16x128x256_f16in_hpf_nt_xcd2,1.2%,0.0,flydsl_moe2_layout_afp4_wfp4_bf16_t16x128x128_atomic_sbm16,1.2%,62.5261,0,0,0,25.36,50718.63
gfx950,256,32,7168,384,384,6,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,16,0,103.4019,flydsl_mxmoe_g1_a4w4_16x256x256_f16in_hpf_nt_xcd4,1.2%,0.0,flydsl_moe2_layout_afp4_wfp4_bf16_t16x128x128_atomic_nt_sbm16,1.2%,103.4019,0,0,0,30.67,30672.38
gfx950,256,64,7168,384,384,6,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,16,0,164.4664,flydsl_mxmoe_g1_a4w4_16x256x256_f16in_nt_xcd2,1.2%,0.0,flydsl_moe2_layout_afp4_wfp4_bf16_t16x128x128_atomic_nt_sbm16,1.2%,164.4664,0,0,0,38.56,19288.26
gfx950,256,128,7168,384,384,6,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,16,0,226.1652,flydsl_mxmoe_g1_a4w4_16x128x256_f16in_hpf_nt_xcd2,1.2%,0.0,flydsl_moe2_layout_afp4_wfp4_bf16_t16x128x128_atomic_nt_sbm16,1.2%,226.1652,0,0,0,56.08,14032.43
gfx950,256,256,7168,384,384,6,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,16,0,254.1534,flydsl_mxmoe_g1_a4w4_16x128x256_f16in_hpf_nt_xcd4,1.2%,0.0,flydsl_moe2_layout_afp4_wfp4_bf16_t16x128x128_atomic_nt_sbm16,1.2%,254.1534,0,0,0,99.81,12497.96
gfx950,256,512,7168,384,384,6,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,16,0,273.6698,flydsl_mxmoe_g1_a4w4_16x128x256_f16in_nt_xcd4,1.2%,0.0,flydsl_moe2_layout_afp4_wfp4_bf16_t16x128x128_atomic_nt_sbm16,1.2%,273.6698,0,0,0,185.39,11626.8
