M,N,K
5737, 14336, 5120
7169, 5120, 6144
7169, 5120, 17408
7169, 34816, 5120
7169, 16384, 5120
7169, 14336, 5120
8192, 5120, 6144
8192, 5120, 17408
8192, 34816, 5120
8192, 16384, 5120
8192, 14336, 5120
8208, 5120, 6144
8208, 5120, 17408
8208, 34816, 5120
8208, 16384, 5120
8208, 14336, 5120
8240, 5120, 6144
8240, 5120, 17408
8240, 34816, 5120
8240, 16384, 5120
8240, 14336, 5120
8243, 5120, 6144
8243, 5120, 17408
8243, 34816, 5120
8243, 16384, 5120
8243, 14336, 5120
8248, 5120, 6144
8248, 5120, 17408
8248, 34816, 5120
8248, 16384, 5120
8248, 14336, 5120
8296, 5120, 6144
8296, 5120, 17408
8296, 34816, 5120
8296, 16384, 5120
8296, 14336, 5120
8304, 5120, 6144
8304, 5120, 17408
8304, 34816, 5120
8304, 16384, 5120
8304, 14336, 5120
8312, 5120, 6144
8312, 5120, 17408
8312, 34816, 5120
8312, 16384, 5120
8312, 14336, 5120
8455, 5120, 6144
8455, 5120, 17408
8455, 34816, 5120
8455, 16384, 5120
8455, 14336, 5120
14448, 5120, 6144
14448, 5120, 17408
14448, 34816, 5120
14448, 16384, 5120
14448, 14336, 5120
14451, 5120, 6144
14451, 5120, 17408
14451, 34816, 5120
14451, 16384, 5120
14451, 14336, 5120
15361, 5120, 6144
15361, 5120, 17408
15361, 34816, 5120
15361, 16384, 5120
15361, 14336, 5120
16384, 5120, 6144
16384, 5120, 17408
16384, 34816, 5120
16384, 16384, 5120
16384, 14336, 5120
16449, 5120, 6144
16449, 5120, 17408
16449, 34816, 5120
16449, 16384, 5120
16449, 14336, 5120
16612, 5120, 6144
16612, 5120, 17408
16612, 34816, 5120
16612, 16384, 5120
16612, 14336, 5120
16631, 5120, 6144
16631, 5120, 17408
16631, 34816, 5120
16631, 16384, 5120
16631, 14336, 5120
24577, 5120, 6144
24577, 5120, 17408
24577, 34816, 5120
24577, 16384, 5120
24577, 14336, 5120
24813, 5120, 6144
24813, 5120, 17408
24813, 34816, 5120
24813, 16384, 5120
24813, 14336, 5120
31666, 5120, 6144
31666, 5120, 17408
31666, 34816, 5120
31666, 16384, 5120
31666, 14336, 5120
31745, 5120, 6144
31745, 5120, 17408
31745, 34816, 5120
31745, 16384, 5120
31745, 14336, 5120
31841, 5120, 6144
31841, 5120, 17408
31841, 34816, 5120
31841, 16384, 5120
31841, 14336, 5120
32833, 5120, 6144
32833, 5120, 17408
32833, 34816, 5120
32833, 16384, 5120
32833, 14336, 5120
33000, 5120, 6144
33000, 5120, 17408
33000, 34816, 5120
33000, 16384, 5120
33000, 14336, 5120
39966, 5120, 6144
39966, 5120, 17408
39966, 34816, 5120
39966, 16384, 5120
39966, 14336, 5120
46284, 5120, 6144
46284, 5120, 17408
46284, 34816, 5120
46284, 16384, 5120
46284, 14336, 5120
47797, 5120, 6144
47797, 5120, 17408
47797, 34816, 5120
47797, 16384, 5120
47797, 14336, 5120
47855, 5120, 6144
47855, 5120, 17408
47855, 34816, 5120
47855, 16384, 5120
47855, 14336, 5120
48140, 5120, 6144
48140, 5120, 17408
48140, 34816, 5120
48140, 16384, 5120
48140, 14336, 5120
48157, 5120, 6144
48157, 5120, 17408
48157, 34816, 5120
48157, 16384, 5120
48157, 14336, 5120
48164, 5120, 6144
48164, 5120, 17408
48164, 34816, 5120
48164, 16384, 5120
48164, 14336, 5120
48172, 5120, 6144
48172, 5120, 17408
48172, 34816, 5120
48172, 16384, 5120
48172, 14336, 5120
48561, 5120, 6144
48561, 5120, 17408
48561, 34816, 5120
48561, 16384, 5120
48561, 14336, 5120
48934, 5120, 6144
48934, 5120, 17408
48934, 34816, 5120
48934, 16384, 5120
48934, 14336, 5120
51201, 5120, 6144
51201, 5120, 17408
51201, 34816, 5120
51201, 16384, 5120
51201, 14336, 5120
51624, 5120, 6144
51624, 5120, 17408
51624, 34816, 5120
51624, 16384, 5120
51624, 14336, 5120
52569, 5120, 6144
52569, 5120, 17408
52569, 34816, 5120
52569, 16384, 5120
52569, 14336, 5120
53153, 5120, 6144
53153, 5120, 17408
53153, 34816, 5120
53153, 16384, 5120
53153, 14336, 5120
57345, 5120, 6144
57345, 5120, 17408
57345, 34816, 5120
57345, 16384, 5120
57345, 14336, 5120
