arch,dtype,K,V,BT,H,Hg,is_varlen,use_h0,store_fs
gfx942,torch.bfloat16,128,128,64,64,16,False,True,False
gfx942,torch.bfloat16,128,128,64,32,8,False,True,False
gfx942,torch.bfloat16,128,128,64,16,4,False,True,False
gfx942,torch.bfloat16,128,128,64,8,2,False,True,False
gfx942,torch.bfloat16,128,128,64,64,16,True,True,True
gfx942,torch.bfloat16,128,128,64,32,8,True,True,True
gfx942,torch.bfloat16,128,128,64,16,4,True,True,True
gfx942,torch.bfloat16,128,128,64,8,2,True,True,True
