M,N,K,q_dtype_w
320,6144,1536,torch.float8_e4m3fnuz
384,6144,1536,torch.float8_e4m3fnuz
512,6144,1536,torch.float8_e4m3fnuz
768,6144,1536,torch.float8_e4m3fnuz
1024,6144,1536,torch.float8_e4m3fnuz
1536,6144,1536,torch.float8_e4m3fnuz
2048,6144,1536,torch.float8_e4m3fnuz
3072,6144,1536,torch.float8_e4m3fnuz
4096,6144,1536,torch.float8_e4m3fnuz
8192,6144,1536,torch.float8_e4m3fnuz
16384,6144,1536,torch.float8_e4m3fnuz
32768,6144,1536,torch.float8_e4m3fnuz
65536,6144,1536,torch.float8_e4m3fnuz
1,6144,384,torch.float8_e4m3fnuz
2,6144,384,torch.float8_e4m3fnuz
4,6144,384,torch.float8_e4m3fnuz
8,6144,384,torch.float8_e4m3fnuz
16,6144,384,torch.float8_e4m3fnuz
32,6144,384,torch.float8_e4m3fnuz
64,6144,384,torch.float8_e4m3fnuz
96,6144,384,torch.float8_e4m3fnuz
128,6144,384,torch.float8_e4m3fnuz
160,6144,384,torch.float8_e4m3fnuz
192,6144,384,torch.float8_e4m3fnuz
256,6144,384,torch.float8_e4m3fnuz
320,6144,384,torch.float8_e4m3fnuz
384,6144,384,torch.float8_e4m3fnuz
512,6144,384,torch.float8_e4m3fnuz
768,6144,384,torch.float8_e4m3fnuz
1024,6144,384,torch.float8_e4m3fnuz
1536,6144,384,torch.float8_e4m3fnuz
2048,6144,384,torch.float8_e4m3fnuz
3072,6144,384,torch.float8_e4m3fnuz
4096,6144,384,torch.float8_e4m3fnuz
8192,6144,384,torch.float8_e4m3fnuz
16384,6144,384,torch.float8_e4m3fnuz
32768,6144,384,torch.float8_e4m3fnuz
65536,6144,384,torch.float8_e4m3fnuz
