gfx,cu_num,M,N,K,libtype,kernelId,splitK,us,kernelName,tflops,bw,errRatio
gfx942,304,224,5120,6144,ck,12,0,33.3653,a8w8_blockscale_1x128x128_256x32x128x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,422.38,1052.81,0.0
gfx942,304,232,5120,6144,ck,2,0,36.4929,a8w8_blockscale_1x128x128_256x64x128x128_16x16_32x32_1x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,399.97,966.17,0.0
gfx942,304,240,5120,6144,ck,2,0,37.1046,a8w8_blockscale_1x128x128_256x64x128x128_16x16_32x32_1x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,406.94,953.78,0.0
gfx942,304,248,5120,6144,ck,3,0,45.1121,a8w8_blockscale_1x128x128_256x64x64x128_16x16_32x32_1x1_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,345.87,787.38,0.0
gfx942,304,256,5120,6144,ck,17,0,36.2965,a8w8_blockscale_1x128x128_256x64x128x256_16x16_32x32_2x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,443.74,982.23,0.0
gfx942,304,272,5120,6144,ck,17,0,40.788,a8w8_blockscale_1x128x128_256x64x128x256_16x16_32x32_2x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,419.55,880.5,0.0
gfx942,304,288,5120,6144,ck,2,0,40.8848,a8w8_blockscale_1x128x128_256x64x128x128_16x16_32x32_1x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,443.18,884.82,0.0
gfx942,304,304,5120,6144,ck,2,0,41.6032,a8w8_blockscale_1x128x128_256x64x128x128_16x16_32x32_1x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,459.73,875.85,0.0
gfx942,304,320,5120,6144,ck,17,0,41.7952,a8w8_blockscale_1x128x128_256x64x128x256_16x16_32x32_2x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,481.7,878.1,0.0
gfx942,304,336,5120,6144,ck,2,0,42.6315,a8w8_blockscale_1x128x128_256x64x128x128_16x16_32x32_1x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,495.86,867.02,0.0
