gfx,cu_num,M,N,K,q_dtype_w,libtype,kernelId,splitK,us,kernelName,tflops,bw,errRatio
gfx950,256,1,2688,6144,torch.float8_e4m3fn,flydsl,617,0,9.9238,flydsl_bpreshuflle_16x64x512_F8_F8_B16_1x2x0x2_default,3.33,1665.35,0.0
gfx950,256,2,2688,6144,torch.float8_e4m3fn,flydsl,1059,0,10.0257,flydsl_bpreshuflle_16x64x512_F8_F8_B16_1x4x0x2_default,6.59,1649.57,0.0
gfx950,256,4,2688,6144,torch.float8_e4m3fn,flydsl,1059,0,10.025,flydsl_bpreshuflle_16x64x512_F8_F8_B16_1x4x0x2_default,13.18,1651.99,0.0
gfx950,256,8,2688,6144,torch.float8_e4m3fn,flydsl,125,0,10.2866,flydsl_bpreshuflle_16x64x512_F8_F8_B16_1x0x0x2_default,25.69,1614.45,0.0
gfx950,256,16,2688,6144,torch.float8_e4m3fn,ck,10,0,10.6641,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v1,49.56,1565.94,0.0
gfx950,256,32,2688,6144,torch.float8_e4m3fn,ck,8,0,10.4622,a8w8_bpreshuffle_128x32x16x512_16x16_16x16_32x4x1_32x4x1_1x32x1x4_4x4x1_1x1_intrawave_v1,101.03,1613.78,0.0
gfx950,256,48,2688,6144,torch.float8_e4m3fn,ck,10,0,10.6112,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v1,149.41,1608.49,0.0
gfx950,256,64,2688,6144,torch.float8_e4m3fn,ck,11,0,10.9261,a8w8_bpreshuffle_256x16x64x512_16x16_16x16_32x8x1_32x8x1_1x16x1x16_4x4x1_1x1_intrawave_v1,193.48,1579.0,0.0
gfx950,256,96,2688,6144,torch.float8_e4m3fn,flydsl,677,0,10.9196,flydsl_bpreshuflle_16x64x512_F8_F8_B16_1x2x4x2_default,290.39,1613.7,0.0
gfx950,256,128,2688,6144,torch.float8_e4m3fn,flydsl,72,0,12.063,flydsl_bpreshuflle_32x64x512_F8_F8_B16_0x0x4x2_default,350.48,1491.31,0.0
gfx950,256,192,2688,6144,torch.float8_e4m3fn,flydsl,1228,0,12.3228,flydsl_bpreshuflle_32x64x512_F8_F8_B16_0x0x4x1_default,514.64,1519.7,0.0
gfx950,256,256,2688,6144,torch.float8_e4m3fn,flydsl,686,0,15.0285,flydsl_bpreshuflle_32x64x512_F8_F8_B16_1x2x4x2_default,562.65,1295.15,0.0
gfx950,256,384,2688,6144,torch.float8_e4m3fn,flydsl,198,0,18.4606,flydsl_bpreshuflle_32x128x256_F8_F8_B16_1x0x4x2_default,687.06,1134.24,0.0
gfx950,256,512,2688,6144,torch.float8_e4m3fn,flydsl,456,0,22.1357,flydsl_bpreshuflle_64x64x256_F8_F8_B16_1x1x4x2_default,763.99,1012.54,0.0
gfx950,256,768,2688,6144,torch.float8_e4m3fn,flydsl,210,0,24.2345,flydsl_bpreshuflle_64x128x256_F8_F8_B16_1x0x4x2_default,1046.74,1046.54,0.0
gfx950,256,1024,2688,6144,torch.float8_e4m3fn,flydsl,702,0,30.6549,flydsl_bpreshuflle_64x192x256_F8_F8_B16_1x2x4x2_default,1103.34,923.56,0.0
gfx950,256,2048,2688,6144,torch.float8_e4m3fn,ck,149,0,48.2779,a8w8_bpreshuffle_256x128x192x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8x8x1_2x1_intrawave_v3,1401.17,830.77,0.0
gfx950,256,4096,2688,6144,torch.float8_e4m3fn,flydsl,1000028,0,79.2879,flydsl_bpreshuffle_8w_256x256x128_F8_F8_B16_2x4,1706.33,803.41,0.0
gfx950,256,8192,2688,6144,torch.float8_e4m3fn,ck,35,0,153.9071,a8w8_bpreshuffle_256x256x192x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8x8x1_2x1_intrawave_v3,1758.09,720.48,0.0
gfx950,256,16384,2688,6144,torch.float8_e4m3fn,flydsl,1000029,0,262.5317,flydsl_bpreshuffle_8w_256x256x128_F8_F8_B16_2x8,2061.34,781.84,0.0
gfx950,256,32768,2688,6144,torch.float8_e4m3fn,flydsl,1000032,0,522.4829,flydsl_bpreshuffle_8w_256x256x128_F8_F8_B16_3x8,2071.52,754.1,0.0
gfx950,256,1,6144,12288,torch.float8_e4m3fn,flydsl,617,0,19.2699,flydsl_bpreshuflle_16x64x512_F8_F8_B16_1x2x0x2_default,7.84,3919.17,0.0
gfx950,256,2,6144,12288,torch.float8_e4m3fn,flydsl,1059,0,19.3878,flydsl_bpreshuflle_16x64x512_F8_F8_B16_1x4x0x2_default,15.58,3896.61,0.0
gfx950,256,4,6144,12288,torch.float8_e4m3fn,flydsl,373,0,19.572,flydsl_bpreshuflle_16x64x512_F8_F8_B16_1x1x0x2_default,30.86,3862.45,0.0
gfx950,256,8,6144,12288,torch.float8_e4m3fn,flydsl,617,0,20.1101,flydsl_bpreshuflle_16x64x512_F8_F8_B16_1x2x0x2_default,60.07,3763.98,0.0
gfx950,256,16,6144,12288,torch.float8_e4m3fn,ck,10,0,18.6665,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v1,129.43,4065.61,0.0
gfx950,256,32,6144,12288,torch.float8_e4m3fn,ck,5,0,21.2956,a8w8_bpreshuffle_256x16x64x512_16x16_16x16_32x8x1_32x8x1_1x16x1x16_4x4x1_1x1_intrawave_v1,226.89,3582.14,0.0
gfx950,256,48,6144,12288,torch.float8_e4m3fn,flydsl,1949,0,23.5851,flydsl_bpreshuflle_16x64x512_F8_F8_B16_0x3x4x1_default,307.3,3251.08,0.0
gfx950,256,64,6144,12288,torch.float8_e4m3fn,flydsl,320,0,23.7593,flydsl_bpreshuflle_32x64x512_F8_F8_B16_0x1x4x2_default,406.73,3243.8,0.0
gfx950,256,96,6144,12288,torch.float8_e4m3fn,flydsl,1958,0,29.9598,flydsl_bpreshuflle_32x64x512_F8_F8_B16_0x3x4x1_default,483.83,2598.71,0.0
gfx950,256,128,6144,12288,torch.float8_e4m3fn,cktile,179,0,33.9218,a8w8_bpreshuffle_cktile_0x0x8x4x1x0x0x0x0x4_64x64x256_1x4x1_16x16x128_default,569.76,2318.37,0.0
gfx950,256,192,6144,12288,torch.float8_e4m3fn,flydsl,694,0,40.8383,flydsl_bpreshuflle_48x128x256_F8_F8_B16_1x2x4x2_default,709.9,1964.24,0.0
gfx950,256,256,6144,12288,torch.float8_e4m3fn,flydsl,210,0,45.2993,flydsl_bpreshuflle_64x128x256_F8_F8_B16_1x0x4x2_default,853.32,1805.52,0.0
gfx950,256,384,6144,12288,torch.float8_e4m3fn,flydsl,222,0,54.0188,flydsl_bpreshuflle_96x128x256_F8_F8_B16_1x0x4x2_default,1073.37,1572.32,0.0
gfx950,256,512,6144,12288,torch.float8_e4m3fn,flydsl,460,0,61.7061,flydsl_bpreshuflle_64x192x256_F8_F8_B16_1x1x4x2_default,1252.86,1427.42,0.0
gfx950,256,768,6144,12288,torch.float8_e4m3fn,flydsl,1145,0,81.8407,flydsl_bpreshuflle_96x192x256_F8_F8_B16_1x4x4x2_default,1416.95,1153.12,0.0
gfx950,256,1024,6144,12288,torch.float8_e4m3fn,ck,149,0,92.7524,a8w8_bpreshuffle_256x128x192x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8x8x1_2x1_intrawave_v3,1667.01,1085.29,0.0
gfx950,256,2048,6144,12288,torch.float8_e4m3fn,ck,35,0,148.0444,a8w8_bpreshuffle_256x256x192x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8x8x1_2x1_intrawave_v3,2088.82,849.94,0.0
gfx950,256,4096,6144,12288,torch.float8_e4m3fn,ck,35,0,290.4332,a8w8_bpreshuffle_256x256x192x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8x8x1_2x1_intrawave_v3,2129.49,606.54,0.0
gfx950,256,8192,6144,12288,torch.float8_e4m3fn,flydsl,1000031,0,518.8705,flydsl_bpreshuffle_8w_256x256x128_F8_F8_B16_3x4,2383.93,533.51,0.0
gfx950,256,16384,6144,12288,torch.float8_e4m3fn,flydsl,1000029,0,1037.5517,flydsl_bpreshuffle_8w_256x256x128_F8_F8_B16_2x8,2384.36,460.85,0.0
gfx950,256,32768,6144,12288,torch.float8_e4m3fn,flydsl,1000034,0,2072.1929,flydsl_bpreshuffle_8w_256x256x128_F8_F8_B16_4x4,2387.71,425.06,0.0
