M,N,K
1,4352,5120
2,4352,5120
4,4352,5120
8,4352,5120
16,4352,5120
32,4352,5120
64,4352,5120
128,4352,5120
256,4352,5120
512,4352,5120
1024,4352,5120
2048,4352,5120
3307,4352,5120
4096,4352,5120
8192,4352,5120
16384,4352,5120
32768,4352,5120
1,5120,2176
2,5120,2176
4,5120,2176
8,5120,2176
16,5120,2176
32,5120,2176
64,5120,2176
128,5120,2176
256,5120,2176
512,5120,2176
1024,5120,2176
2048,5120,2176
3307,5120,2176
4096,5120,2176
8192,5120,2176
16384,5120,2176
32768,5120,2176
1,2048,5120
2,2048,5120
4,2048,5120
8,2048,5120
16,2048,5120
32,2048,5120
64,2048,5120
128,2048,5120
256,2048,5120
512,2048,5120
1024,2048,5120
2048,2048,5120
3307,2048,5120
4096,2048,5120
8192,2048,5120
16384,2048,5120
32768,2048,5120
1,5120,768
2,5120,768
4,5120,768
8,5120,768
16,5120,768
32,5120,768
64,5120,768
128,5120,768
256,5120,768
512,5120,768
1024,5120,768
2048,5120,768
3307,5120,768
4096,5120,768
8192,5120,768
16384,5120,768
32768,5120,768
1,768,5120
2,768,5120
4,768,5120
8,768,5120
16,768,5120
32,768,5120
64,768,5120
128,768,5120
256,768,5120
512,768,5120
1024,768,5120
2048,768,5120
3307,768,5120
4096,768,5120
8192,768,5120
16384,768,5120
32768,768,5120
