gfx,cu_num,M,N,K,q_dtype_w,libtype,kernelId,splitK,us,kernelName,tflops,bw,errRatio
gfx942,80,1,768,6144,torch.float8_e4m3fnuz,ck,24,0,12.3887,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v2,0.76,381.5,0.0
gfx942,80,2,768,6144,torch.float8_e4m3fnuz,ck,24,0,12.4779,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v2,1.51,379.39,0.0
gfx942,80,4,768,6144,torch.float8_e4m3fnuz,ck,24,0,12.5075,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v2,3.02,379.72,0.0
gfx942,80,8,768,6144,torch.float8_e4m3fnuz,ck,19,0,12.7215,a8w8_bpreshuffle_256x16x64x512_16x16_16x16_32x8x1_32x8x1_1x16x1x16_4x4x1_1x1_intrawave_v2,5.93,375.74,0.0
gfx942,80,16,768,6144,torch.float8_e4m3fnuz,ck,10,0,9.939,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v1,15.19,487.12,0.0
gfx942,80,32,768,6144,torch.float8_e4m3fnuz,ck,10,0,10.3207,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v1,29.26,481.01,0.0
gfx942,80,64,768,6144,torch.float8_e4m3fnuz,ck,10,0,10.7662,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v1,56.1,483.93,0.0
gfx942,80,96,768,6144,torch.float8_e4m3fnuz,ck,5,0,11.3529,a8w8_bpreshuffle_256x16x64x512_16x16_16x16_32x8x1_32x8x1_1x16x1x16_4x4x1_1x1_intrawave_v1,79.8,480.57,0.0
gfx942,80,128,768,6144,torch.float8_e4m3fnuz,ck,10,0,15.3148,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v1,78.88,372.3,0.0
gfx942,80,160,768,6144,torch.float8_e4m3fnuz,ck,10,0,15.3905,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v1,98.11,386.43,0.0
gfx942,80,192,768,6144,torch.float8_e4m3fnuz,ck,6,0,15.8695,a8w8_bpreshuffle_256x16x128x512_16x16_16x16_32x8x1_32x8x1_1x16x1x16_8x8x1_1x2_intrawave_v1,114.18,390.26,0.0
gfx942,80,256,768,6144,torch.float8_e4m3fnuz,ck,114,0,20.8181,a8w8_bpreshuffle_256x64x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8x8x1_2x1_intrawave_v3,116.05,321.1,0.0
gfx942,80,320,768,6144,torch.float8_e4m3fnuz,ck,114,0,21.1179,a8w8_bpreshuffle_256x64x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8x8x1_2x1_intrawave_v3,143.0,339.82,0.0
gfx942,80,384,768,6144,torch.float8_e4m3fnuz,ck,114,0,21.3828,a8w8_bpreshuffle_256x64x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8x8x1_2x1_intrawave_v3,169.48,358.59,0.0
gfx942,80,512,768,6144,torch.float8_e4m3fnuz,ck,126,0,29.1309,a8w8_bpreshuffle_256x32x192x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8x8x1_2x1_intrawave_v1,165.87,296.96,0.0
gfx942,80,768,768,6144,torch.float8_e4m3fnuz,ck,114,0,33.2328,a8w8_bpreshuffle_256x64x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8x8x1_2x1_intrawave_v3,218.09,319.47,0.0
gfx942,80,1024,768,6144,torch.float8_e4m3fnuz,ck,128,0,43.42,a8w8_bpreshuffle_256x64x192x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8x8x1_2x1_intrawave_v3,222.56,289.8,0.0
