M,N,K
1,8192,5120
2,8192,5120
4,8192,5120
8,8192,5120
16,8192,5120
24,8192,5120
32,8192,5120
40,8192,5120
48,8192,5120
56,8192,5120
64,8192,5120
72,8192,5120
80,8192,5120
88,8192,5120
96,8192,5120
104,8192,5120
112,8192,5120
120,8192,5120
128,8192,5120
136,8192,5120
144,8192,5120
152,8192,5120
160,8192,5120
168,8192,5120
176,8192,5120
184,8192,5120
192,8192,5120
200,8192,5120
208,8192,5120
216,8192,5120
224,8192,5120
232,8192,5120
240,8192,5120
248,8192,5120
256,8192,5120
264,8192,5120
272,8192,5120
280,8192,5120
288,8192,5120
296,8192,5120
304,8192,5120
312,8192,5120
320,8192,5120
328,8192,5120
336,8192,5120
344,8192,5120
352,8192,5120
360,8192,5120
368,8192,5120
376,8192,5120
384,8192,5120
392,8192,5120
400,8192,5120
408,8192,5120
416,8192,5120
424,8192,5120
432,8192,5120
440,8192,5120
448,8192,5120
456,8192,5120
464,8192,5120
472,8192,5120
480,8192,5120
488,8192,5120
496,8192,5120
504,8192,5120
512,8192,5120
1024,8192,5120
2048,8192,5120
4096,8192,5120
8192,8192,5120
16384,8192,5120
20480,8192,5120
1,5120,3072
2,5120,3072
4,5120,3072
8,5120,3072
16,5120,3072
24,5120,3072
32,5120,3072
40,5120,3072
48,5120,3072
56,5120,3072
64,5120,3072
72,5120,3072
80,5120,3072
88,5120,3072
96,5120,3072
104,5120,3072
112,5120,3072
120,5120,3072
128,5120,3072
136,5120,3072
144,5120,3072
152,5120,3072
160,5120,3072
168,5120,3072
176,5120,3072
184,5120,3072
192,5120,3072
200,5120,3072
208,5120,3072
216,5120,3072
224,5120,3072
232,5120,3072
240,5120,3072
248,5120,3072
256,5120,3072
264,5120,3072
272,5120,3072
280,5120,3072
288,5120,3072
296,5120,3072
304,5120,3072
312,5120,3072
320,5120,3072
328,5120,3072
336,5120,3072
344,5120,3072
352,5120,3072
360,5120,3072
368,5120,3072
376,5120,3072
384,5120,3072
392,5120,3072
400,5120,3072
408,5120,3072
416,5120,3072
424,5120,3072
