arch,dtype,K,V,BT,H,Hg,is_varlen,use_h0,store_fs,snapshot_bf16,state_bf16,T_flat,N,total_chunks,max_seq_chunks,BV,us
gfx942,torch.bfloat16,128,128,64,8,2,False,True,False,False,False,2500,1,40,40,64,153.1
gfx942,torch.bfloat16,128,128,64,8,2,False,True,False,False,False,60000,1,938,938,16,2061.1
gfx942,torch.bfloat16,128,128,64,8,2,False,True,False,False,False,128000,1,2000,2000,16,4426.9
gfx942,torch.bfloat16,128,128,64,8,2,False,True,False,True,False,2500,1,40,40,64,153.9
gfx942,torch.bfloat16,128,128,64,8,2,False,True,False,True,False,60000,1,938,938,16,1947.3
gfx942,torch.bfloat16,128,128,64,8,2,False,True,False,True,False,128000,1,2000,2000,16,4172.3
gfx942,torch.bfloat16,128,128,64,8,2,True,True,True,False,False,8192,1,128,128,16,242.8
gfx942,torch.bfloat16,128,128,64,8,2,True,True,True,False,False,16384,2,256,128,32,298.4
gfx942,torch.bfloat16,128,128,64,8,2,True,True,True,False,False,24576,3,384,128,64,487.8
gfx942,torch.bfloat16,128,128,64,8,2,True,True,True,False,False,32768,4,512,128,64,507.5
gfx942,torch.bfloat16,128,128,64,8,2,True,True,True,False,False,40960,5,640,128,64,512.4
gfx942,torch.bfloat16,128,128,64,8,2,True,True,True,False,False,49152,6,768,128,64,980.6
gfx942,torch.bfloat16,128,128,64,8,2,True,True,True,False,False,57344,7,896,128,64,985.8
gfx942,torch.bfloat16,128,128,64,8,2,True,True,True,False,False,65536,8,1024,128,64,998.6
gfx942,torch.bfloat16,128,128,64,8,2,True,True,True,True,False,8192,1,128,128,16,238.4
gfx942,torch.bfloat16,128,128,64,8,2,True,True,True,True,False,16384,2,256,128,32,301.3
gfx942,torch.bfloat16,128,128,64,8,2,True,True,True,True,False,24576,3,384,128,64,446.5
gfx942,torch.bfloat16,128,128,64,8,2,True,True,True,True,False,32768,32,512,16,64,464.3
gfx942,torch.bfloat16,128,128,64,8,2,True,True,True,True,False,32768,16,512,32,64,490.3
gfx942,torch.bfloat16,128,128,64,8,2,True,True,True,True,False,32768,8,512,64,64,477.4
gfx942,torch.bfloat16,128,128,64,8,2,True,True,True,True,False,32768,4,512,128,64,466.9
gfx942,torch.bfloat16,128,128,64,8,2,True,True,True,True,False,40960,5,640,128,64,477.6
gfx942,torch.bfloat16,128,128,64,8,2,True,True,True,True,False,49152,6,768,128,64,917.5
gfx942,torch.bfloat16,128,128,64,8,2,True,True,True,True,False,57344,7,896,128,64,922.4
gfx942,torch.bfloat16,128,128,64,8,2,True,True,True,True,False,65536,8,1024,128,64,943.1
gfx942,torch.bfloat16,128,128,64,16,4,False,True,False,False,False,2500,1,40,40,32,152.7
