gfx,cu_num,M,N,K,kernelId,splitK,us,kernelName,tflops,bw,errRatio
gfx950,256,23632,4096,2048,54,0,124.3861,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E,3187.49,1784.66,0.0
gfx950,256,23634,9216,4096,54,0,427.258,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E,4176.18,1177.04,0.0
gfx950,256,23649,9216,4096,54,0,421.9747,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E,4231.15,1192.5,0.0
gfx950,256,23651,1280,4096,54,0,70.6572,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E,3509.89,1579.53,0.0
gfx950,256,23651,4096,1024,54,0,87.7287,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E,2261.51,2370.44,0.0
gfx950,256,23655,1280,4096,54,0,72.1965,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E,3435.63,1546.11,0.0
gfx950,256,23655,4096,1024,54,0,88.1535,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E,2250.99,2359.41,0.0
gfx950,256,23662,1280,4096,54,0,73.806,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E,3361.71,1512.83,0.0
gfx950,256,23662,4096,1024,36,0,87.1153,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_64x1024E,2278.49,2388.23,0.0
gfx950,256,23664,4608,4096,54,0,226.3045,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E,3947.27,1219.54,0.0
gfx950,256,23665,2304,4096,54,0,130.0082,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E,3435.64,1247.87,0.0
gfx950,256,23665,4096,2048,54,0,122.811,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E,3232.88,1810.02,0.0
gfx950,256,23676,4608,4096,54,0,221.8241,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E,4029.04,1244.79,0.0
gfx950,256,23677,2304,4096,54,0,130.8113,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E,3416.28,1240.82,0.0
gfx950,256,23677,4096,2048,54,0,123.7569,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E,3209.79,1797.08,0.0
gfx950,256,23683,4608,4096,54,0,226.2976,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E,3950.56,1220.53,0.0
gfx950,256,23691,9216,4096,54,0,419.7773,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E,4260.86,1200.79,0.0
gfx950,256,23693,9216,4096,54,0,423.1862,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E,4226.89,1191.22,0.0
gfx950,256,23695,1280,4096,54,0,74.9188,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E,3316.39,1492.39,0.0
gfx950,256,23695,4096,1024,54,0,88.5444,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E,2244.84,2352.93,0.0
gfx950,256,23698,4608,4096,54,0,224.7057,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E,3981.07,1229.93,0.0
gfx950,256,23701,1280,4096,54,0,75.3124,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E,3299.89,1484.96,0.0
gfx950,256,23701,4096,1024,36,0,89.0332,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_64x1024E,2233.08,2340.59,0.0
gfx950,256,23707,1280,4096,41,0,72.7764,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_96x640E,3415.75,1537.08,0.0
gfx950,256,23707,4096,1024,54,0,88.0026,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E,2259.81,2368.6,0.0
gfx950,256,23710,9216,4096,54,0,423.0406,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E,4231.38,1192.45,0.0
gfx950,256,23730,4608,4096,54,0,224.3853,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E,3992.14,1233.29,0.0
gfx950,256,23733,1280,4096,54,0,71.962,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E,3458.19,1556.14,0.0
gfx950,256,23733,4096,1024,54,0,88.1883,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E,2257.52,2366.18,0.0
gfx950,256,23737,4608,4096,54,0,226.2313,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E,3960.73,1223.57,0.0
gfx950,256,23739,9216,4096,54,0,420.2766,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E,4264.42,1201.71,0.0
gfx950,256,23740,4608,4096,54,0,221.9209,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E,4038.17,1247.49,0.0
gfx950,256,23743,9216,4096,54,0,426.6987,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E,4200.94,1183.81,0.0
gfx950,256,23748,1280,4096,54,0,69.7507,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E,3570.08,1606.47,0.0
