gfx,cu_num,M,N,K,libtype,kernelId,splitK,us,kernelName,tflops,bw,errRatio
gfx950,256,64,6144,1536,ck,6,0,7.2474,a8w8_blockscale_bpreshuffle_1x128x128_256x16x128x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_8_1x2_intrawave_v1,166.67,1424.22,0.0
gfx950,256,80,6144,1536,ck,7,0,6.8642,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,219.97,1535.96,0.0
gfx950,256,96,6144,1536,ck,7,0,7.7462,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,233.91,1389.62,0.0
gfx950,256,112,6144,1536,ck,12,0,8.6493,a8w8_blockscale_bpreshuffle_1x128x128_256x32x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,244.4,1270.1,0.0
gfx950,256,128,6144,1536,ck,17,0,8.5232,a8w8_blockscale_bpreshuffle_1x128x128_256x64x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,283.45,1314.84,0.0
gfx950,256,256,6144,1536,ck,12,0,10.5924,a8w8_blockscale_bpreshuffle_1x128x128_256x32x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,456.16,1225.04,0.0
gfx950,256,512,6144,1536,ck,15,0,14.9792,a8w8_blockscale_bpreshuffle_1x128x128_256x64x64x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,645.14,1102.53,0.0018
gfx950,256,1024,6144,1536,ck,14,0,21.2948,a8w8_blockscale_bpreshuffle_1x128x128_256x64x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,907.61,1107.92,0.0002
gfx950,256,2048,6144,1536,ck,0,0,38.651,a8w8_blockscale_bpreshuffle_1x128x128_256x128x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v3,1000.1,976.66,0.0
gfx950,256,4096,6144,1536,ck,13,0,64.1753,a8w8_blockscale_bpreshuffle_1x128x128_256x64x256x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,1204.66,1029.37,0.0
gfx950,256,8192,6144,1536,ck,13,0,117.3711,a8w8_blockscale_bpreshuffle_1x128x128_256x64x256x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,1317.35,1045.26,0.0
gfx950,256,16384,6144,1536,ck,13,0,215.1413,a8w8_blockscale_bpreshuffle_1x128x128_256x64x256x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,1437.37,1096.63,0.0
gfx950,256,1,7168,2048,ck,7,0,7.232,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,4.06,2032.14,0.0
gfx950,256,1,7168,2304,ck,7,0,8.3055,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,3.98,1990.45,0.0
gfx950,256,1,7168,4096,ck,7,0,12.6818,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,4.63,2316.59,0.0
gfx950,256,1,7168,4608,ck,7,0,14.6736,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,4.5,2252.28,0.0
gfx950,256,2,7168,2048,ck,7,0,7.3544,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,7.98,2000.55,0.0
gfx950,256,2,7168,2304,ck,7,0,9.1415,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,7.23,1810.24,0.0
gfx950,256,2,7168,4096,ck,6,0,13.5319,a8w8_blockscale_bpreshuffle_1x128x128_256x16x128x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_8_1x2_intrawave_v1,8.68,2172.42,0.0
gfx950,256,2,7168,4608,ck,7,0,14.6652,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,9.01,2254.86,0.0
gfx950,256,4,7168,2048,ck,7,0,7.8125,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,15.03,1887.44,0.0
gfx950,256,4,7168,2304,ck,12,0,9.174,a8w8_blockscale_bpreshuffle_1x128x128_256x32x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,14.4,1807.46,0.0
gfx950,256,4,7168,4096,ck,7,0,12.7196,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,18.47,2314.06,0.0
gfx950,256,4,7168,4608,ck,6,0,15.2501,a8w8_blockscale_bpreshuffle_1x128x128_256x16x128x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_8_1x2_intrawave_v1,17.33,2170.87,0.0
gfx950,256,8,7168,2048,ck,7,0,7.041,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,33.36,2103.56,0.0
gfx950,256,8,7168,2304,ck,7,0,7.9089,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,33.41,2104.99,0.0
gfx950,256,8,7168,4096,ck,7,0,12.6879,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,37.02,2325.65,0.0
gfx950,256,8,7168,4608,ck,7,0,14.6067,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,36.18,2271.68,0.0
gfx950,256,16,7168,4096,ck,7,0,11.709,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,80.24,2532.67,0.0
gfx950,256,16,7168,4608,ck,7,0,13.3839,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,78.97,2490.55,0.0
gfx950,256,32,7168,4096,ck,7,0,11.8764,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,158.22,2521.8,0.0
gfx950,256,32,7168,4608,ck,7,0,13.5574,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,155.92,2481.03,0.0
gfx950,256,48,7168,4096,ck,7,0,13.2546,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,212.65,2281.84,0.0
gfx950,256,48,7168,4608,ck,6,0,15.0532,a8w8_blockscale_bpreshuffle_1x128x128_256x16x128x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_8_1x2_intrawave_v1,210.65,2254.63,0.0
gfx950,256,64,7168,4096,ck,12,0,12.8203,a8w8_blockscale_bpreshuffle_1x128x128_256x32x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,293.14,2382.14,0.0
gfx950,256,64,7168,4608,ck,12,0,14.3561,a8w8_blockscale_bpreshuffle_1x128x128_256x32x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,294.5,2385.23,0.0
gfx950,256,80,7168,4096,ck,12,0,15.9439,a8w8_blockscale_bpreshuffle_1x128x128_256x32x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,294.63,1933.95,0.0
gfx950,256,80,7168,4608,ck,12,0,18.2067,a8w8_blockscale_bpreshuffle_1x128x128_256x32x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,290.27,1897.41,0.0
gfx950,256,96,7168,4096,ck,11,0,15.4383,a8w8_blockscale_bpreshuffle_1x128x128_256x32x128x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,365.14,2016.39,0.0
gfx950,256,96,7168,4608,ck,11,0,17.1618,a8w8_blockscale_bpreshuffle_1x128x128_256x32x128x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,369.53,2030.6,0.0
