gfx,cu_num,N,C,D,H,W,K,kT,kH,kW,stride_d,stride_h,stride_w,pad_d,pad_h,pad_w,dil_d,dil_h,dil_w,groups,bias,tile_m,tile_n,wave_m,wave_n,wgm,splitK,us,kernelName,err_ratio,tflops,bw
gfx950,256,1,3,6,482,834,96,3,3,3,1,1,1,0,0,0,1,1,1,1,True,192,128,2,2,1,1,238.4777,conv3d_implicit_t192x128_w2x2_g1,0.0,104.17,1346.86
gfx950,256,1,96,6,482,834,96,3,3,3,1,1,1,0,0,0,1,1,1,1,True,192,128,2,2,1,1,1370.9685,conv3d_implicit_t192x128_w2x2_g1,0.0,579.87,561.86
gfx950,256,1,96,6,242,418,192,3,3,3,1,1,1,0,0,0,1,1,1,1,True,128,192,2,2,1,1,523.6147,conv3d_implicit_t128x192_w2x2_g1,0.0,759.13,517.33
gfx950,256,1,192,6,242,418,192,3,3,3,1,1,1,0,0,0,1,1,1,1,True,128,192,1,4,1,1,999.8579,conv3d_implicit_t128x192_w1x4_g1,0.0,795.1,388.46
gfx950,256,1,384,3,62,106,384,3,3,3,1,1,1,0,0,0,1,1,1,1,True,64,64,2,2,8,1,116.3048,conv3d_implicit_t64x64_w2x2_g8,0.0,427.21,239.86
