cu_num,token,model_dim,inter_dim,expert,topk,act_type,dtype,q_dtype_a,q_dtype_w,q_type,use_g1u1,doweight_stage1,block_m,ksplit,us1,kernelName1,err1,us2,kernelName2,err2,us,run_1stage,tflops,bw,xbf16,_tag
256,32768,5120,1536,40,8,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float8_e4m3fn,QuantType.per_Token,1,0,128,0,3930.1981,flydsl_moe1_afp8_wfp8_bf16_t128x128x128,0.00%,4488.9205,flydsl_moe2_afp8_wfp8_bf16_t128x128x128_atomic,3.80%,8419.1186,0,1469.22,171.87,0,
256,1,5120,384,161,9,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float8_e4m3fn,QuantType.per_Token,1,0,128,0,30.2779,flydsl_moe1_afp8_wfp8_bf16_t128x128x128,0.0%,16.6368,flydsl_moe2_afp8_wfp8_bf16_t128x128x128_atomic,0.7%,46.9147,0,2.26,20241.67,0,
256,2,5120,384,161,9,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float8_e4m3fn,QuantType.per_Token,1,0,128,0,31.6468,flydsl_moe1_afp8_wfp8_bf16_t128x128x128,0.0%,25.2795,flydsl_moe2_afp8_wfp8_bf16_t128x128x128_atomic,0.9%,56.9263,0,3.73,16682.05,0,
256,4,5120,384,161,9,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float8_e4m3fn,QuantType.per_Token,1,0,128,0,34.4958,flydsl_moe1_afp8_wfp8_bf16_t128x128x128,0.0%,37.6835,flydsl_moe2_afp8_wfp8_bf16_t128x128x128_atomic,0.9%,72.1793,0,5.88,13157.21,0,
256,8,5120,384,161,9,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float8_e4m3fn,QuantType.per_Token,1,0,32,0,81.9906,flydsl_moe1_afp8_wfp8_bf16_t32x128x128,0.0%,0.0,flydsl_moe2_afp8_wfp8_bf16_t32x128x128_atomic,0.0%,81.9906,0,10.36,11583.52,0,
256,16,5120,384,161,9,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float8_e4m3fn,QuantType.per_Token,1,0,32,0,104.8534,flydsl_moe1_afp8_wfp8_bf16_t32x128x128,0.0%,0.0,flydsl_moe2_afp8_wfp8_bf16_t32x128x128_atomic,0.0%,104.8534,0,16.2,9058.96,0,
256,32,5120,384,161,9,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float8_e4m3fn,QuantType.per_Token,1,0,32,0,151.0344,flydsl_moe1_afp8_wfp8_bf16_t32x128x128,0.0%,0.0,flydsl_moe2_afp8_wfp8_bf16_t32x128x128_atomic,0.0%,151.0344,0,22.49,6290.67,0,
256,64,5120,384,161,9,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float8_e4m3fn,QuantType.per_Token,1,0,32,0,161.8085,flydsl_moe1_afp8_wfp8_bf16_t32x128x128,0.0%,0.0,flydsl_moe2_afp8_wfp8_bf16_t32x128x128_atomic,0.0%,161.8085,0,41.99,5874.84,0,
256,128,5120,384,161,9,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float8_e4m3fn,QuantType.per_Token,1,0,32,0,171.963,flydsl_moe1_afp8_wfp8_bf16_t32x128x128,0.0%,0.0,flydsl_moe2_afp8_wfp8_bf16_t32x128x128_atomic,0.0%,171.963,0,79.03,5533.65,0,
256,256,5120,384,161,9,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float8_e4m3fn,QuantType.per_Token,1,0,32,0,176.1579,flydsl_moe1_afp8_wfp8_bf16_t32x128x128,0.0%,0.0,flydsl_moe2_afp8_wfp8_bf16_t32x128x128_atomic,0.0%,176.1579,0,154.29,5413.03,0,
256,512,5120,384,161,9,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float8_e4m3fn,QuantType.per_Token,1,0,32,0,200.297,flydsl_moe1_afp8_wfp8_bf16_t32x128x128,0.0%,0.0,flydsl_moe2_afp8_wfp8_bf16_t32x128x128_atomic,0.0%,200.297,0,271.39,4780.31,0,
256,1024,5120,384,161,9,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float8_e4m3fn,QuantType.per_Token,1,0,32,0,339.5852,flydsl_moe1_afp8_wfp8_bf16_t32x128x128,0.0%,0.0,flydsl_moe2_afp8_wfp8_bf16_t32x128x128_atomic,0.0%,339.5852,0,320.14,2842.72,0,
256,2048,5120,384,161,9,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float8_e4m3fn,QuantType.per_Token,1,0,128,0,168.1037,flydsl_moe1_afp8_wfp8_bf16_t128x128x128,0.0%,340.724,flydsl_moe2_afp8_wfp8_bf16_t128x128x128_atomic,0.9%,508.8277,0,427.32,1928.11,0,
256,4096,5120,384,161,9,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float8_e4m3fn,QuantType.per_Token,1,0,128,0,252.1445,flydsl_moe1_afp8_wfp8_bf16_t128x128x128,0.0%,632.8001,flydsl_moe2_afp8_wfp8_bf16_t128x128x128_atomic,0.9%,884.9446,0,491.4,1144.17,0,
256,8192,5120,384,161,9,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float8_e4m3fn,QuantType.per_Token,1,0,32,0,1532.449,flydsl_moe1_afp8_wfp8_bf16_t32x128x128,0.0%,0.0,flydsl_moe2_afp8_wfp8_bf16_t32x128x128_atomic,0.0%,1532.449,0,567.54,701.78,0,
256,16384,5120,384,161,9,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float8_e4m3fn,QuantType.per_Token,1,0,32,0,2556.3688,flydsl_moe1_afp8_wfp8_bf16_t32x128x128,0.0%,0.0,flydsl_moe2_afp8_wfp8_bf16_t32x128x128_atomic,0.0%,2556.3688,0,680.44,469.91,0,
256,32768,5120,384,161,9,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float8_e4m3fn,QuantType.per_Token,1,0,32,0,4621.308,flydsl_moe1_afp8_wfp8_bf16_t32x128x128,0.0%,0.0,flydsl_moe2_afp8_wfp8_bf16_t32x128x128_atomic,0.0%,4621.308,0,752.8,314.4,0,
256,1,5120,192,161,9,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float8_e4m3fn,QuantType.per_Token,1,0,32,0,68.2571,flydsl_moe1_afp8_wfp8_bf16_t32x64x128,0.0%,0.0,flydsl_moe2_afp8_wfp8_bf16_t32x128x64_atomic,0.0%,68.2571,0,0.78,6956.4,0,
256,2,5120,192,161,9,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float8_e4m3fn,QuantType.per_Token,1,0,32,0,68.9526,flydsl_moe1_afp8_wfp8_bf16_t32x64x128,0.0%,0.0,flydsl_moe2_afp8_wfp8_bf16_t32x128x64_atomic,0.0%,68.9526,0,1.54,6886.46,0,
