M,N,K,bias,dtype,outdtype,scaleAB,bpreshuffle
16384,32,3456,False,torch.bfloat16,torch.bfloat16,False,False
16384,384,144,False,torch.bfloat16,torch.bfloat16,False,False
16384,384,3456,False,torch.bfloat16,torch.bfloat16,False,False
27556,384,3456,False,torch.bfloat16,torch.bfloat16,False,False
65536,192,1728,False,torch.bfloat16,torch.bfloat16,False,False
65536,192,3456,False,torch.bfloat16,torch.bfloat16,False,False
65536,384,1728,False,torch.bfloat16,torch.bfloat16,False,False
65536,384,3456,False,torch.bfloat16,torch.bfloat16,False,False
262144,96,864,False,torch.bfloat16,torch.bfloat16,False,False
262144,192,864,False,torch.bfloat16,torch.bfloat16,False,False
262144,192,1728,False,torch.bfloat16,torch.bfloat16,False,False
262144,192,3456,False,torch.bfloat16,torch.bfloat16,False,False
1048576,3,864,False,torch.bfloat16,torch.bfloat16,False,False
1048576,96,27,False,torch.bfloat16,torch.bfloat16,False,False
1048576,96,864,False,torch.bfloat16,torch.bfloat16,False,False
1048576,96,1728,False,torch.bfloat16,torch.bfloat16,False,False
1763584,96,864,False,torch.bfloat16,torch.bfloat16,False,False
