gfx,cu_num,N,C,D,H,W,K,kT,kH,kW,stride_d,stride_h,stride_w,pad_d,pad_h,pad_w,dil_d,dil_h,dil_w,groups,bias,tile_m,tile_n,wave_m,wave_n,wgm,splitK,us,kernelName,err_ratio,tflops,bw
gfx950,256,1,3,1,1328,1328,96,1,3,3,1,1,1,0,1,1,1,1,1,1,True,96,96,2,3,1,1,212.8381,conv3d_implicit_t96x96_w2x3_g1,0.0,42.95,1640.66
gfx950,256,1,96,1,1328,1328,96,1,3,3,1,1,1,0,1,1,1,1,1,1,True,96,96,2,3,1,1,665.6083,conv3d_implicit_t96x96_w2x3_g1,0.0,439.53,1017.69
gfx950,256,1,96,1,1329,1329,96,1,3,3,1,2,2,0,0,0,1,1,1,1,True,192,128,2,2,1,1,323.576,conv3d_implicit_t192x128_w2x2_g1,0.0,226.03,1310.16
gfx950,256,1,96,1,664,664,192,1,3,3,1,1,1,0,1,1,1,1,1,1,True,128,192,2,2,1,1,236.7143,conv3d_implicit_t128x192_w2x2_g1,0.0,617.95,1074.24
gfx950,256,1,192,1,664,664,192,1,3,3,1,1,1,0,1,1,1,1,1,1,True,128,192,2,2,1,1,396.2136,conv3d_implicit_t128x192_w2x2_g1,0.0,738.38,856.28
gfx950,256,1,192,1,665,665,192,1,3,3,1,2,2,0,0,0,1,1,1,1,True,128,192,4,1,1,1,205.6365,conv3d_implicit_t128x192_w4x1_g1,0.0,355.67,1034.86
gfx950,256,1,192,1,332,332,384,1,3,3,1,1,1,0,1,1,1,1,1,1,True,128,128,4,2,8,1,192.0835,conv3d_implicit_t128x128_w4x2_g8,0.0,761.54,667.97
gfx950,256,1,384,1,332,332,384,1,3,3,1,1,1,0,1,1,1,1,1,1,True,128,128,4,2,8,1,353.99,conv3d_implicit_t128x128_w4x2_g8,0.0,826.46,485.77
gfx950,256,1,384,1,333,333,384,1,3,3,1,2,2,0,0,0,1,1,1,1,True,192,128,1,4,1,1,149.3069,conv3d_implicit_t192x128_w1x4_g1,0.0,489.86,729.91
gfx950,256,1,384,1,166,166,384,1,3,3,1,1,1,0,1,1,1,1,1,1,True,192,128,1,4,1,1,101.9554,conv3d_implicit_t192x128_w1x4_g1,0.0,717.37,441.18
gfx950,256,1,384,1,166,166,32,1,3,3,1,1,1,0,1,1,1,1,1,1,True,32,32,1,2,1,1,42.4981,conv3d_implicit_t32x32_w1x2_g1,0.0,143.42,544.68
gfx950,256,1,16,1,166,166,384,1,3,3,1,1,1,0,1,1,1,1,1,1,True,192,128,4,1,1,1,24.0504,conv3d_implicit_t192x128_w4x1_g1,0.0,126.71,921.21
gfx950,256,1,384,1,332,332,192,1,3,3,1,1,1,0,1,1,1,1,1,1,True,128,192,4,1,1,1,215.4678,conv3d_implicit_t128x192_w4x1_g1,0.0,678.89,595.47
gfx950,256,1,384,1,664,664,192,1,3,3,1,1,1,0,1,1,1,1,1,1,True,128,192,1,4,1,1,837.2117,conv3d_implicit_t128x192_w1x4_g1,0.0,698.89,608.26
gfx950,256,1,192,1,1328,1328,96,1,3,3,1,1,1,0,1,1,1,1,1,1,True,96,96,2,3,1,1,1487.3781,conv3d_implicit_t96x96_w2x3_g1,0.0,393.39,683.19
gfx950,256,1,96,1,1328,1328,3,1,3,3,1,1,1,0,1,1,1,1,1,1,True,96,48,1,3,1,1,377.1006,conv3d_implicit_t96x48_w1x3_g1,0.0,24.24,926.0
