gfx,cu_num,M,N,K,outdtype,bias,bpreshuffle,libtype,kernelId,splitK,us,kernelName,errRatio,tflops,bw
gfx950,256,4,2304,6144,torch.bfloat16,False,True,flydsl,467,3,9.6009,flydsl_mxfp8_bf16_bp1_bd1_t16x32x512x5_ksd_w1x1x4_mma16x16x128_bias0_gm0_pft_gfx950,0.0,11.8,1478.9
gfx950,256,8,2304,6144,torch.bfloat16,False,True,flydsl,133,3,10.2023,flydsl_mxfp8_bf16_bp1_bd1_t16x16x512x5_ksd_w1x1x4_mma16x16x128_bias0_gm0_pft_gfx950,0.0,22.2,1395.94
gfx950,256,16,2304,6144,torch.bfloat16,False,True,flydsl,471,3,9.594,flydsl_mxfp8_bf16_bp1_bd1_t16x32x512x5_ksd_w1x2x2_mma16x16x128_bias0_gm0_pft_gfx950,0.0,47.22,1493.41
gfx950,256,32,2304,6144,torch.bfloat16,False,True,flydsl,323,4,10.1513,flydsl_mxfp8_bf16_bp1_bd1_t16x32x512x4_ksd_w1x2x1_mma16x16x128_bias0_gm0_pft_gfx950,0.0,89.25,1428.37
gfx950,256,64,2304,6144,torch.bfloat16,False,True,flydsl,1462,3,11.4489,flydsl_mxfp8_bf16_bp1_bd1_t32x32x512x2_ksd_w1x2x2_mma16x16x128_bias0_gm0_pft_gfx950,0.0,158.26,1296.54
gfx950,256,128,2304,6144,torch.bfloat16,False,True,flydsl,1559,3,14.1634,flydsl_mxfp8_bf16_bp1_bd1_t32x64x512x2_ksd_w1x4x1_mma16x16x128_bias0_gm0_pft_gfx950,0.0,255.86,1096.63
gfx950,256,256,2304,6144,torch.bfloat16,False,True,flydsl,2153,1,16.7142,flydsl_mxfp8_bf16_bp1_bd1_t48x64x512x2_ks1_w1x4x1_mma16x16x128_bias0_gm0_pft_gfx950,0.0,433.63,1011.61
gfx950,256,512,2304,6144,torch.bfloat16,False,True,flydsl,1220,1,21.3735,flydsl_mxfp8_bf16_bp1_bd1_t48x64x512x2_ks1_w1x2x2_mma16x16x128_bias0_gm0_pft_gfx950,0.0,678.2,919.87
gfx950,256,1024,2304,6144,torch.bfloat16,False,True,flydsl,1200,1,29.8434,flydsl_mxfp8_bf16_bp1_bd1_t64x96x512x2_ks1_w1x2x2_mma16x16x128_bias0_gm0_pft_gfx950,0.0,971.44,843.26
gfx950,256,2048,2304,6144,torch.bfloat16,False,True,flydsl,1203,1,52.7803,flydsl_mxfp8_bf16_bp1_bd0_t256x128x128x2_ks1_w2x4x1_mma16x16x128_bias0_gm0_phti_gfx950,0.0,1098.55,685.4
gfx950,256,4096,2304,6144,torch.bfloat16,False,True,flydsl,370,1,82.0518,flydsl_mxfp8_bf16_bp1_bd0_t256x256x128x2_ks1_w2x4x1_mma16x16x128_bias0_gm0_phti_gfx950,0.0,1413.3,709.26
